name_original,raw_trait_value,trait,units
Daviesia latifolia,3.395,volume seed,mm3
Eucalyptus intermedia,3.4584,volume seed,mm3
Eucryphia milligani,3.51,volume seed,mm3
Pimelea linifolia,3.5343,volume seed,mm3
Polygonum attenuatum,3.6128,volume seed,mm3
Acacia dawsoni,3.6652,volume seed,mm3
Daviesia buxifolia,3.668,volume seed,mm3
Daviesia longifolia,3.668,volume seed,mm3
Eucalyptus maculata,3.668,volume seed,mm3
Isotropis filicaulis,3.6973,volume seed,mm3
Daviesia suaevolens,3.7253,volume seed,mm3
Acacia holosericea,3.7699,volume seed,mm3
Allocasuarina inophloia,3.7935,volume seed,mm3
Eucalyptus cosmophylla,3.9584,volume seed,mm3
Acacia leiocalyx,4.127,volume seed,mm3
Acacia linearis,4.1888,volume seed,mm3
Xanthostemon chrysanthos,4.189,volume seed,mm3
Clematis glycinoides,4.192,volume seed,mm3
Eucalyptus baxteri,4.2415,volume seed,mm3
Acacia stricta,4.3982,volume seed,mm3
Casuarina cristata,4.4637,volume seed,mm3
Trema aspera,4.7,volume seed,mm3
Acacia crassiuscula,4.7124,volume seed,mm3
Polygonum lapathifolium,4.7537,volume seed,mm3
Acacia leprosa,4.7647,volume seed,mm3
Polyscias elegans,4.8,volume seed,mm3
Eucalyptus macrorhyncha,4.948,volume seed,mm3
Acacia triptera,5.1051,volume seed,mm3
Eucalyptus torelliana,5.1051,volume seed,mm3
Pittosporum bicolor,5.1667,volume seed,mm3
Acacia flocktoniae,5.236,volume seed,mm3
Phyllanthus subcrenulatus,5.24,volume seed,mm3
Casuarina equisetifolia,5.2836,volume seed,mm3
Cossinia australina,5.3,volume seed,mm3
Acacia cunninghamii,5.3014,volume seed,mm3
Acacia glaucescens,5.3014,volume seed,mm3
Acacia montana,5.4192,volume seed,mm3
Cucumis melo,5.5418,volume seed,mm3
Brachysema lanceolatum,5.6,volume seed,mm3
Acacia accola,5.8905,volume seed,mm3
Acacia chalkeri,5.8905,volume seed,mm3
Daviesia umbellulata,6.107,volume seed,mm3
Casuarina torulosa,6.162,volume seed,mm3
Acacia armata,6.2832,volume seed,mm3
Coopernookia strophiolata,6.288,volume seed,mm3
Persoonia cornifolia,6.288,volume seed,mm3
Hymenosporum flavum,6.4141,volume seed,mm3
Nothofagus moorei,6.485,volume seed,mm3
Codonocarpus cotonif.,6.6024,volume seed,mm3
Philotheca myoporoides,6.7021,volume seed,mm3
Dillwynia juniperina,6.866,volume seed,mm3
Acacia leiophylla,6.8722,volume seed,mm3
Acacia pubescens,6.8722,volume seed,mm3
Philotheca brucei,7.1209,volume seed,mm3
Billardiera longifolia,7.245,volume seed,mm3
Acacia myrtifolia,7.4872,volume seed,mm3
Acacia alata,7.854,volume seed,mm3
Acacia undulifolia,7.854,volume seed,mm3
Eucalyptus megacornuta,7.9168,volume seed,mm3
Syzygium canicortis,8.1812,volume seed,mm3
Acacia pravissima,8.2647,volume seed,mm3
Daviesia pauciflora,8.3512,volume seed,mm3
Acacia oxycedrus,8.3776,volume seed,mm3
Helichrysum bracteatum,8.384,volume seed,mm3
Bonamia rosea,8.5703,volume seed,mm3
Lophostemon confertus,8.8,volume seed,mm3
Acacia aspera,8.8375,volume seed,mm3
Daviesia corymbosa,8.9227,volume seed,mm3
Coopernookia barbata,9.432,volume seed,mm3
Acacia obtusata,9.572,volume seed,mm3
Acacia perangusta,9.9667,volume seed,mm3
Psychotria loniceroides,10.1,volume seed,mm3
Coopernookia georgei,10.48,volume seed,mm3
Hibbertia scandens,10.506,volume seed,mm3
Acacia buxifolia,10.6029,volume seed,mm3
Polymeria calycina,11.3097,volume seed,mm3
Acacia melanoxylon,11.3498,volume seed,mm3
Chorilaena quercifolia,11.5501,volume seed,mm3
Grewia latifolius,11.6,volume seed,mm3
Schleffera actinophylla,11.7261,volume seed,mm3
Goodia latifolia,11.79,volume seed,mm3
Kennedia prostrata,12.0951,volume seed,mm3
Eucalyptus planchoniana,12.104,volume seed,mm3
Philotheca nodiflora/lasio.,12.1391,volume seed,mm3
Acacia juniperina,12.5664,volume seed,mm3
Pittosporum ferrugineum,12.5664,volume seed,mm3
Hardenbergia violacea,13.4878,volume seed,mm3
Acacia vestita,13.7445,volume seed,mm3
Acacia falcata,13.91,volume seed,mm3
Sebastiana chamelaea,13.938,volume seed,mm3
Alectryon tomentosus,14.1,volume seed,mm3
Acacia mabellae,14.1372,volume seed,mm3
Acmenaspora claviflorus,14.1372,volume seed,mm3
Acronychia laevis,14.148,volume seed,mm3
Pittosporum undulatum,14.4,volume seed,mm3
Eupomatia laurina,14.8,volume seed,mm3
Polyscias australiana,14.844,volume seed,mm3
Grevillea robusta,14.9,volume seed,mm3
Banksia integrifolia,15.3938,volume seed,mm3
Acacia aneura,15.708,volume seed,mm3
Eucalyptus ficifolia,15.708,volume seed,mm3
Acacia spectabilis,15.8389,volume seed,mm3
Excocaria agallochia,16.506,volume seed,mm3
Beyeria leschenaultii,16.6003,volume seed,mm3
Persoonia virgata,16.663,volume seed,mm3
Grevillea obliquistigma,16.9646,volume seed,mm3
Acacia linifolia,17.2788,volume seed,mm3
Lambertia formosa,17.292,volume seed,mm3
Citriobatus pauciflor.,17.4,volume seed,mm3
Acacia maidenii,17.954,volume seed,mm3
Acacia aulocarpa,18.013,volume seed,mm3
Acacia prominens,18.326,volume seed,mm3
Acacia binervata,18.5625,volume seed,mm3
Croton verruaxii,18.648,volume seed,mm3
Acacia suaevolens,18.8496,volume seed,mm3
Angophora floribunda,18.8496,volume seed,mm3
Kennedia rubicunda,19.0852,volume seed,mm3
Grevillea pteridifolia,19.996,volume seed,mm3
Flagellaria indica,20,volume seed,mm3
Mallotus philippensis,20.212,volume seed,mm3
Eucalyptus erythrocorys,20.6088,volume seed,mm3
Philotheca difformis,20.9544,volume seed,mm3
Philotheca fitzgeraldii,21.0361,volume seed,mm3
Alchornea ilicifolia,21.7,volume seed,mm3
Pittosporum revolutum,22.5441,volume seed,mm3
Amyema congener,22.5776,volume seed,mm3
Persoonia gunnii,23.58,volume seed,mm3
Syzygium luehmannii,24.4493,volume seed,mm3
Pandorea jasminoides,24.5,volume seed,mm3
Alphitonia excelsa,24.6,volume seed,mm3
Melia azedarach,24.6,volume seed,mm3
Philotheca pinoides,24.6741,volume seed,mm3
Petalostigma pubescens,24.7767,volume seed,mm3
Eriostemon australasius,24.8647,volume seed,mm3
Stephania japonica,26.4096,volume seed,mm3
Banksia oblongifolia,28.013,volume seed,mm3
Euodia elleryana,28.296,volume seed,mm3
Siphonodon australis,28.296,volume seed,mm3
Omalanthus populifolius,28.3,volume seed,mm3
Bertya gummifera,29.0506,volume seed,mm3
Ricinocarpos pinifolius,30.994,volume seed,mm3
Pisonia grandis,31.0887,volume seed,mm3
Hovea purpurea,31.9116,volume seed,mm3
Amyema miquelii,32.0704,volume seed,mm3
Alectryon cornatus,32.7,volume seed,mm3
Aphananthe philippensis,33.2,volume seed,mm3
Acacia fimbriata,35.28,volume seed,mm3
Alpinia caerulea,35.4,volume seed,mm3
Diospyros ferrea,35.5,volume seed,mm3
Angophora woodsiana,40.715,volume seed,mm3
Acacia penninervis,41.724,volume seed,mm3
Decaspermum paniculatum,41.92,volume seed,mm3
Hippocratea australis,42.977,volume seed,mm3
Acacia hispidula,43.9823,volume seed,mm3
Denhamia celastroides,44.7,volume seed,mm3
Acacia podalyriafolia,44.933,volume seed,mm3
Erythroxylum australe,45.5,volume seed,mm3
