"Species","Trait","Value","Unit","Citation_author","Citation_full"
"Endiandra crassiflora","SLA","6.6","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Endiandra discolor","SLA","7.61","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Epacris pulchella","SLA","9.35","mm^2/mg","Falster, 2005","Falster, D. S., and M. Westoby. 2005. Tradeoffs between height growth rate, stem persistence and maximum height among plant species in a post-fire succession. Oikos 111:57-66."
"Eremophila deserti","SLA","4.59","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Eremophila longifolia","SLA","3.72","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Eremophila mitchellii","SLA","5.58","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Eriobotrya japonica","SLA","7.4","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Erythrina vespertilio","SLA","25.42","mm^2/mg","Tomlinson, 2013","Tomlinson, K. W., L. Poorter, F. J. Sterck, F. Borghetti, D. Ward, S. de Bie, and F. van Langevelde. 2013. Leaf adaptations of evergreen and deciduous trees of semi-arid and humid savannas on three continents. Journal of Ecology 101:430-440."
"Erythrina vespertilio","SLA","25.42","mm^2/mg","Tomlinson, 2013","Tomlinson, K. W., L. Poorter, F. J. Sterck, F. Borghetti, D. Ward, S. de Bie, and F. van Langevelde. 2013. Leaf adaptations of evergreen and deciduous trees of semi-arid and humid savannas on three continents. Journal of Ecology 101:430-440."
"Eucalyptus acmenoides","SLA","4.8","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Eucalyptus camaldulensis","SLA","4.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Eucalyptus cloeziana","SLA","6.91","mm^2/mg","Hunt, 2007","Hunt, M. A., K. E. Murray, M. Battaglia, and N. J. Mathers. 2007. Determination of specific leaf area of some commercially useful sub-tropical hardwood species. Australian Forestry 70:158-166."
"Eucalyptus crebra","SLA","3.84","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Eucalyptus grandis","SLA","5.65","mm^2/mg","Hunt, 2007","Hunt, M. A., K. E. Murray, M. Battaglia, and N. J. Mathers. 2007. Determination of specific leaf area of some commercially useful sub-tropical hardwood species. Australian Forestry 70:158-166."
"Eucalyptus mediocris","SLA","4.59","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Eucalyptus melanophloia","SLA","10.86","mm^2/mg","Tomlinson, 2013","Tomlinson, K. W., L. Poorter, F. J. Sterck, F. Borghetti, D. Ward, S. de Bie, and F. van Langevelde. 2013. Leaf adaptations of evergreen and deciduous trees of semi-arid and humid savannas on three continents. Journal of Ecology 101:430-440."
"Eucalyptus melliodora","SLA","4.96","mm^2/mg","Meers, 2010","Meers, T. L., T. L. Bell, N. J. Enright, and S. Kasel. 2010. Do generalisations of global trade-offs in plant design apply to an Australian sclerophyllous flora? Australian Journal of Botany 58:257-270."
"Eucalyptus microcarpa","SLA","4.3","mm^2/mg","Specht, 1990","Specht, R. L., and P. W. Rundel. 1990. Sclerophylly and foliar nutrient status of mediterranean-climate plant communities in southern Australia. Australian Journal of Botany 38:459-474."
"Eucalyptus microtheca","SLA","5.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Eucalyptus populnea","SLA","6","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Eucalyptus tereticornis","SLA","5.12","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Eucalyptus tereticornis","SLA","5.12","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Eucalyptus tindaliae","SLA","4.82","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Eucalyptus viridis","SLA","3.4","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Eupomatia laurina","SLA","15.1","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Euroschinus falcatus","SLA","13","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Euroschinus falcatus","SLA","13","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Euroschinus falcatus","SLA","13","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Eustrephus latifolius","SLA","23.11733701","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Exocarpos cupressiformis","SLA","1.6","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Ficus coronata","SLA","15.8","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Ficus microcarpa","SLA","10.93","mm^2/mg","Villar, 2013","Villar, R., J. Ruiz-Robleto, J. L. Ubera, and H. Poorter. 2013. Exploring variation in leaf mass per area (LMA) from leaf to cell: An anatomical analysis of 26 woody species. American Journal of Botany 100:1969-1980."
"Ficus microcarpa","SLA","10.93","mm^2/mg","Villar, 2013","Villar, R., J. Ruiz-Robleto, J. L. Ubera, and H. Poorter. 2013. Exploring variation in leaf mass per area (LMA) from leaf to cell: An anatomical analysis of 26 woody species. American Journal of Botany 100:1969-1980."
"Ficus opposita","SLA","8.27","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Ficus racemosa","SLA","15.2","mm^2/mg","Prior, 2003","Prior, L. D., D. Eamus, and D. M. J. S. Bowman. 2003. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17:504-515."
"Ficus racemosa","SLA","15.2","mm^2/mg","Prior, 2003","Prior, L. D., D. Eamus, and D. M. J. S. Bowman. 2003. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17:504-515."
"Flagellaria indica","SLA","16.50887877","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Flindersia schottiana","SLA","15.01","mm^2/mg","Kelly, 2009","Kelly, J., S. Jose, J. D. Nichols, and M. Bristow. 2009. Growth and physiological response of six Australian rainforest tree species to a light gradient. Forest Ecology and Management 257:287-293."
"Geijera parviflora","SLA","5.31","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Geitonoplesium cymosum","SLA","39.47148607","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Gleditsia triacanthos","SLA","20.12","mm^2/mg","Villar, 2013","Villar, R., J. Ruiz-Robleto, J. L. Ubera, and H. Poorter. 2013. Exploring variation in leaf mass per area (LMA) from leaf to cell: An anatomical analysis of 26 woody species. American Journal of Botany 100:1969-1980."
"Glochidion sumatranum","SLA","11.1","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Glycine clandestina","SLA","40.71974138","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Glycine clandestina","SLA","40.71974138","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Glycine clandestina","SLA","40.71974138","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Glycine microphylla","SLA","30.79921788","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Gmelina leichhardtii","SLA","13.14","mm^2/mg","Kelly, 2009","Kelly, J., S. Jose, J. D. Nichols, and M. Bristow. 2009. Growth and physiological response of six Australian rainforest tree species to a light gradient. Forest Ecology and Management 257:287-293."
"Gompholobium latifolium","SLA","10.52","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Goodenia ovata","SLA","21.74","mm^2/mg","Read, 2003","Read, J., and G. D. Sanson. 2003. Characterizing sclerophylly: the mechanical properties of a diverse range of leaf types. New Phytologist 160:81-99."
"Grevillea striata","SLA","2.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Guilfoylia monostylis","SLA","11.63","mm^2/mg","Read, 2003","Read, J., and G. D. Sanson. 2003. Characterizing sclerophylly: the mechanical properties of a diverse range of leaf types. New Phytologist 160:81-99."
"Guioa acutifolia","SLA","7.28","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Gynochthodes jasminoides","SLA","25.14366198","mm^2/mg","Wright, 2010","Wright, S. J., K. Kitajima, N. J. B. Kraft, P. B. Reich, I. J. Wright, D. E. Bunker, R. Condit, J. W. Dalling, S. J. Davies, S. D’az, B. M. J. Engelbrecht, K. E. Harms, S. P. Hubbell, C. O. Marks, M. C. Ruiz-Jaen, C. M. Salvador, and A. E. Zanne. 2010. Functional traits and the growthÑmortality trade-off in tropical trees. Ecology 91:3664-3674."
"Hakea plurinervia","SLA","5.11","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Hardenbergia violacea","SLA","7.298460696","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Hedera helix","SLA","11.78586618","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Hernandia bivalvis","SLA","12.2","mm^2/mg","Read, 2003","Read, J., and G. D. Sanson. 2003. Characterizing sclerophylly: the mechanical properties of a diverse range of leaf types. New Phytologist 160:81-99."
"Hibbertia dentata","SLA","12.02724675","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Hibbertia diffusa","SLA","13.46","mm^2/mg","Cunningham, 1999","Cunningham, S. A., B. Summerhayes, and M. Westoby. 1999. Evolutionary divergences in leaf structure and chemistry, comparing rainfall and soil nutrient gradients. Ecological Monographs 69:569-588."
"Hibbertia linearis","SLA","5.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Hibbertia linearis","SLA","5.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Hibbertia linearis","SLA","5.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Hibbertia linearis","SLA","5.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Hibbertia riparia","SLA","5.3","mm^2/mg","Specht, 1990","Specht, R. L., and P. W. Rundel. 1990. Sclerophylly and foliar nutrient status of mediterranean-climate plant communities in southern Australia. Australian Journal of Botany 38:459-474."
"Hibbertia scandens","SLA","13.7995032","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Hibbertia sericea","SLA","2.1","mm^2/mg","Specht, 1990","Specht, R. L., and P. W. Rundel. 1990. Sclerophylly and foliar nutrient status of mediterranean-climate plant communities in southern Australia. Australian Journal of Botany 38:459-474."
"Hibiscus sturtii","SLA","7.8","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Hibiscus tiliaceus","SLA","9.78","mm^2/mg","Turner, 1991","Turner, I. M., and H. T. W. Tan. 1991. Habitat-related variation in tree leaf form in four tropical forest types on Pulau Ubin, Singapore. Journal of Vegetation Science 2:691-698."
"Hippocratea barbata","SLA","38.66934995","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Hovea linearis","SLA","9.09","mm^2/mg","Meers, 2010","Meers, T. L., S. Kasel, T. L. Bell, and N. J. Enright. 2010. Conversion of native forest to exotic Pinus radiata plantation: Response of understorey plant composition using a plant functional trait approach. Forest Ecology and Management 259:399-409."
"Hoya australis","SLA","13.01","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Hoya australis","SLA","13.01","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Indigofera australis","SLA","7.33","mm^2/mg","Meers, 2010","Meers, T. L., T. L. Bell, N. J. Enright, and S. Kasel. 2010. Do generalisations of global trade-offs in plant design apply to an Australian sclerophyllous flora? Australian Journal of Botany 58:257-270."
"Ipomoea purpurea","SLA","28.462","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Jacaranda mimosifolia","SLA","13.71","mm^2/mg","Hamilton, 2005","Hamilton, M. A., B. R. Murray, M. W. Cadotte, G. C. Hose, A. C. Baker, C. J. Harris, and D. Licari. 2005. Life-history correlates of plant invasiveness at regional and continental scales. Ecology Letters 8:1066-1074."
"Kennedia rubicunda","SLA","29.53235812","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Kunzea ericoides","SLA","12.9","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Lantana camara","SLA","16.72","mm^2/mg","Hamilton, 2005","Hamilton, M. A., B. R. Murray, M. W. Cadotte, G. C. Hose, A. C. Baker, C. J. Harris, and D. Licari. 2005. Life-history correlates of plant invasiveness at regional and continental scales. Ecology Letters 8:1066-1074."
"Lantana camara","SLA","16.72","mm^2/mg","Hamilton, 2005","Hamilton, M. A., B. R. Murray, M. W. Cadotte, G. C. Hose, A. C. Baker, C. J. Harris, and D. Licari. 2005. Life-history correlates of plant invasiveness at regional and continental scales. Ecology Letters 8:1066-1074."
"Lantana montevidensis","SLA","16","mm^2/mg","McIntyre, 2005","McIntyre, S., Martin, T.G., Heard, K.M. & Kinloch, J. (2005) Plant traits predict impact of invading species: An analysis of herbaceous vegetation in the subtropics. Australian Journal of Botany, 53, 757-770."
"Lasiopetalum ferrugineum","SLA","8.25","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Lasiopetalum ferrugineum","SLA","8.25","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Leptospermum petersonii","SLA","9.53","mm^2/mg","Knox, 2011","Knox, K. J. E., and P. J. Clarke. 2011. Fire severity and nutrient availability do not constrain resprouting in forest shrubs. Plant Ecology 212:1967-1978."
"Leptospermum polygalifolium","SLA","10.9","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Leptospermum trinervium","SLA","7.78","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Leucaena leucocephala","SLA","11.7","mm^2/mg","Funk, 2007","Funk, J. L., and P. M. Vitousek. 2007. Resource-use efficiency and plant invasion in low-resource systems. Nature 446:1079-1081."
"Leucopogon virgatus","SLA","9.99","mm^2/mg","Meers, 2010","Meers, T. L., T. L. Bell, N. J. Enright, and S. Kasel. 2010. Do generalisations of global trade-offs in plant design apply to an Australian sclerophyllous flora? Australian Journal of Botany 58:257-270."
"Ligustrum lucidum","SLA","7","mm^2/mg","Hamilton, 2005","Hamilton, M. A., B. R. Murray, M. W. Cadotte, G. C. Hose, A. C. Baker, C. J. Harris, and D. Licari. 2005. Life-history correlates of plant invasiveness at regional and continental scales. Ecology Letters 8:1066-1074."
"Ligustrum sinense","SLA","17.69","mm^2/mg","Hamilton, 2005","Hamilton, M. A., B. R. Murray, M. W. Cadotte, G. C. Hose, A. C. Baker, C. J. Harris, and D. Licari. 2005. Life-history correlates of plant invasiveness at regional and continental scales. Ecology Letters 8:1066-1074."
"Litsea leefeana","SLA","7.692","mm^2/mg","Falster, 2005","Falster, D. S., and M. Westoby. 2005. Alternative height strategies among 45 dicot rain forest species from tropical Queensland, Australia. Journal of Ecology 93:521-535."
"Lomatia silaifolia","SLA","7.15","mm^2/mg","Wright, 2002","Wright, I. J., and M. Westoby. 2002. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155:403-416."
"Lophostemon suaveolens","SLA","5.83","mm^2/mg","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Lysiana subfalcata","SLA","2.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Lysiphyllum hookeri","SLA","23.24","mm^2/mg","Tomlinson, 2013","Tomlinson, K. W., L. Poorter, F. J. Sterck, F. Borghetti, D. Ward, S. de Bie, and F. van Langevelde. 2013. Leaf adaptations of evergreen and deciduous trees of semi-arid and humid savannas on three continents. Journal of Ecology 101:430-440."
"Macaranga tanarius","SLA","9.615","mm^2/mg","Falster, 2005","Falster, D. S., and M. Westoby. 2005. Alternative height strategies among 45 dicot rain forest species from tropical Queensland, Australia. Journal of Ecology 93:521-535."
"Maireana microphylla","SLA","8.2","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Mallotus mollissimus","SLA","15.873","mm^2/mg","Falster, 2005","Falster, D. S., and M. Westoby. 2005. Alternative height strategies among 45 dicot rain forest species from tropical Queensland, Australia. Journal of Ecology 93:521-535."
"Mallotus philippensis","SLA","17.48","mm^2/mg","Lal, 2001","Lal, C. B., C. Annapurna, A. S. Raghubanshi, and J. S. Singh. 2001. Effect of leaf habit and soil type on nutrient resorption and conservation in woody species of a dry tropical environment. Canadian Journal of Botany 79:1066-1075."
"Malvastrum americanum","SLA","9.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Malvastrum americanum","SLA","9.3","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Mangifera indica","SLA","7.39","mm^2/mg","Lal, 2001","Lal, C. B., C. Annapurna, A. S. Raghubanshi, and J. S. Singh. 2001. Effect of leaf habit and soil type on nutrient resorption and conservation in woody species of a dry tropical environment. Canadian Journal of Botany 79:1066-1075."
"Marsdenia flavescens","SLA","38.4","mm^2/mg","Ordonez, 2010","Ordonez, A., I. J. Wright, and H. Olff. 2010. Functional differences between native and alien species: A global-scale comparison. Functional Ecology 24:1353-1361."
"Marsdenia hemiptera","SLA","24.33","mm^2/mg","Gallagher, 2012","Gallagher, R. V., and M. R. Leishman. 2012. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39:1757-1771."
"Melaleuca leucadendra","SLA","6.67","mm^2/mg","Prior, 2003","Prior, L. D., D. Eamus, and D. M. J. S. Bowman. 2003. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17:504-515."
"Melaleuca linariifolia","SLA","7.55","mm^2/mg","Cunningham, 1999","Cunningham, S. A., B. Summerhayes, and M. Westoby. 1999. Evolutionary divergences in leaf structure and chemistry, comparing rainfall and soil nutrient gradients. Ecological Monographs 69:569-588."
"Melaleuca viridiflora","SLA","4.44","mm^2/mg","Prior, 2003","Prior, L. D., D. Eamus, and D. M. J. S. Bowman. 2003. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17:504-515."
"Melaleuca viridiflora","SLA","4.44","mm^2/mg","Prior, 2003","Prior, L. D., D. Eamus, and D. M. J. S. Bowman. 2003. Leaf attributes in the seasonally dry tropics: a comparison of four habitats in northern Australia. Functional Ecology 17:504-515."
"Melastoma malabathricum","SLA","13","mm^2/mg","Wright, 2004","Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M.-L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827."
"Melastoma malabathricum","SLA","13","mm^2/mg","Wright, 2004","Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M.-L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827."
"Melhania oblongifolia","SLA","13","mm^2/mg","Wright, 2004","Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M.-L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827."
"Melicope elleryana","SLA","13.333","mm^2/mg","Falster, 2005","Falster, D. S., and M. Westoby. 2005. Alternative height strategies among 45 dicot rain forest species from tropical Queensland, Australia. Journal of Ecology 93:521-535."
"Micromyrtus sessilis","SLA","4.79","mm^2/mg","Wright, 2004","Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M.-L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827."
"Monotoca scoparia","SLA","3.55","mm^2/mg","Meers, 2010","Meers, T. L., S. Kasel, T. L. Bell, and N. J. Enright. 2010. Conversion of native forest to exotic Pinus radiata plantation: Response of understorey plant composition using a plant functional trait approach. Forest Ecology and Management 259:399-409."
