trip identifier,Species,Individual,Replicate,Trait,Value,Unit,latitude (deg),longitude (deg),Coordinate uncertainty (m),site_name
MainRange,Pimelea neoanglica,1,3,SLA,19.457,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Pimelea neoanglica,1,2,SLA,18.75,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Pimelea neoanglica,1,1,SLA,18.44,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,5,5,SLA,9.117,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,5,4,SLA,9.349,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,5,3,SLA,9.184,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,5,2,SLA,9.342,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,5,1,SLA,10.264,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,4,5,SLA,7.574,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,4,4,SLA,8.503,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,4,3,SLA,9.236,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,4,2,SLA,9.971,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,4,1,SLA,8.252,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,3,5,SLA,12.067,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,3,4,SLA,11.146,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,3,3,SLA,10.944,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,3,2,SLA,10.627,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
MainRange,Angophora subvelutina,3,1,SLA,10.848,mm^2/mg,-28.078611,152.406944,1000,site_at_-28.078611_degS_152.406944_degE
UQ,Agathis robusta,3,5,SLA,8.023,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,3,4,SLA,8.094,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,3,3,SLA,8.406,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,3,2,SLA,7.853,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,3,1,SLA,7.789,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,2,5,SLA,7.788,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,2,4,SLA,6.688,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,2,3,SLA,6.881,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,2,2,SLA,6.293,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,2,1,SLA,8.289,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Polyalthia nitidissima,1,5,SLA,13.836,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Polyalthia nitidissima,1,4,SLA,13.243,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Polyalthia nitidissima,1,3,SLA,14.589,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Polyalthia nitidissima,1,2,SLA,13.54,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Polyalthia nitidissima,1,1,SLA,14.397,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,1,5,SLA,13.186,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,1,4,SLA,13.06,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,1,3,SLA,11.631,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,1,2,SLA,13.745,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,1,1,SLA,13.979,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Ficus virens,1,5,SLA,13.305,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Ficus virens,1,4,SLA,13.661,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Ficus virens,1,3,SLA,15.301,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Ficus virens,1,2,SLA,13.496,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Ficus virens,1,1,SLA,12.998,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,5,5,SLA,6.62,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,5,4,SLA,6.92,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,5,3,SLA,6.972,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,5,2,SLA,6.581,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,5,1,SLA,7.265,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,4,5,SLA,6.338,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,4,4,SLA,6.566,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,4,3,SLA,6.029,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,4,2,SLA,6.284,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Podocarpus elatus,4,1,SLA,6.672,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Argyrodendron trifoliolatum,4,5,SLA,11.247,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Argyrodendron trifoliolatum,4,4,SLA,10.718,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Argyrodendron trifoliolatum,4,3,SLA,8.843,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Argyrodendron trifoliolatum,4,2,SLA,9.605,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Argyrodendron trifoliolatum,4,1,SLA,9.591,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,5,5,SLA,9.46,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,5,4,SLA,9.358,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,5,3,SLA,8.915,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,5,2,SLA,9.333,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,5,1,SLA,9.254,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,4,5,SLA,8.777,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,4,4,SLA,9.24,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,4,3,SLA,9.389,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,4,2,SLA,11.308,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,4,1,SLA,8.768,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,3,5,SLA,9.537,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,3,4,SLA,11.682,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,3,3,SLA,11.267,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,3,2,SLA,11.227,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,3,1,SLA,11.054,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,2,5,SLA,10.578,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,2,4,SLA,11.997,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,2,3,SLA,11.163,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,2,2,SLA,12.052,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,2,1,SLA,11.676,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,1,5,SLA,7.826,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,1,4,SLA,8.115,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,1,3,SLA,8.296,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,1,2,SLA,8.152,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Melaleuca styphelioides,1,1,SLA,8.313,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
FraserIsland,Notelaea venosa,1,5,SLA,4.985,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,1,4,SLA,4.807,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,1,3,SLA,5.122,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,1,2,SLA,4.883,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,1,1,SLA,5.1,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,2,5,SLA,4.942,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,2,4,SLA,5.4,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,2,3,SLA,5.572,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,2,2,SLA,5.193,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,2,1,SLA,5.16,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,5,5,SLA,5.272,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,5,4,SLA,5.724,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,5,3,SLA,5.516,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,5,2,SLA,5.555,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,5,1,SLA,5.581,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,4,5,SLA,5.115,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,4,4,SLA,4.972,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,4,3,SLA,5.371,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,4,2,SLA,5.378,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,4,1,SLA,4.939,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,3,5,SLA,5.149,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,3,4,SLA,5.934,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,3,3,SLA,5.19,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,3,2,SLA,5.016,mm^2/mg,NA,NA,NA,FraserIsland
FraserIsland,Notelaea venosa,3,1,SLA,5.517,mm^2/mg,NA,NA,NA,FraserIsland
UQ,Toechima tenax,4,5,SLA,13.139,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Toechima tenax,4,4,SLA,12.303,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Toechima tenax,4,3,SLA,12.882,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Toechima tenax,4,2,SLA,12.914,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Toechima tenax,4,1,SLA,12.912,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Eucalyptus siderophloia,1,5,SLA,6.863,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Eucalyptus siderophloia,1,4,SLA,6.21,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Eucalyptus siderophloia,1,3,SLA,6.118,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Eucalyptus siderophloia,1,2,SLA,5.812,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Eucalyptus siderophloia,1,1,SLA,6.174,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,4,5,SLA,12.855,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,4,4,SLA,13.579,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,4,3,SLA,13.183,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,4,2,SLA,12.795,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,4,1,SLA,13.146,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,3,5,SLA,15.204,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,3,4,SLA,14.96,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,3,3,SLA,10.725,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,3,2,SLA,12.206,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,3,1,SLA,11.491,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,2,5,SLA,9.947,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,2,4,SLA,9.334,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,2,3,SLA,9.477,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,2,2,SLA,9.916,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Backhousia myrtifolia,2,1,SLA,9.454,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Guioa semiglauca,2,5,SLA,11.11,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Guioa semiglauca,2,4,SLA,10.239,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Guioa semiglauca,2,3,SLA,11.173,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Guioa semiglauca,2,2,SLA,10.654,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Guioa semiglauca,2,1,SLA,10.04,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,5,5,SLA,9.555,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,5,4,SLA,8.768,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,5,3,SLA,8.793,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,5,2,SLA,8.771,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,5,1,SLA,9.597,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,4,5,SLA,4.467,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,4,4,SLA,5.886,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,4,3,SLA,5.468,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,4,2,SLA,5.425,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Agathis robusta,4,1,SLA,4.768,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Rhodosphaera rhodanthema,5,5,SLA,15.518,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Rhodosphaera rhodanthema,5,4,SLA,15.415,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Rhodosphaera rhodanthema,5,3,SLA,17.493,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Rhodosphaera rhodanthema,5,2,SLA,16.354,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Rhodosphaera rhodanthema,5,1,SLA,17.141,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Acmena ingens,4,5,SLA,14.069,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Acmena ingens,4,4,SLA,13.424,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Acmena ingens,4,3,SLA,13.928,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Acmena ingens,4,2,SLA,12.871,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Acmena ingens,4,1,SLA,11.498,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Mischocarpus australis,6,4,SLA,13.572,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Mischocarpus australis,6,3,SLA,13.285,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Mischocarpus australis,6,2,SLA,11.667,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Mischocarpus australis,6,1,SLA,10.509,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Mischocarpus australis,6,5,SLA,11.909,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,3,5,SLA,9.221,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,3,4,SLA,8.805,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,3,3,SLA,8.515,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,3,2,SLA,8.765,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,3,1,SLA,9.924,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,2,5,SLA,12.849,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,2,4,SLA,10.153,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,2,3,SLA,13.208,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,2,2,SLA,9.856,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Petalostigma triloculare,2,1,SLA,12.585,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Clerodendrum floribundum,2,5,SLA,22.742,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Clerodendrum floribundum,2,4,SLA,22.253,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Clerodendrum floribundum,2,3,SLA,22.488,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Clerodendrum floribundum,2,2,SLA,20.584,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
UQ,Clerodendrum floribundum,2,1,SLA,21.336,mm^2/mg,-27.498079999999998,153.01494,1000,site_at_-27.49808_degS_153.01494_degE
NoosaEtc,Mischocarpus pyriformis,1,5,SLA,6.637,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Mischocarpus pyriformis,1,4,SLA,4.828,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Mischocarpus pyriformis,1,3,SLA,6.682,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Mischocarpus pyriformis,1,2,SLA,6.522,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Mischocarpus pyriformis,1,1,SLA,7.305,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,5,5,SLA,16.384,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,5,4,SLA,18.272,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,5,3,SLA,14.587,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,5,2,SLA,19.236,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,5,1,SLA,15.522,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,4,5,SLA,16.554,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,4,4,SLA,13.601,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,4,3,SLA,14.432,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,4,2,SLA,15.318,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,4,1,SLA,13.605,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,3,5,SLA,13.021,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,3,4,SLA,13.04,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,3,3,SLA,11.674,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,3,2,SLA,12.271,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,3,1,SLA,14.444,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Auranticarpa rhombifolia,1,1,SLA,6.134,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,2,5,SLA,12.735,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,2,4,SLA,14.422,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,2,3,SLA,17.33,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,2,2,SLA,19.019,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,2,1,SLA,19.463,mm^2/mg,NA,NA,NA,NoosaEtc
NoosaEtc,Hibiscus splendens,1,5,SLA,8.124,mm^2/mg,NA,NA,NA,NoosaEtc
