running #,date_sampled,Site#,S deg,S min,S sec,E deg,E min,E sec,Site Description,Sample#,Genus,species,working title,leaf type,DN#,Field Remarks,# of leafs for LA,LA (cm),dry weight (g),Lab remarks,species_name,latitude (deg),longitude (deg),leaf_area_cm2,physical_defence,leaf_compoundness,Date,Latitude,Longitude,Life-form,Deciduous,habitat,vegetation,soil,surface/groundwater access,fire,N2 fixing,category,Specific Leaf Area (m2 kg-1),Delta vs. PDB-corr. 13/12 C,Delta vs. air-corr 29/28 N,C (g/kg),N (g/kg),P (mg/kg),Rainfall,site_name,Date_to_use,Date_to_use_edited
43,NA,10,30,15,45,119,46,53,Sand,10.2,Eucalyptus,leptopoda,NA,NA,NA,NA,20,62.23,NA,NA,Eucalyptus leptopoda,-30.262,118.219,3.1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_10,NA,7/20/2010
44,NA,10,30,15,45,119,46,53,Sand,10.3,Acacia,NA,fine phylloids,lanceolat,5679,NA,20,16.256,NA,NA,Acacia  fine phylloids,-30.262,118.219,0.8128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_10,NA,7/20/2010
43,NA,10,NA,NA,NA,NA,NA,NA,Sand,10.2,Eucalyptus,leptopoda subsp. subluta,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus leptopoda subsp. subluta,NA,NA,NA,NA,NA,7/20/2010,-30.2625,119.7813889,woody,evergreen,plain,shrubland,sand,no,?,non-N2 fixing,2,3.466852368,-23.87,1.48,508.702,14.445,NA,300,site_10,7/20/2010,7/20/2010
44,NA,10,NA,NA,NA,NA,NA,NA,Sand,10.3,Acacia,sibina,NA,NA,NA,NA,NA,NA,NA,NA,Acacia sibina,NA,NA,NA,NA,NA,7/20/2010,-30.2625,119.7813889,woody,evergreen,plain,shrubland,sand,no,?,N2 fixing,1,1.096896086,-25.86,-1.41,494.215,13.674,278,300,site_10,7/20/2010,7/20/2010
45,NA,11,30,12,20,119,51,48,"Pittosporum, rock",11.1,Eucalyptus,brachycorys,NA,NA,5682,NA,10,51.035,NA,NA,Eucalyptus brachycorys,-30.206,118.137,5.1035,NA,NA,7/21/2010,-30.20555556,119.8633333,woody,evergreen,plain,shrubland,sandy loam,no,?,non-N2 fixing,2,2.670591313,-25.95,4.3,512.354,9.304,NA,300,site_11,7/21/2010,7/21/2010
46,NA,11,30,12,20,119,51,48,"Pittosporum, rock",11.2,Acacia,tetragonophylla,NA,thorny,NA,NA,100,11.848,NA,NA,Acacia tetragonophylla,-30.206,118.137,0.11848,spines_or_thorns,NA,7/21/2010,-30.20555556,119.8633333,woody,evergreen,plain,shrubland,sandy loam,no,?,N2 fixing,1,1.279481641,-25.28,5.37,533.703,13.839,271,300,site_11,7/21/2010,7/21/2010
47,NA,11,30,12,20,119,51,48,"Pittosporum, rock",11.3,Eucalyptus,corrugata,NA,NA,NA,NA,10,83.704,NA,NA,Eucalyptus corrugata,-30.206,118.137,8.3704,NA,NA,7/21/2010,-30.20555556,119.8633333,woody,evergreen,plain,shrubland,sandy loam,no,?,non-N2 fixing,2,2.480853586,-25.44,4.48,510.735,11.347,NA,300,site_11,7/21/2010,7/21/2010
48,NA,12,30,3,10,119,50,6,Sand Acacia dominated,12.1,Eucalyptus,NA,new formanii,NA,5684,NA,20,47.089,NA,NA,Eucalyptus  new formanii,-30.053,118.165,2.35445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_12,NA,7/21/2010
49,NA,12,30,3,10,119,50,6,Sand Acacia dominated,12.2,Acacia,NA,linear,lanceolat,5685,dominant species,20,21.933,NA,NA,Acacia  linear,-30.053,118.165,1.09665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_12,NA,7/21/2010
48,NA,12,NA,NA,NA,NA,NA,NA,Sand Acacia dominated,12.1,Eucalyptus,formanii,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus formanii,NA,NA,NA,NA,NA,7/21/2010,-30.05277778,119.835,woody,evergreen,plain,shrubland,sand,no,?,non-N2 fixing,2,3.561951589,-25.7,8.12,517.714,12.528,NA,300,site_12,7/21/2010,7/21/2010
