current full name without authority,Endemicity_level,Growth Form,Growth Form_1,Growth Form_2,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Laminar Unit Area (mm2),1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,References,regen_strategy
Aristida queenslandica var. queenslandica,Australia,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,200,400,2,2,simple,360,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.1,6.1,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida queenslandica var. dissimilis,Australia,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,200,400,2,2,simple,360,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.1,6.1,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Aristida ramosa,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.03,not_vegetative,C4,60,120,0.6,2,simple,70.2,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5,8.7,NA,NA,8.57e-4,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Aristida schultzii,Australia,Tussock,NA,NA,Hemicryophyte,0.65,not_vegetative,C4,100,250,1,2,simple,157.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,7,8,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida sciuroides,Queensland,Tussock,NA,NA,Hemicryophyte,2,not_vegetative,C4,100,210,2,2,simple,186,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,7.5,9,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida spuria,Australia,Tussock,NA,NA,Hemicryophyte,0.91,not_vegetative,C4,80,120,0.5,0.5,simple,30,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.8,8,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida superpendens,Australia,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C4,150,270,0.6,1.2,simple,113.4,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5.6,7.2,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida thompsonii,Queensland,Tussock,NA,NA,Hemicryophyte,0.4,not_vegetative,C4,100,250,0.5,0.75,simple,65.625,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,4.5,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/NCA 2006,NA
Aristida utilis var. utilis,Australia,Tussock,NA,NA,Hemicryophyte,1.3,not_vegetative,C4,100,210,1.5,2,simple,162.75,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida warburgii,Australia,Tussock,NA,NA,Hemicryophyte,0.9,not_vegetative,C4,80,160,1,1,simple,72,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,6,7,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Arthragrostis aristispicula,Queensland,Tussock,NA,NA,Therophyte,0.4,not_vegetative,C4,20,90,1,2.8,simple,62.7,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
