Species,Tree,number,Aa,gs,WUEi,CiCa,Amass,Leaf N,PNUE,Ci,WUE,date_leaf,Fresh Weight,Dry Weight,LDMC,AreaTotal,SLA,Petiole Width,Petiole Height,Lamina,Density,S_true15N,S_per.N,S_true13C,S_per.C,L_true13C,L_true15N,L_per.C,L_per.N,L_C.N,Outer Phloem,Outer Xylem,Outer Heartood,Xylem,X_Tot_Ratio,Date_d18O,d18O,Date,Individual,Sun/Shade,Tree ID,Notes,Species_name,Growth.Form
NOR,NOR_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/5/2014,3.1,1.289066667,0.415333333,103.37,80.90600354,NA,NA,0.236666667,NA,NA,NA,NA,NA,-28.23195114,1.720205741,46.40908714,1.481019088,31.33591426,NA,NA,NA,NA,NA,9/5/2014,-5.44,5/9/2014,3,Sun,5033,NA,Normanbya normanbyi,NA
NOR,NOR_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,5.668,2.36724,0.4162,214.79,91.90988677,NA,NA,0.206,0.411759855,2.669784724,0.256204806,-32.34845321,43.23391214,-33.00886997,2.383400535,46.63767724,1.525341718,30.57523221,NA,NA,NA,NA,NA,13/06/2014,-2.59,NA,NA,NA,NA,NA,Normanbya normanbyi,NA
PAR,PAR_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,3.726,1.34144,0.345,102.732,83.36626703,3.262,2.808,0.334,0.390846287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parsonia latifolia,L
ROC,ROC_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/4/2014,1.846666667,0.648366667,0.350666667,86.29,133.0593531,1.996666667,1.97,0.186666667,0.458368448,5.743697949,1.143694894,-29.33124075,43.06828204,-28.26381149,4.477539107,43.35416584,1.763875582,24.57892512,33.527,27.02,3.527,23.493,0.700718824,4/4/2014,-3.75,4/4/2014,1,Understory,4010,NA,Rockinghamia angustifolia,NA
ROC,ROC_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/2014,1.11,0.5005,0.4485,53.6975,108.0079041,1.46,1.445,0.235,0.532566898,4.851230791,0.755443152,-27.92115574,43.86417369,-27.9084611,5.682042885,42.47318612,1.879507935,22.59803501,63.404,50.898,4.036,46.862,0.739101634,NA,NA,5/8/2014,2,Understory,509 or 326,NA,Rockinghamia angustifolia,NA
ROC,ROC_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,1.74,0.82728,0.4455,91.682,110.9728604,1.84,1.798,0.198,0.474533333,4.952408886,0.733041023,-29.43078823,43.51435038,-28.08914774,3.669466329,43.27256836,1.919726937,22.54100181,96.985,76.942,5.721,71.221,0.734350673,13/06/2014,-3.71,NA,NA,NA,NA,NA,Rockinghamia angustifolia,NA
SYZ_G,ACM_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,1.334,0.57846,0.4342,43.74,75.49832076,2.804,2.42,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acmena graveolens,NA
SYZ_G,ACM_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,2.522,0.96322,0.3836,75.088,77.32894702,3.144,2.926,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,-3.44,NA,NA,NA,NA,NA,Acmena graveolens,NA
SYZ_G,ACM_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,1.34,0.53692,0.402,45.764,85.71500098,2.762,2.606,0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,-3.23,NA,NA,NA,NA,NA,Acmena graveolens,NA
SYZ_G,ACM_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2014,2.11,0.7901,0.374333333,65.37666667,82.91127186,3.6,3.133333333,0.346666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2014,-2.71,NA,NA,NA,NA,NA,Acmena graveolens,NA
SYZ_G,ACM_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2014,2.776666667,1.260233333,0.452666667,86.17333333,68.98965635,3.77,3.39,0.326666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2014,-3.43,NA,NA,NA,NA,NA,Acmena graveolens,NA
SYZ_G,ACM_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,1.12,0.529666667,0.473666667,38.89666667,73.49815547,2.533333333,2.32,0.296666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,-3.5,NA,NA,NA,NA,NA,Acmena graveolens,NA
SYZ_S,SYZ_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2014,1.736666667,0.690266667,0.397,54.10666667,79.17687024,2.606666667,2.233333333,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2014,-2.18,NA,NA,NA,NA,NA,Syzygium graveolens,NA
SYZ_S,SYZ_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,1.233333333,0.461233333,0.374333333,40.82333333,90.1908969,1.876666667,1.683333333,0.276666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,-3.52,NA,NA,NA,NA,NA,Syzygium graveolens,NA
