Original Taxonomic Concept,Species,Family,locality,life_history,"Height range at maturity (cm), Minimum",plant_height_maximum,"Diameter of crown (cm), 0–5","Diameter of crown (cm), 5–20","Diameter of crown (cm), 20–50","Diameter of crown (cm), 50–100","Diameter of crown (cm), 100–200","Diameter of crown (cm), >200","Canopy density, Dense","Canopy density, Intermediate","Canopy density, Sparse","Canopy density, None","Canopy elevation (cm), 0–20","Canopy elevation (cm), 20–50","Canopy elevation (cm), 50–100","Canopy elevation (cm), >100","Above-ground stem/stalk, None","Above-ground stem/stalk, Single","Above-ground stem/stalk, Multiple",stem_growth_habit,plant_climbing_mechanism,woodiness_detailed,plant_succulence,photosynthetic Flower stalk,plant_photosynthetic_organ,leaf_lamina_posture,leaf xs Terete,leaf xs Triangular,leaf xs Rectangular,leaf_compoundness,"Linear like (Tubular, Needle-like, Filiform, Linear)",Elliptical & Lanceolate,Orbicular,leaf_margin,leaf_lobation,leaf_margin_posture,leaf_hairs_adult_leaves,leaf_glaucousness_adaxial,leaf_glaucousness_abaxial,"Part protected by spines, None","Part protected by spines, Leaf","Part protected by spines, Stem","Part protected by spines, Branch","Part protected by spines, Fruit",plant_physical_defence_structures,"Root morphology, Bulb","Root morphology, Stilt",nitrogen_fixing,plant_alternative_energy_and_nutrient_acquisition_strategy,parasitic,flowering_time,fruit_fleshiness,resprouting_capacity,mycorrhizal_associations,photosynthetic_pathway,Microbial association
,Haemodorum venosum,Haemodoraceae,Eneabba & Cooljarloo,perennial,50,150,1,1,1,,,,,,1,,1,,,,,1,,erect,,herbaceous,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,1,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Hainardia cylindrica,Poaceae,Cooljarloo,,4,48,,,1,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hakea anadenia,Proteaceae,Eneabba,perennial,30,200,,,1,1,1,,,1,,,,1,1,1,,1,,erect,,woody,,,leaf,flat,,,,simple,,1,,toothed,,undulate,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Hakea auriculata,Proteaceae,Eneabba & Cooljarloo,perennial,40,150,,,1,1,1,,1,,,,,1,1,1,,1,,erect,,woody,,,leaf,flat,,,,simple,,1,,toothed,,,glabrous,glaucous,glaucous,,spine,,thorn,,spine thorn,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Hakea candolleana,Proteaceae,Eneabba & Cooljarloo,perennial,15,160,,1,1,1,1,1,,1,,,1,1,1,1,,1,,prostrate,,woody,,,leaf,flat,1,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Hakea circumalata,Proteaceae,Eneabba,perennial,30,150,,,1,1,1,,1,,,,,1,1,1,,1,,erect prostrate,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Hakea conchifolia,Proteaceae,Eneabba & Cooljarloo,perennial,50,100,,,1,1,,,,1,,,,1,1,,,1,,erect decumbent,,woody,,,leaf,flat conduplicate,,,,simple,,1,,toothed,,,glabrous,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYNNNNN,dry,resprouts,,C3,1
,Hakea costata,Proteaceae,Eneabba & Cooljarloo,perennial,30,150,,,1,1,,,,1,,,,1,1,1,,1,,erect,,woody,,,leaf,flat,,1,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
Hakea cygna subsp. cygna,Hakea cygnus subsp. cygnus,Proteaceae,Eneabba,perennial,40,200,,,1,1,1,,1,,,,,1,1,1,,1,,erect,,woody,,,leaf,flat,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Hakea eneabba,Proteaceae,Eneabba,perennial,30,130,,,1,1,1,,,1,,,,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Hakea erinacea,Proteaceae,Eneabba & Cooljarloo,perennial,20,160,,,1,1,1,,,1,,,,1,1,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,,lobed_deep,,glabrous,not_glaucous,not_glaucous,,spine,,thorn,,spine thorn,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,,,C3,1
,Hakea flabellifolia,Proteaceae,Eneabba & Cooljarloo,perennial,20,100,,,1,1,,,,1,,,1,1,1,,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Hakea gilbertii,Proteaceae,Eneabba,perennial,60,200,,,1,1,1,,1,,,,,1,1,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Hakea incrassata,Proteaceae,Eneabba & Cooljarloo,perennial,20,160,,,1,1,1,,,1,,,,,1,1,,1,,prostrate,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Hakea lissocarpha,Proteaceae,Eneabba & Cooljarloo,perennial,25,300,,,1,1,1,1,1,,,,,1,1,1,,1,,erect prostrate,,woody,,,leaf,,1,,,compound,1,,,,lobed_deep,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,,,C3,1
,Hakea marginata,Proteaceae,Eneabba,perennial,50,200,,,1,1,1,,1,,,,,,1,1,,1,,erect prostrate,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,resprouts,,C3,1
,Hakea neospathulata,Proteaceae,Eneabba & Cooljarloo,perennial,30,100,,,1,1,,,1,,,,,1,1,,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,toothed,,,glabrous,not_glaucousglaucous,not_glaucousglaucousred_brown,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Hakea neurophylla,Proteaceae,Eneabba,perennial,60,200,,,,1,1,,,1,,,,,,,,1,,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,undulate,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYNNNNN,dry,,,C3,1
,Hakea obliqua subsp. parviflora,Proteaceae,Eneabba & Cooljarloo,perennial,150,300,,,1,1,1,,1,,,,,,,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Hakea petiolaris subsp. trichophylla,Proteaceae,Eneabba,perennial,300,900,,,,,1,1,,1,,,,,,1,,1,,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,hairy,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYNNNNN,dry,,,C3,1
,Hakea platysperma,Proteaceae,Eneabba,perennial,100,200,,,,,1,1,1,1,,,,,1,1,,1,,prostrate,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucousred_brown,not_glaucousred_brown,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Hakea polyanthema,Proteaceae,Eneabba,perennial,70,130,,,1,1,,,1,,,,,1,1,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Hakea preissii,Proteaceae,Eneabba,perennial,200,800,,,,,1,1,1,1,,,,,,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNYYYYYYYY,dry,,,C3,1
,Hakea prostrata,Proteaceae,Eneabba & Cooljarloo,perennial,30,400,,,1,1,1,1,,1,,,,1,1,1,,1,,erect prostrate,,woody,,,leaf,flat,,,,simple,,1,,entire toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Hakea psilorrhyncha,Proteaceae,Eneabba & Cooljarloo,perennial,100,400,,,,1,1,1,,1,,,,,1,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Hakea ruscifolia,Proteaceae,Eneabba & Cooljarloo,perennial,100,200,,,1,1,,,1,1,,,,,1,1,,1,,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNNNNYY,dry,,,C3,1
,Hakea scoparia subsp. scoparia,Proteaceae,Eneabba,perennial,100,350,,,,1,1,1,,1,,,,,1,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,resprouts,,C3,1
,Hakea smilacifolia,Proteaceae,Eneabba & Cooljarloo,perennial,30,150,,,1,1,1,,,1,,,,1,1,1,,1,,prostrate,,woody,,,leaf,,1,,,simple,,1,,entire toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Hakea stenocarpa,Proteaceae,Eneabba & Cooljarloo,perennial,50,100,,,1,1,,,1,1,,,,1,1,,,1,,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Hakea sulcata,Proteaceae,Cooljarloo,perennial,50,150,,,1,1,,,,1,,,,1,1,1,,1,,erect prostrate,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Hakea trifurcata,Proteaceae,Eneabba & Cooljarloo,perennial,40,250,,,1,1,1,,1,1,,,,1,1,1,,1,,erect,,woody,,,leaf,flat,1,,,simplecompound,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,,,C3,1
,Hakea undulata,Proteaceae,Eneabba & Cooljarloo,perennial,100,200,,,,1,1,,,1,,,,,1,1,,1,,erect,,woody,,,leaf,flat,,,,simple,,1,,entire toothed,,undulate,glabrous,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Hakea varia,Proteaceae,Eneabba & Cooljarloo,perennial,80,400,,,,1,1,1,1,1,,,,,1,1,,1,,erect prostrate,,woody,,,leaf,flat,1,,,simple,1,1,,entire toothed,lobed_deep,,glabrous,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Haloragis foliosa,Haloragaceae,Eneabba & Cooljarloo,perennial,20,50,1,1,1,,,,1,,,,1,1,1,0,,,1,erect prostrate,,woody_base,,,leaf,flat,,,,simple,1,1,,toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hardenbergia comptoniana,Fabaceae,Cooljarloo,perennial,50,1000,,,,1,1,1,1,,,,1,1,1,1,,1,,erect,,woody_base,,,leaf,flat,,,,compound,,1,,entire,lobed_deep,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Heliophila pusilla,Brassicaceae,Cooljarloo,,5,50,1,1,1,,,,,1,,,1,1,,,,1,1,erect prostrate,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Hemiandra glabra,Lamiaceae,Cooljarloo,perennial,15,150,,1,1,1,1,,1,1,,,1,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hemiandra leiantha,Lamiaceae,Eneabba,perennial,60,80,,,1,1,,,1,1,,,0,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hemiandra linearis,Lamiaceae,Eneabba & Cooljarloo,perennial,10,60,,1,1,1,,,1,1,,,1,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hemiandra pungens,Lamiaceae,Eneabba & Cooljarloo,perennial,5,100,,1,1,1,,,1,1,,,1,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hemiandra rubriflora,Lamiaceae,Eneabba & Cooljarloo,perennial,10,60,,1,1,1,,,1,1,,,1,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hemiandra sp. Eneabba (H. Demarz 3687),Lamiaceae,Eneabba,perennial,50,90,,,1,1,,,1,1,,,0,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,,,1,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hemigenia barbata,Lamiaceae,Eneabba,perennial,20,100,,,1,1,,,,1,,,1,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hemigenia diplanthera,Lamiaceae,Eneabba,perennial,15,120,,,1,1,1,,,1,,,1,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hemiphora bartlingii,Lamiaceae,Eneabba & Cooljarloo,perennial,30.48,61,,,1,1,,,1,1,,,0,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hensmania stoniella,Hemerocallidaceae,Eneabba & Cooljarloo,perennial,10,20,1,1,,,,,,1,,,1,1,0,0,,,1,erect,,herbaceous,,,leaf,,1,,,simple,1,,,entire,,,,not_glaucous,not_glaucous,absent,,,,,absent,,1,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hensmania turbinata,Hemerocallidaceae,Cooljarloo,perennial,10,20,1,1,,,,,,1,,,1,1,0,0,,,1,erect,,herbaceous,,,leaf,,1,,,simple,1,,,entire,,,,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hibbertia acerosa,Dilleniaceae,Eneabba & Cooljarloo,perennial,10,60,1,1,1,1,,,,1,,,1,,,,,,1,erect prostrate,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia aurea,Dilleniaceae,Eneabba & Cooljarloo,perennial,25,100,1,1,1,1,,,,1,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia crassifolia,Dilleniaceae,Eneabba & Cooljarloo,perennial,20,70,1,1,1,1,,,,1,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia desmophylla,Dilleniaceae,Cooljarloo,perennial,20,50,1,1,1,1,,,,1,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia huegelii,Dilleniaceae,Eneabba & Cooljarloo,perennial,10,50,1,1,1,1,,,,1,,,1,,,,,,1,erect decumbent,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia hypericoides subsp. septentrionalis,Dilleniaceae,Eneabba,perennial,30,80,1,1,1,1,,,,1,,,1,,,,,,1,decumbent,,woody,,,leaf,flat conduplicate,,,,simple,1,1,,entire,,,hairy,glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia leucocrossa,Dilleniaceae,Eneabba & Cooljarloo,perennial,20,30,1,1,1,1,,,,1,,,1,,,,,,1,erect decumbent,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hibbertia polystachya,Dilleniaceae,Eneabba,perennial,10,50,1,1,1,1,,,,1,,,1,,,,,,1,erect decumbent,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia propinqua,Dilleniaceae,Eneabba,perennial,30,50,1,1,1,1,,,,1,,,1,,,,,1,,erect decumbent,,woody,,,leaf,flat conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia racemosa,Dilleniaceae,Cooljarloo,perennial,10,30,1,1,1,1,,,,1,,,1,,,,,,1,erect decumbent,,woody,,,leaf,flat conduplicate,,,,simple,1,,,entire toothed,,,,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia sericosepala,Dilleniaceae,Eneabba & Cooljarloo,perennial,20,40,1,1,1,,,,,1,,,1,,,,,,1,decumbent,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
Hibbertia spicata subsp. leptotheca,Hibbertia leptotheca,Dilleniaceae,Cooljarloo,perennial,20,40,1,1,1,1,,,,1,,,1,,,,,,1,erect decumbent,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
Hibbertia spicata subsp. spicata,Hibbertia spicata,Dilleniaceae,Eneabba & Cooljarloo,perennial,20,50,1,1,1,1,,,,1,,,1,,,,,,1,erect decumbent,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibbertia stellaris,Dilleniaceae,Cooljarloo,perennial,15,150,1,1,1,1,1,,,1,,,1,,,,,,1,erect prostrate decumbent,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hibbertia subvaginata,Dilleniaceae,Eneabba & Cooljarloo,perennial,15,60,1,1,1,1,,,,1,1,,1,,,,,,1,erect decumbent,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hibiscus drummondii,Malvaceae,Eneabba,perennial,30,100,,,1,1,,,,,1,,0,1,1,0,,,1,erect prostrate,,woody,,,leaf,flat,,,,simple,,,1,entire,lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hopkinsia anoectocolea,Anarthriaceae,Cooljarloo,perennial,40,100,1,1,1,1,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,resprouts,,C3,1
,Hordeum hystrix,Poaceae,Cooljarloo,,6,35,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hordeum leporinum,Poaceae,Eneabba,,10,40,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hovea pungens,Fabaceae,Cooljarloo,perennial,20,180,,1,1,1,,,,1,,,1,1,1,1,,1,,erect,,woody,,,leaf,conduplicate,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Hovea stricta,Fabaceae,Eneabba & Cooljarloo,perennial,20,100,,1,1,1,,,,1,,,1,1,1,,,1,1,erect,,woody,,,leaf,conduplicate,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hovea trisperma,Fabaceae,Cooljarloo,perennial,10,70,,1,1,,,,,1,,,1,1,1,,,,1,erect,,woody,,,leaf,flat conduplicate,,,,simple,,1,,entire,,undulate,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hyalosperma cotula,Asteraceae,Eneabba & Cooljarloo,,5,25,1,1,,,,,,1,,,1,,,,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Hyalosperma demissum,Asteraceae,Eneabba,,0.5,2,1,1,,,,,1,,,,1,,,,,,1,prostrate,,herbaceous,,1,leaf,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hybanthus calycinus,Violaceae,Eneabba & Cooljarloo,perennial,10,60,,1,1,,,,,1,,,1,,,,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Hybanthus floribundus subsp. floribundus,Violaceae,Eneabba,perennial,15,130,,,1,1,,,1,,,,,1,,,,1,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYNNNNN,dry,,arbuscular_mycorrhizal,C3,
,Hybanthus floribundus subsp. Hill River (E.M. Bennett 2252),Violaceae,Eneabba,perennial,30,70,,,1,,,,,1,,,1,1,,,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYNNNNN,dry,,arbuscular_mycorrhizal,C3,
,Hydrocotyle alata,Araliaceae,Cooljarloo,,1,10,1,,,,,,,1,,,1,,,,,1,,erect prostrate,,herbaceous,,1,leaf,flat,,,,compound,,1,1,,lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
Hydrocotyle blepharocarpa,Hydrocotyle scutellifera,Araliaceae,Cooljarloo,,2,10,1,,,,,,,,1,,1,,,,,1,,erect prostrate,,herbaceous,,1,leaf,flat,,,,compound,,1,1,,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
