Accepted taxon name in Plant List www.theplantlist.org,growth habit,growth habit source,climbing type,climbing type source,dispersal appendage/syndrome,dispersal source ,SLA (mm2/mg),SLA source,leaf size (cm2),leaf size source,seed mass (mg) ,seed mass source,,,,,,,,
Fridericia pubescens,woody,17,twiner,17,wing,17,,,32.16,,4.36,53,,,,,,,,
Fridericia pulchella,,,,,,,,,,,,,,,,,,,,
Fridericia samydoides,,,,,wind,87,,,,,,,,,,,,,,
Fridericia schummanniana,woody,5,twiner,5,wing,"43,57",10.672896,57,51.53,"5,57",4772.49,100,,,,,,,,
Fridericia speciosa,,,,,,,,,,,,,,,,,,,,
Fridericia trailii,,,,,wing,57,,,,,,,,,,,,,,
Fridericia triplinervia,,,,,,,,,,,,,,,,,,,,
Fridericia tuberculata,,,,,wind,53,,,,,,,,,,,,,,
Friesodielsia glauca,,,,,fleshy,86,,,,,,,,,,,,,,
Galactia striata,,,,,,,,,,,,,,,,,,,,
Gardneria lanceolata,woody,9,twiner,77,berry,9,,,17.85,9,,,,,,,,,,
Gardneria ovata,woody,9,scrambler,9,berry,9,,,4.62,9,,,,,,,,,,
Geitonoplesium cymosum,herbaceous,28,twiner,28,berry,28,39.47148607,57,5.60,"15,16,57",15.32,53,,,,,,,,
Geophila repens,herbaceous,5,scrambler,5,fleshy,5,,,5.25,5,7.98,100,,,,,,,,
Getonia floribunda,woody,98,twiner,75,wind,75,,,,,,,,,,,,,,
Gloriosa superba,,,tendrils,9,,,,,,9,,,,,,,,,,
Glossocarya hemiderma,woody,27,twiner,27,,,,,23.10,27,,,,,,,,,,
Glycine clandestina,herbaceous,28,tendrils,28,elaiosome,"57,60",40.71974138,57,0.92,"16,30,57",4.20,50,,,,,,,,
Glycine microphylla,herbaceous,28,scrambler,28,elaiosome,60,30.79921788,57,1.09,"16,57",,,,,,,,,,
Gnetum gnemonoides,,,,,,,,,,,,,,,,,,,,
Gnetum latifolium,,,,,,,,,,,,,,,,,,,,
Gnetum leyboldii,woody,5,twiner,5,animal,53,,,53.89,3,2952.46,100,,,,,,,,
Gnetum montanum,,,,,animal,53,,,91.88,9,,,,,,,,,,
Gnetum neglectum,,,,,,,,,,,,,,,,,,,,
Gnetum nodiflorum,,,,,,,,,,,,,,,,,,,,
Gnetum parvifolium,,,,,,,,,17.63,9,235.96,100,,,,,,,,
Gnetum pendulum,,,,,,,,,53.90,9,1945.71,100,,,,,,,,
Gnetum schwackeanum,,,,,,,,,,,,,,,,,,,,
Gnetum ula,,,twiner,76,animal,76,,,,,,,,,,,,,,
Gnetum urens,,,,,,,,,,,,,,,,,,,,
Gonioanthela hilariana,,,,,,,,,,,,,,,,,,,,
Gonolobus parviflorus,,,,,coma,86,,,,,,,,,,,,,,
Gonolobus rostratus,,,,,coma,86,,,,,,,,,,,,,,
Gouania colombiana,,,,,,,,,,,,,,,,,,,,
Gouania latifolia,woody,9,tendrils,9,,,,,,,,,,,,,,,,
Gouania longipetala,woody,9,tendrils,9,wings,83,,,29.64,83,20.30,100,,,,,,,,
Gouania longispicata,woody,9,tendrils,9,wind,72,,,41.65,83,7.67,100,,,,,,,,
Gouania lupuloides,woody,9,tendrils,9,wing,"53,57",25.38095238,57,29.09,"2,3,57",,,,,,,,,,
Gouania polygama,woody,9,tendrils,9,,,,,,,1.77,53,,,,,,,,
Gouania pyrifolia,woody,9,tendrils,9,,,,,,,,,,,,,,,,
Gouania ulmifolia,woody,9,tendrils,9,,,,,,,,,,,,,,,,
Gouania virgata,woody,9,tendrils,9,,,,,,,,,,,,,,,,
Grevillea laurifolia,woody,28,scrambler,28,,,,,21.00,28,,,,,,,,,,
Grewia carpinifolia,,,,,drupe,5,,,,,126.66,53,,,,,,,,
Grewia flavescens,woody,83,scrambler,83,drupe,83,,,29.40,83,,,,,,,,,,
Grewia rhamnifolia,,,twiner,76,drupe,76,,,,,,,,,,,,,,
Griffonia simplicifolia,woody,36,twiner,36,,,,,28.35,36,166.24,100,,,,,,,,
Gurania macrantha,,,,,,,,,,,,,,,,,,,,
Gurania pedata,,,,,,,,,,,,,,,,,,,,
Gurania rhizantha,,,,,,,,,,,,,,,,,,,,
Hardenbergia violacea,herbaceous,28,twiner,28,elaiosome,"28,57",7.298460696,57,11.25,"28,57",15.10,53,,,,,,,,
Hebanthe eriantha,,,,,,,,,,,,,,,,,,,,
Hebanthe occidentalis,,,,,,,,,,,,,,,,,,,,
Hedera helix,,,,,animal,"53,57",11.78586618,57,18.91,"22,57",23.60,53,,,,,,,,
Hedera rhombea,woody,10,scrambler,10,berry,10,,,22.34,10,,,,,,,,,,
Heisteria scandens,woody,43,,,fleshy,5,11.913335,57,,,,,,,,,,,,
Helinus mystacinus,woody,83,tendrils,83,animal,25,,,3.50,83,,,,,,,,,,
Hemidesmus indicus,,,,,coma,12,,,6.83,12,,,,,,,,,,
Herreria salsaparilha,,,,,,,,,,,,,,,,,,,,
Heterocondylus alatus,,,,,,,,,,,,,,,,,,,,
Heterocondylus vitalbae,herbaceous,43,scrambler,5,wind,64,,,29.75,5,,,,,,,,,,
Heteropterys argyrophaea,,,,,,,,,,,,,,,,,,,,
Heteropterys bicolor,,,,,,,,,,,,,,,,,,,,
Heteropterys brachiata,,,,,,,,,,,,,,,,,,,,
Heteropterys byrsonimifolia,,,,,,,,,,,,,,,,,,,,
Heteropterys campestris,,,,,,,,,,,,,,,,,,,,
Heteropterys dumetorum,,,,,,,,,,,,,,,,,,,,
Heteropterys escalloniifolia,,,,,,,,,,,,,,,,,,,,
Heteropterys intermedia,,,,,,,,,,,,,,,,,,,,
Heteropterys laurifolia,woody,5,scrambler,5,wind,"5,57",,,51.98,5,,,,,,,,,,
Heteropterys obovata,,,,,,,,,,,,,,,,,,,,
Heteropterys orinocensis,,,,,,,,,,,,,,,,,,,,
Heteropterys pauciflora,,,,,,,,,,,,,,,,,,,,
Heterosmilax chinensis,herbaceous,10,tendrils,9,berry,9,,,23.89,9,,,,,,,,,,
Heterosmilax japonica,herbaceous,10,tendrils,9,berry,"9,57",,,6.34,9,,,,,,,,,,
Heterosmilax yunnanensis,herbaceous,10,tendrils,9,berry,10,,,62.72,9,,,,,,,,,,
Hibbertia dentata,herbaceous,28,twiner,28,aril,64,12.02724675,57,6.57,"15,18,57",6.89,49,,,,,,,,
Hibbertia scandens,woody,27,twiner,27,aril,27,13.7995032,57,17.68,"15,26,57",7.49,53,,,,,,,,
Hippocratea andina ,,,,,wind,"53,57",,,,,,,,,,,,,,
Hippocratea barbata,woody,28,twiner,28,wing,28,38.66934995,57,12.47,"15,57",41.50,53,,,,,,,,
Hippocratea bourdillonii,,,,,,,,,,,,,,,,,,,,
Hippocratea goetzei,woody,83,hooks,72,unassisted,72,,,34.02,83,,,,,,,,,,
Hippocratea macrophylla,,,,,,,,,,,,,,,,,,,,
Hippocratea parvifolia,woody,83,scrambler,83,winged,83,,,15.48,83,,,,,,,,,,
Hippocratea vignei,,,,,,,,,,,,,,,,,,,,
Hippocratea volubilis,woody,5,twiner,5,wing,"5,57",,,32.33,"3,33,57",49.31,100,,,,,,,,
Hiptage benghalensis,woody,10,twiner,10,samara,9,,,47.25,9,21.47,100,,,,,,,,
Hiraea fagifolia,,,,,wind,"53,57",,,,,,,,,,,,,,
Hiraea faginea,woody,5,twiner,5,wing,5,,,39.11,3,,,,,,,,,,
Hiraea grandifolia,woody,5,twiner,5,wind,43,,,131.46,3,,,,,,,,,,
Hiraea reclinata,woody,5,twiner,5,wing,5,,,32.56,3,,,,,,,,,,
Hiraea smilacina,woody,5,twiner,5,wing,5,,,119.00,5,,,,,,,,,,
Hiraea ternifolia,,,,,,,,,,,,,,,,,,,,
Holboellia latifolia,,,twiner,77,animal,77,,,26.60,9,50.98,53,,,,,,,,
Hoya australis,herbaceous,28,roots,28,coma,28,13.01,15,27.50,15,2.01,53,,,,,,,,
Hoya carnosa,herbaceous,10,roots,10,coma,10,,,24.67,10,3.78,100,,,,,,,,
Hoya macgillivrayi,herbaceous,27,roots,27,coma,27,,,51.98,27,,,,,,,,,,
Hoya multiflora,,,,,coma,9,,,36.40,9,9.68,100,,,,,,,,
Hugonia ferruginea,,,,,,,,,,,,,,,,,,,,
Hugonia jenkinsii,woody,27,,,,,,,30.01,27,,,,,,,,,,
Hugonia mystax,,,hooks,76,animal,80,,,,,,,,,,,,,,
Hugonia platysepala,,,,,,,,,,,,,,,,,,,,
Hydrangea anomala,woody,9,roots,77,wing,9,,,47.78,9,0.12,53,,,,,,,,
Hydrangea serratifolia,woody,89,roots,89,,,,,,,0.01,53,,,,,,,,
Hylenaea comosa,,,,,,,,,,,,,,,,,,,,
Hylenaea praecelsa,woody,5,twiner,5,buoyant,5,,,72.80,5,2027.00,53,,,,,,,,
Hypoxis decumbens,,,,,,,,,,,,,,,,,,,,
Hypselodelphys poggeana,,,,,,,,,,,,,,,,,,,,
Hypselodelphys violacea,,,,,,,,,,,,,,,,,,,,
Hypserpa decumbens,woody,28,twiner,28,drupe,28,,,15.36,"27,28",30.93,100,,,,,,,,
Hypserpa laurina,woody,27,twiner,27,drupe,27,,,42.39,27,43.00,53,,,,,,,,
Hypserpa nitida,woody,9,,,drupe,9,,,22.40,9,,,,,,,,,,
Hypserpa smilacifolia,woody,27,twiner,27,drupe,27,,,29.46,27,,,,,,,,,,
Ichnocarpus frutescens,woody,27,twiner,80,coma,27,,,22.33,"9,27,81",17.09,100,,,,,,,,
Illigera megaptera,,,,,,,,,,,,,,,,,,,,
Iodes africana,,,,,,,,,,,,,,,,,,,,
Iodes cirrhosa,,,tendrils,9,drupe,9,,,42.00,9,,,,,,,,,,
Ipomoea alba,herbaceous,9,twiner,9,,,,,110.25,9,,,,,,,,,,
Ipomoea asarifolia,herbaceous,83,twiner,83,,,,,22.05,,77.45,53,,,,,,,,
Ipomoea bahiensis,,,,,,,,,,,,,,,,,,,,
Ipomoea batatas,herbaceous,9,twiner,9,unassisted,5,,,47.60,9,14.77,100,,,,,,,,
Ipomoea brasiliana,,,,,,,,,,,,,,,,,,,,
Ipomoea cairica,herbaceous,9,twiner,72,wind,"72,73",,,3.94,9,53.47,100,,,,,,,,
Ipomoea goyazensis,,,,,,,,,,,,,,,,,,,,
Ipomoea hederifolia,herbaceous,21,twiner,21,hairs,83,,,40.95,21,25.37,100,,,,,,,,
Ipomoea hochstetteri,herbaceous,21,twiner,21,wind,72,,,44.80,21,26.63,53,,,,,,,,
Ipomoea indica,herbaceous,21,twiner,21,,,,,73.15,21,,,,,,,,,,
Ipomoea nil,herbaceous,9,twiner,9,hairs,83,,,61.51,9,35.20,53,,,,,,,,
Ipomoea pes-caprae,herbaceous,9,twiner,9,tomentose,10,,,26.16,9,94.36,53,,,,,,,,
Ipomoea phyllomega,herbaceous,5,twiner,5,wind,43,,,98.50,3,,,,,,,,,,
Ipomoea purpurea,herbaceous,9,twiner,9,unassisted,"53,57",28.462,57,71.86,"9,57",30.20,53,,,,,,,,
Ipomoea quamoclit,herbaceous,9,twiner,9,hairs,10,,,37.80,5,13.50,53,,,,,,,,
Ipomoea rubrifolia,,,,,,,,,,,,,,,,,,,,
Ipomoea saopaulista,,,,,,,,,,,,,,,,,,,,
Ipomoea squamosa,herbaceous,5,twiner,5,wind,43,,,29.93,5,,,,,,,,,,
Ipomoea syringifolia,,,,,,,,,,,,,,,,,,,,
Ipomoea tubata,,,,,,,,,,,,,,,,,,,,
Isoglossa punctata,,,twiner,72,wind,72,,,,,,,,,,,,,,
Jacquemontia ciliata,,,twiner,9,,,,,,9,,,,,,,,,,
Jacquemontia densiflora,,,twiner,9,,,,,,9,,,,,,,,,,
Jacquemontia evolvuloides,,,twiner,9,,,,,,9,,,,,,,,,,
Jacquemontia lorentzii ,,,twiner,9,,,,,,9,,,,,,,,,,
Janusia guaranitica,,,,,,,,,,,,,,,,,,,,
Jasminum abyssinicum,woody,21,scrambler,21,berry,21,,,13.48,21,,,,,,,,,,
Jasminum angustifolium,woody,21,twiner,21,berry,21,,,31.50,21,,,,,,,,,,
Jasminum angustifolium var. sessiliflorum,,,,,,,,,,,,,,,,,,,,
Jasminum azoricum,,,twiner,76,animals,76,,,,,,,,,,,,,,
Jasminum brevilobum,woody,12,scrambler,12,,,,,12.60,12,,,,,,,,,,
Jasminum dichotomum,woody,21,scrambler,21,berry,21,,,15.93,21,,,,,,,,,,
Jasminum didymum,woody,27,twiner,27,drupe,27,,,5.40,32,68.76,53,,,,,,,,
Jasminum didymum subsp. lineare ,woody,28,scrambler,28,berry,"28,57",7.196411765,57,1.54,"16,30,57",41.59,50,,,,,,,,
Jasminum domatiigerum,,,,,,,,,,,,,,,,,,,,
Jasminum fluminense,woody,21,scrambler,21,berry,21,,,6.13,21,90.65,53,,,,,,,,
Jasminum grandiflorum,woody,9,scrambler,9,,,,,1.61,9,,,,,,,,,,
Jasminum kajewskii,woody,27,twiner,27,drupe,27,,,38.50,27,327.53,100,,,,,,,,
Jasminum multiflorum,woody,9,scrambler,9,,,,,14.44,9,,,,,,,,,,
Jasminum ritchiei,,,,,,,,,,,,,,,,,,,,
Jasminum sambac,woody,9,scrambler,9,berry,9,,,27.43,9,,,,,,,,,,
Jasminum simplicifolium subsp. australiense,woody,28,scrambler,28,berry,28,15.32,15,13.20,15,,,,,,,,,,
Jasminum urophyllum,woody,9,twiner,77,berry,9,,,26.95,9,,,,,,,,,,
Justicia graciliflora,,43,scrambler,5,ballistic,43,,,42.00,5,18.61,100,,,,,,,,
Kadsura coccinea,,,twiner,77,fleshy,9,,,56.88,9,61.67,53,,,,,,,,
Kadsura japonica,woody,10,twiner,10,fleshy,10,,,25.59,9,4.47,53,,,,,,,,
Keetia gueinzii,woody,83,twiner,72,mammals,72,,,31.59,83,,,,,,,,,,
Keetia hispidum,,,,,,,,,,,,,,,,,,,,
Keetia venosa,woody,83,scrambler,83,,,,,33.99,83,40.05,53,,,,,,,,
Keetia zanzibarica,,,twiner,72,mammals,72,,,33.25,83,75.46,53,,,,,,,,
Kennedia rubicunda,herbaceous,27,twiner,27,,,29.53235812,57,5.98,"16,57",25.50,53,,,,,,,,
Korthalsia echinometra,,,,,,,,,,,,,,,,,,,,
Korthalsia ferox,,,,,,,,,,,,,,,,,,,,
Korthalsia flagellaris,,,,,,,,,,,,,,,,,,,,
Korthalsia junghuhnii,,,,,,,,,,,,,,,,,,,,
Korthalsia laciniosa,,,,,animal,53,,,,,,,,,,,,,,
Korthalsia rigida,,,,,,,,,,,,,,,,,,,,
Korthalsia rostrata,,,,,animal,"53,57",,,,,,,,,,,,,,
Kunstleria keralensis,,,,,,,,,,,,,,,,,,,,
Lablab purpureus,herbaceous,9,twiner,9,aril,83,,,44.80,9,224.70,53,,,,,,,,
Lagenaria abyssinica,herbaceous,21,tendrils,21,fleshy,21,,,80.85,21,92.29,53,,,,,,,,
Lagenaria breviflora,herbaceous,25,tendrils,25,fleshy,25,,,137.16,83,49.64,100,,,,,,,,
Landolphia buchananii,woody,83,twiner,72,animals,72,,,20.48,83,,,,,,,,,,
Landolphia dulcis,,,,,,,,,,,,,,,,,,,,
Landolphia hirsuta,,,,,,,,,,,,,,,,,,,,
Landolphia landolphioides,,,,,,,,,,,,,,,,,,,,
Landolphia micrantha,,,,,,,,,,,,,,,,,,,,
Landolphia owariensis,woody,83,twiner,83,animals,83,,,24.73,83,,,,,,,,,,
Lantana canescens,,,,,berry,63,,,,,,,,,,,,,,
Legnephora moorei,woody,27,twiner,27,berry,27,,,105.04,27,20.00,53,,,,,,,,
Leptoderris brachyptera,,,,,,,,,,,84.79,53,,,,,,,,
Leptoderris fasciculata,,,,,,,,,,,,,,,,,,,,
Leptoderris micrantha,,,,,,,,,,,,,,,,,,,,
Linostoma pauciflorum,,,,,wind,"53,57",,,,,,,,,,,,,,
Loeseneriella africana,woody,83,hooks,72,winged,83,,,46.29,83,,,,,,,,,,
Lonicera affinis,,,,,,,,,,,,,,,,,,,,
Lonicera japonica,woody,10,twiner,77,berry,10,,,9.63,10,1.80,53,,,,,,,,
Lophopetalum glabrum,,,,,,,,,,,,,,,,,,,,
Luffa cylindrica,herbaceous,21,tendrils,12,fleshy,21,,,113.40,12,88.00,53,,,,,,,,
Lundia obliqua,,,,,wind,87,,,,,,,,,,,,,,
Lundia oligoneuron,,,,,wind,86,,,,,,,,,,,,,,
Lundia triphylla,,,,,wind,87,,,,,,,,,,,,,,
Lundia virginalis,,,,,wind,87,,,,,,,,,,,,,,
Luvunga minutiflora,woody,9,hooks,9,berry,9,,,,,,,,,,,,,,
Luvunga sarmentosa,woody,9,hooks,9,berry,9,,,,,,,,,,,,,,
Luzuriaga polyphylla,,89,roots,89,endozoochory,61,,,,,,,,,,,,,,
Luzuriaga radicans,,89,roots,89,endozoochory,61,,,,,26.06,53,,,,,,,,
Lycianthes pauciflora,,,,,,,,,,,,,,,,,,,,
Lycianthes purpusii,,,,,,,,,,,,,,,,,,,,
Machaerium amazonense,,,,,,,,,,,,,,,,,,,,
Machaerium arboreum,woody,43,,,wind,43,,,,,,,,,,,,,,
Machaerium brasiliense,,,,,,,,,,,,,,,,,,,,
Machaerium cobanense,,,,,,,,,,,,,,,,,,,,
Machaerium cuspidatum,,,,,,,,,,,,,,,,,,,,
Machaerium dimorphandrum,,,,,,,,,,,,,,,,,,,,
Machaerium ferox,,,,,,,,,,,,,,,,,,,,
Machaerium floribundum,woody,5,spines,5,wind,"43,57",,,11.92,"5,57",83.00,53,,,,,,,,
Machaerium froesii,,,,,,,,,,,,,,,,,,,,
Machaerium humboldtianum,,,,,,,,,,,,,,,,,,,,
Machaerium inundatum,,,,,,,,,,,,,,,,,,,,
Machaerium isadelphum,woody,5,spines,5,wind,5,,,0.25,5,,,,,,,,,,
Machaerium kegelii,woody,5,spines,5,wind,5,,,29.40,5,,,,,,,,,,
Machaerium lindenianum,,,,,,,,,,,,,,,,,,,,
Machaerium madeirense,,,,,,,,,,,,,,,,,,,,
Machaerium milleflorum,,43,spines,5,wind,5,,,0.84,5,,,,,,,,,,
Machaerium multifoliatum,,,,,,,,,,,,,,,,,,,,
Machaerium myrianthum,,,,,,,,,,,,,,,,,,,,
Machaerium oblongifolium,,,,,,,,,,,,,,,,,,,,
Machaerium quinata,,,,,,,,,,,,,,,,,,,,
Machaerium salzmannii,,,,,,,,,,,,,,,,,,,,
Machaerium seemannii,woody,5,,,wind,43,,,5.36,5,,,,,,,,,,
Machaerium uncinatum,,,,,,,,,,,,,,,,,,,,
Maclura cochinchinensis,woody,9,hooks,9,animal,9,,,8.66,9,9.00,53,,,,,,,,
Macroptilium atropurpureum,herbaceous,9,scrambler,9,unassisted,"10,57",,,9.64,9,14.00,53,,,,,,,,
Macroptilium bracteatum,,,,,,,,,,,81.37,53,,,,,,,,
Macrosphyra longistyla,,,,,,,,,,,,,,,,,,,,
Maesa dependens,woody,27,scrambler,27,aril,27,,,29.26,27,,,,,,,,,,
Maesa ramentacea,woody,9,scrambler,9,fleshy,86,,,33.60,9,,,,,,,,,,
Malouettia tamaquirina,,,,,,,,,,,,,,,,,,,,
Malpighiodes leucanthele,,,,,wind,"53,57",,,,,89.77,52,,,,,,,,
Mandevilla hirsuta,,,,,,,,,,,,,,,,,,,,
Mandevilla leptophylla,,,,,,,,,,,,,,,,,,,,
Manekia obtusa,,,,,fleshy,86,,,,,,,,,,,,,,
Manettia cordifolia,,,,,,,,,,,,,,,,,,,,
Manettia luteorubra,,,,,,,,,,,,,,,,,,,,
Manihot leptophylla,,,,,,,,,,,,,,,,,,,,
Manniophyton fulvum,woody,36,scrambler,36,animal,36,,,686.00,36,,,,,,,,,,
Mansoa difficilis,,,,,wind,87,,,,,,,,,,,,,,
Mansoa hymenaea,,,,,wind,"53,57",,,,,99.16,53,,,,,,,,
Mansoa verrucifera,,,,,wind,"53,57",17.16666667,57,,,,,,,,,,,,
Marah oreganus,,,tendrils,86,,,,,,,1472.30,53,,,,,,,,
Marantochloa monophylla,,,,,,,,,,,,,,,,,,,,
Marcgravia mexicana,,,,,,,,,,,,,,,,,,,,
Marcgravia nepenthoides,,,,,,,,,63.00,57,,,,,,,,,,
Marcgravia polyantha,,,,,,,,,,,,,,,,,,,,
Marcgravia sintenisii,,,,,,,,,,,,,,,,,,,,
Maripa axilliflora,,,,,,,,,,,500.00,53,,,,,,,,
Maripa glabra,,,,,,,,,,,,,,,,,,,,
Maripa nicaraguensis,,,,,,,,,,,,,,,,,,,,
Maripa panamensis,woody,5,twiner,5,fleshy,5,9.9185875,57,38.80,"3,33,57",372.00,53,,,,,,,,
Maripa paniculata,,,,,,,,,,,,,,,,,,,,
Maripa peruviana,,,,,,,,,,,,,,,,,,,,
Maripa reticulata,,,,,,,,,,,,,,,,,,,,
Maripa scandens,,,,,animal,"53,57",,,,,256.52,52,,,,,,,,
Markea longiflora,,,,,,,,,,,,,,,,,,,,
Markea ulei,,,,,,,,,36.87,3,,,,,,,,,,
Marsdenia australis,herbaceous,28,twiner,28,coma,28,5.8,57,3.65,28,15.21,50,,,,,,,,
Marsdenia glandulifera,,,,,coma,86,,,,,,,,,,,,,,
Marsdenia hemiptera,herbaceous,28,twiner,28,coma,28,24.33,15,73.80,15,,,,,,,,,,
Marsdenia koi,,,twiner,77,wind,77,,,,,,,,,,,,,,
Marsdenia latifolia,,,,,coma,86,,,,,,,,,,,,,,
Marsdenia lloydii,herbaceous,28,twiner,28,coma,28,,,19.60,28,,,,,,,,,,
Marsdenia macrophylla,,,,,coma,86,,,,,,,,,,,,,,
Marsdenia micradenia,herbaceous,27,twiner,27,coma,27,,,3.94,27,,,,,,,,,,
Marsdenia tinctoria,woody,9,twiner,10,coma,9,,,28.35,9,37.50,100,,,,,,,,
Marsdenia trivirgulata,,,,,coma,86,,,,,,,,,,,,,,
Marsdenia sylvestris,woody,9,twiner,10,coma,9,,,14.09,9,29.67,100,,,,,,,,
Martinella obovata,,,,,wind,"53,57",,,77.85,3,,,,,,,,,,
Mascagnia cordifolia,,,,,,,,,,,,,,,,,,,,
Mascagnia ovatifolia,,,,,,,,,,,,,,,,,,,,
Mascagnia sepium,,,,,,,,,,,,,,,,,,,,
Mascagnia vacciniifolia,,,,,,,,,,,,,,,,,,,,
Matelea reflexa,,,,,wind,53,,,,,,,,,,,,,,
Melochia villosa,,,,,,,,,,,0.80,53,,,,,,,,
Melodinus acutiflorus,woody,27,twiner,27,berry,27,,,23.37,"27,28,81",99.86,100,,,,,,,,
Melodinus australis,woody,27,twiner,27,berry,27,,,24.82,"27,28,81",65.00,53,,,,,,,,
Melodinus cochinchinensis,woody,9,twiner,81,berry,"9,57",,,3.87,81,124.61,100,,,,,,,,
Melodorum leichhardtii,woody,27,twiner,27,bird,27,,,37.19,27,165.32,53,,,,,,,,
Melodorum uhrii,woody,27,twiner,27,bird,27,,,31.59,27,84.58,100,,,,,,,,
Melothria cucumis,,,tendrils,86,,,,,,,,,,,,,,,,
Melothria pendula,herbaceous,5,tendrils,5,berry,5,,,26.95,5,,,,,,,,,,
Melothria warmingii,,,tendrils,86,,,,,,,,,,,,,,,,
Mendoncia gracilis,herbaceous,43,twiner,5,drupe,5,,,31.24,5,338.08,100,,,,,,,,
Mendoncia litoralis,herbaceous,43,twiner,5,drupe,5,,,42.00,5,379.52,100,,,,,,,,
Mendoncia odorata,,,,,,,,,,,,,,,,,,,,
Mendoncia puberula,,,,,,,,,,,,,,,,,,,,
Mendoncia retusa,,,,,,,,,,,,,,,,,,,,
Mendoncia tonduzii,,,,,,,,,,,,,,,,,,,,
Mendoncia velloziana,,,,,,,,,,,,,,,,,,,,
Merremia aegyptia,,,,,,,,,,,51.60,53,,,,,,,,
Merremia cissoides,,,,,,,,,,,,,,,,,,,,
Merremia macrocalyx,,,,,,,,,,,,,,,,,,,,
Mesechites mansoanus,,,,,,,,,,,,,,,,,,,,
Mesechites trifidus,woody,5,twiner,5,wind,"5,57",,,16.58,3,3.00,53,,,,,,,,
Metastelma hirtellum,,,,,coma,86,,,,,,,,,,,,,,
Metastelma burchellii,,,,,coma,86,,,,,,,,,,,,,,
Metrosideros diffusa,,,,,,,19.58498955,57,0.35,35,,,,,,,,,,
Metrosideros fulgens,,,,,,,11.36715758,57,4.40,35,0.33,53,,,,,,,,
Metrosideros perforata,,,,,,,15.86013209,57,1.53,35,0.11,53,,,,,,,,
Microglossa pyrifolia,woody,10,twiner,72,pappus,10,,,14.44,10,,,,,,,,,,
Mikania aromatica,,,,,pappus,63,,,,,,,,,,,,,,
Mikania banisteriae,,,,,pappus,63,,,,,,,,,,,,,,
Mikania biformis,,,,,pappus,63,,,,,,,,,,,,,,
Mikania cordifolia,,,,,pappus,13,,,48.00,7,,,,,,,,,,
Mikania cynanchifolia,,,,,pappus,63,,,,,,,,,,,,,,
Mikania glomerata,,,,,pappus,63,,,,,,,,,,,,,,
Mikania hemisphaerica,,,,,pappus,63,,,,,,,,,,,,,,
Mikania leiostachya,,43,,,pappus,63,13.162523,57,38.90,"2,3,57",,,,,,,,,,
Mikania lundiana,,,,,pappus,63,,,,,,,,,,,,,,
Mikania micrantha,herbaceous,5,twiner,5,wind,"5,57",,,34.65,5,0.09,53,,,,,,,,
Mikania psilostachya,,,,,pappus,63,,,,,,,,,,,,,,
Mikania pyramidata,,,,,pappus,63,,,,,,,,,,,,,,
Mikania ramosissima,,,,,pappus,63,,,,,,,,,,,,,,
Mikania salviifolia,,,,,pappus,63,,,,,,,,,,,,,,
Mikania szyszylowiczii,,,,,pappus,63,,,,,,,,,,,,,,
Mikania triangularis,,,,,pappus,63,,,,,,,,,,,,,,
Millettia barteri,,,,,,,,,,,,,,,,,,,,
Millettia chrysophylla,,,,,,,,,,,,,,,,,,,,
Millettia dielsiana,,,twiner,77,unassisted,77,,,,,,,,,,,,,,
Millettia extensa,,,,,,,,,,,,,,,,,,,,
Millettia pachycarpa,woody,10,scrambler,10,unassisted,10,,,52.50,10,,,,,,,,,,
Millettia zechiana,,,,,,,,,,,,,,,,,,,,
Mimosa albida,,,,,,,,,,,9.15,53,,,,,,,,
Mimosa annularis,,,,,,,,,,,,,,,,,,,,
Mimosa guilandinae,,,,,animal,"53,57",,,,,,,,,,,,,,
Miquelia celebica,,,,,,,,,,,,,,,,,,,,
Mitraria coccinea,woody,89,roots,89,endozoochory,61,,,,,,,,,,,,,,
Mollugo verticillata,herbaceous,9,,,,,,,6.30,9,0.09,53,,,,,,,,
Momordica charantia,herbaceous,10,tendrils,12,animal,10,,,50.58,12,74.60,53,,,,,,,,
Momordica foetida,herbaceous,36,tendrils,12,berry,36,,,50.58,36,89.92,53,,,,,,,,
Monanthotaxis parvifolia,woody,21,scrambler,21,mammals,72,,,17.06,21,614.33,100,,,,,,,,
Monotagma plurispicatum,,,,,,,,,,,,,,,,,,,,
Morinda jasminoides,woody,27,twiner,15,fleshy syncarp,28,25.14366198,57,9.73,"15,20,57",7.90,53,,,,,,,,
Morinda reticulata,,,,,,,,,,,,,,,,,,,,
Morinda umbellata,woody,27,twiner,27,fleshy syncarp,"28,57",,,8.82,27,5.39,53,,,,,,,,
Motandra guineensis,woody,36,,,wind,"53,57",,,26.03,36,370.91,100,,,,,,,,
Motherwellia haplosciadea,woody,27,,,,,,,25.90,27,41.17,100,,,,,,,,
Moullava spicata,,,,,,,,,,,,,,,,,,,,
Moutabea guianensis,,,,,animal,53,,,,,1385.00,53,,,,,,,,
Mucuna gigantea,woody,9,twiner,15,water,57,,,46.78,"9,27",3841.00,53,,,,,,,,
Mucuna macrocarpa,woody,9,twiner,10,unassisted,10,,,65.98,9,919.55,100,,,,,,,,
Mucuna pruriens,herbaceous,9,twiner,9,unassisted,10,,,94.50,9,705.92,53,,,,,,,,
Mucuna sloanei,,,,,water,"53,57",,,,,,,,,,,,,,
