species_name,seed_mass_max_Kew_2019_1,seed_mass_max_Mokany_2015,seed_mass_max_RBGK_2014,seed_mass_to_keep_max,seed_mass_mean_Kew_2019_1,seed_mass_mean_Mokany_2015,seed_mass_mean_RBGK_2014,seed_mass_to_keep_mean,original_name,seed_mass_unique
Caladenia fuscata,NA,0.01,NA,keep,NA,0.01,NA,keep,Petalochilus fuscatus,seed_mass_to_keep
Caladenia gracilis,NA,0,NA,keep,NA,0,NA,keep,Caladenia angustata,seed_mass_to_keep
Caladenia gracilis,NA,0,NA,keep,NA,0,NA,keep,Caladenia gracilis,seed_mass_to_keep
Caladenia latifolia,NA,0,NA,keep,NA,0,NA,keep,Caladenia latifolia,seed_mass_to_keep
Caladenia lyallii,NA,0.01,NA,keep,NA,0,NA,keep,Caladenia alpina,seed_mass_to_keep
Caladenia lyallii,NA,0.01,NA,keep,NA,0,NA,keep,Stegostyla alpina,seed_mass_to_keep
Caladenia minor,NA,0,NA,keep,NA,0,NA,keep,Caladenia minor,seed_mass_to_keep
Caladenia patersonii,NA,0,NA,keep,NA,0,NA,keep,Caladenia patersonii,seed_mass_to_keep
Caladenia pusilla,NA,0,NA,keep,NA,0,NA,keep,Caladenia pusilla,seed_mass_to_keep
Caladenia tonellii,NA,0,NA,keep,NA,0,NA,keep,Caladenia tonellii,seed_mass_to_keep
Calamagrostis austrodensa,NA,0.21,NA,keep,NA,0.21,NA,keep,Deyeuxia densa,seed_mass_to_keep
Calamagrostis carinata,NA,0.34,NA,keep,NA,0.34,NA,keep,Deyeuxia carinata,seed_mass_to_keep
Calamagrostis frigida,NA,0.34,NA,keep,NA,0.34,NA,keep,Deyeuxia frigida,seed_mass_to_keep
Calamagrostis gunniana,NA,0.34,NA,keep,NA,0.34,NA,keep,Deyeuxia gunniana,seed_mass_to_keep
Calamagrostis minor,NA,0.45,NA,keep,NA,0.45,NA,keep,Deyeuxia minor,seed_mass_to_keep
Calamagrostis neocontracta,NA,0.5,NA,keep,NA,0.5,NA,keep,Deyeuxia contracta,seed_mass_to_keep
Calamagrostis quadriseta,NA,0.11,NA,keep,NA,0.11,NA,keep,Deyeuxia quadriseta,seed_mass_to_keep
Calandrinia calyptrata,0.09,0.1,NA,keep,0.09,0.1,NA,keep,Calandrinia calyptrata,seed_mass_to_keep
Caleana major,NA,0.01,NA,keep,NA,0.01,NA,keep,Caleana major,seed_mass_to_keep
Callistemon pallidus,NA,0.74,0.12,keep,NA,0.74,0.12,keep,Callistemon pallidus,seed_mass_to_keep
Callistemon viridiflorus,NA,0.74,0.07,keep,NA,0.74,0.07,keep,Callistemon viridiflorus,seed_mass_to_keep
Callitris oblonga,6.05,4.54,NA,keep,4.51,4.54,NA,keep,Callitris oblonga subsp oblonga,seed_mass_to_keep
Callitris rhomboidea,9.81,7.9,NA,keep,5.6,7.9,NA,keep,Callitris rhomboidea,seed_mass_to_keep
Calocephalus citreus,0.08,0.06,NA,keep,0.07,0.06,NA,keep,Calocephalus citreus,seed_mass_to_keep
Calochilus herbaceus,NA,0,NA,keep,NA,0,NA,keep,Calochilus herbaceus,seed_mass_to_keep
Calochilus paludosus,NA,0,NA,keep,NA,0,NA,keep,Calochilus paludosus,seed_mass_to_keep
Calochilus robertsonii,NA,0,NA,keep,NA,0,NA,keep,Calochilus robertsonii,seed_mass_to_keep
Calochlaena dubia,NA,3.3,NA,keep,NA,3.3,NA,keep,Calochlaena dubia,seed_mass_to_keep
Calorophus elongatus,NA,1.46,NA,keep,NA,1.46,NA,keep,Calorophus elongatus,seed_mass_to_keep
Calorophus erostris,NA,1.46,NA,keep,NA,1.46,NA,keep,Calorophus erostris,seed_mass_to_keep
Calytrix tetragona,2.08,1.64,NA,keep,1.65,1.64,NA,keep,Calytrix tetragona,seed_mass_to_keep
Campynema lineare,NA,2.77,NA,keep,NA,2.77,NA,keep,Campynema lineare,seed_mass_to_keep
Cardamine gunnii,0.15,0.66,NA,keep,0.15,0.66,NA,keep,Cardamine gunnii,seed_mass_to_keep
Cardamine lilacina,0.56,0.66,NA,keep,0.56,0.66,NA,keep,Cardamine lilacina,seed_mass_to_keep
Cardamine paucijuga,NA,0.66,NA,keep,NA,0.66,NA,keep,Cardamine paucijuga,seed_mass_to_keep
Carex appressa,1.61,0.71,NA,keep,0.83,0.71,NA,keep,Carex appressa,seed_mass_to_keep
