error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Kew_2019_1_10103,Mokany_2015,Epilobium tasmanicum,NA,NA,Mokany_2015_0433,seed_mass,0.0224,mg,NA,expert_mean,NA,Epilobium perpusillum
Kew_2019_1_10195,Mokany_2015,Euphrasia scabra,NA,NA,Mokany_2015_0480,seed_mass,0.0544,mg,NA,expert_mean,NA,Euphrasia scabra
Kew_2019_1_10301,Mokany_2015,Micrantheum serpentinum,NA,NA,Mokany_2015_0762,seed_mass,2.6192,mg,NA,expert_mean,NA,Micrantheum serpentinum
Kew_2019_1_10369,Mokany_2015,Pittosporum bicolor,NA,NA,Mokany_2015_0908,seed_mass,5.668,mg,NA,expert_mean,NA,Pittosporum bicolor
Kew_2019_1_10407,Mokany_2015,Gratiola nana,NA,NA,Mokany_2015_0546,seed_mass,0.0436,mg,NA,expert_mean,NA,Gratiola nana
Kew_2019_1_10446,Mokany_2015,Plantago varia,NA,NA,Mokany_2015_0918,seed_mass,1.7488,mg,NA,expert_mean,NA,Plantago varia
Kew_2019_1_10464,Mokany_2015,Veronica formosa,NA,NA,Mokany_2015_1182,seed_mass,1.3116,mg,NA,expert_mean,NA,Veronica formosa
Kew_2019_1_10466,Mokany_2015,Veronica gracilis,NA,NA,Mokany_2015_1183,seed_mass,0.514,mg,NA,expert_mean,NA,Veronica gracilis
Kew_2019_1_10838,Mokany_2015,Hierochloe rariflora,NA,NA,Mokany_2015_0583,seed_mass,0.54,mg,NA,expert_mean,NA,Hierochloe rariflora
Kew_2019_1_11062,Mokany_2015,Poa labillardierei,NA,NA,Mokany_2015_0927,seed_mass,0.5,mg,NA,expert_mean,NA,Poa labillardierei
Kew_2019_1_11248,Mokany_2015,Comesperma retusum,NA,NA,Mokany_2015_0289,seed_mass,1.0268,mg,NA,expert_mean,NA,Comesperma retusum
Kew_2019_1_11253,Mokany_2015,Comesperma volubile,NA,NA,Mokany_2015_0290,seed_mass,1.1896,mg,NA,expert_mean,NA,Comesperma volubile
Kew_2019_1_11263,Mokany_2015,Muehlenbeckia adpressa,NA,NA,Mokany_2015_0785,seed_mass,4.9092,mg,NA,expert_mean,NA,Muehlenbeckia adpressa
Kew_2019_1_11273,Mokany_2015,Persicaria decipiens,NA,NA,Mokany_2015_0874,seed_mass,1.4148,mg,NA,expert_mean,NA,Persicaria decipiens
Kew_2019_1_11291,Mokany_2015,Persicaria subsessilis,NA,NA,Mokany_2015_0875,seed_mass,3.474,mg,NA,expert_mean,NA,Persicaria subsessilis
Kew_2019_1_11305,Mokany_2015,Rumex brownii,NA,NA,Mokany_2015_1030,seed_mass,1.4484,mg,NA,expert_mean,NA,Rumex brownii
Kew_2019_1_11347,Mokany_2015,Lepilaena cylindrocarpa,NA,NA,Mokany_2015_0689,seed_mass,0.166,mg,NA,expert_mean,NA,Lepilaena cylindrocarpa
Kew_2019_1_11369,Mokany_2015,Samolus repens,NA,NA,Mokany_2015_1038,seed_mass,0.0664,mg,NA,expert_mean,NA,Samolus repens
Kew_2019_1_11387,Mokany_2015,Agastachys odorata,NA,NA,Mokany_2015_0037,seed_mass,1.2444,mg,NA,expert_mean,NA,Agastachys odorata
Kew_2019_1_11507,Mokany_2015,Banksia marginata,NA,NA,Mokany_2015_0134,seed_mass,6.1528,mg,NA,expert_mean,NA,Banksia marginata
Kew_2019_1_11625,Mokany_2015,Bellendena montana,NA,NA,Mokany_2015_0145,seed_mass,13.476,mg,NA,expert_mean,NA,Bellendena montana
Kew_2019_1_11901,Mokany_2015,Hakea epiglottis,NA,NA,Mokany_2015_0553,seed_mass,4.5248,mg,NA,expert_mean,NA,Hakea epiglottis
Kew_2019_1_11956,Mokany_2015,Hakea lissosperma,NA,NA,Mokany_2015_0554,seed_mass,12.996,mg,NA,expert_mean,NA,Hakea lissosperma
Kew_2019_1_11988,Mokany_2015,Hakea nodosa,NA,NA,Mokany_2015_0556,seed_mass,10.9528,mg,NA,expert_mean,NA,Hakea nodosa
Kew_2019_1_12093,Mokany_2015,Isopogon ceratophyllus,NA,NA,Mokany_2015_0631,seed_mass,2.3636,mg,NA,expert_mean,NA,Isopogon ceratophyllus
Kew_2019_1_12146,Mokany_2015,Orites diversifolius,NA,NA,Mokany_2015_0839,seed_mass,8.5936,mg,NA,expert_mean,NA,Orites diversifolius
Kew_2019_1_12149,Mokany_2015,Orites revolutus,NA,NA,Mokany_2015_0840,seed_mass,3.686,mg,NA,expert_mean,NA,Orites revolutus
Kew_2019_1_12234,Mokany_2015,Clematis gentianoides,NA,NA,Mokany_2015_0283,seed_mass,2.9748,mg,NA,expert_mean,NA,Clematis gentianoides
Kew_2019_1_12249,Mokany_2015,Ranunculus decurvus,NA,NA,Mokany_2015_0998,seed_mass,0.706,mg,NA,expert_mean,NA,Ranunculus decurvus
Kew_2019_1_12258,Mokany_2015,Ranunculus lappaceus,NA,NA,Mokany_2015_1000,seed_mass,2.1868,mg,NA,expert_mean,NA,Ranunculus lappaceus
Kew_2019_1_12273,Mokany_2015,Ranunculus scapiger,NA,NA,Mokany_2015_1003,seed_mass,1.202,mg,NA,expert_mean,NA,Ranunculus scapiger
Kew_2019_1_12320,Mokany_2015,Cryptandra amara,NA,NA,Mokany_2015_0320,seed_mass,1.0164,mg,NA,expert_mean,NA,Cryptandra amara
Kew_2019_1_12485,Mokany_2015,Spyridium ulicinum,NA,NA,Mokany_2015_1096,seed_mass,0.968,mg,NA,expert_mean,NA,Spyridium ulicinum
Kew_2019_1_12510,Mokany_2015,Acaena pallida,NA,NA,Mokany_2015_0024,seed_mass,1.6616,mg,NA,expert_mean,NA,Acaena pallida
Kew_2019_1_12576,Mokany_2015,Asperula pusilla,NA,NA,Mokany_2015_0084,seed_mass,0.792,mg,NA,expert_mean,NA,Asperula pusilla
Kew_2019_1_12911,Mokany_2015,Leptomeria drupacea,NA,NA,Mokany_2015_0698,seed_mass,4.4688,mg,NA,expert_mean,NA,Leptomeria drupacea
Kew_2019_1_13190,Mokany_2015,Cyphanthera tasmanica,NA,NA,Mokany_2015_0336,seed_mass,2.2436,mg,NA,expert_mean,NA,Cyphanthera tasmanica
Kew_2019_1_13353,Mokany_2015,Forstera bellidifolia,NA,NA,Mokany_2015_0494,seed_mass,0.0932,mg,NA,expert_mean,NA,Forstera bellidifolia
Kew_2019_1_13517,Mokany_2015,Pimelea ligustrina,NA,NA,Mokany_2015_0901,seed_mass,2.312,mg,NA,expert_mean,NA,Pimelea ligustrina
Kew_2019_1_13536,Mokany_2015,Pimelea serpyllifolia,NA,NA,Mokany_2015_0907,seed_mass,2.8556,mg,NA,expert_mean,NA,Pimelea serpyllifolia
Kew_2019_1_13644,Mokany_2015,Bulbine glauca,NA,NA,Mokany_2015_0186,seed_mass,2.4152,mg,NA,expert_mean,NA,Bulbine glauca
Kew_2019_1_13649,Mokany_2015,Bulbine semibarbata,NA,NA,Mokany_2015_0187,seed_mass,1.1756,mg,NA,expert_mean,NA,Bulbine semibarbata
Kew_2019_1_13675,Mokany_2015,Thelionema caespitosum,NA,NA,Mokany_2015_1127,seed_mass,1.8396,mg,NA,expert_mean,NA,Thelionema caespitosum
Kew_2019_1_13718,Mokany_2015,Xyris operculata,NA,NA,Mokany_2015_1216,seed_mass,0.0732,mg,NA,expert_mean,NA,Xyris operculata
