taxon_name,trait_name,entity_measured,trait_value,units,value_type
Ammi majus,leaf_margin_a,NA,toothed,NA,NA
Ammi majus,leaf_shape_a,NA,linear elliptical lanceolate obovate,NA,NA
Justicia betonica,leaf_margin_posture_a,NA,undulate,NA,NA
Justicia betonica,leaf_shape_a,NA,linear elliptical obovate,NA,NA
Brunoniella pumilio,leaf_margin_a,NA,entire,NA,NA
Brunoniella pumilio,leaf_shape_a,NA,linear elliptical obovate,NA,NA
Harnieria hygrophiloides,leaf_margin_a,NA,entire,NA,NA
Harnieria hygrophiloides,leaf_margin_posture_a,NA,undulate,NA,NA
Harnieria hygrophiloides,leaf_shape_a,NA,linear elliptical,NA,NA
Rhaphidospora bonneyana,leaf_arrangement_a,NA,clustered,NA,NA
Rhaphidospora bonneyana,leaf_margin_a,NA,entire,NA,NA
Rhaphidospora bonneyana,leaf_shape_a,NA,linear elliptical,NA,NA
Rutidosis murchisonii,leaf_shape_a,NA,linear elliptical,NA,NA
Patersonia rosea,leaf_shape_a,NA,linear ensiform,NA,NA
Asparagus scandens,leaf_base_shape_a,NA,attenuate,NA,NA
Asparagus scandens,leaf_shape_a,NA,linear falcate,NA,NA
Ammi visnaga,leaf_margin_a,NA,entire,NA,NA
Ammi visnaga,leaf_shape_a,NA,linear filiform,NA,NA
Sesuvium portulacastrum,leaf_shape_a,NA,linear lanceolate oblanceolate,NA,NA
Hygrophila angustifolia,leaf_base_shape_a,NA,attenuate,NA,NA
Hygrophila angustifolia,leaf_margin_a,NA,entire,NA,NA
Hygrophila angustifolia,leaf_margin_posture_a,NA,undulate,NA,NA
Hygrophila angustifolia,leaf_shape_a,NA,linear lanceolate,NA,NA
Ptilotus polystachyus,leaf_margin_posture_a,NA,undulate,NA,NA
Ptilotus polystachyus,leaf_shape_a,NA,linear lanceolate,NA,NA
Apium prostratum var. prostratum,leaf_margin_a,NA,entire,NA,NA
Apium prostratum var. prostratum,leaf_shape_a,NA,linear lanceolate,NA,NA
Arthropodium sp. Albury (A.D.J.Piesse 9),leaf_shape_a,NA,linear lanceolate,NA,NA
Arthropodium strictum,leaf_shape_a,NA,linear lanceolate,NA,NA
Cascabela thevetia,leaf_margin_posture_a,NA,recurved,NA,NA
Cascabela thevetia,leaf_shape_a,NA,linear lanceolate,NA,NA
Marsdenia australis,leaf_shape_a,NA,linear lanceolate,NA,NA
Siloxerus multiflorus,leaf_phyllotaxis_a,NA,alternate opposite,NA,NA
Siloxerus multiflorus,leaf_shape_a,NA,linear lanceolate,NA,NA
Aloe ciliaris,leaf_base_shape_a,NA,auriculate sheathing,NA,NA
Aloe ciliaris,leaf_lamina_posture_a,NA,convex,NA,NA
Aloe ciliaris,leaf_margin_a,NA,toothed toothed_dentate,NA,NA
Aloe ciliaris,leaf_shape_a,NA,linear lanceolate,NA,NA
Salix humboldtiana cv. Pyramidalis,leaf_margin_a,NA,toothed,NA,NA
Salix humboldtiana cv. Pyramidalis,leaf_shape_a,NA,linear lanceolate,NA,NA
Alternanthera nodiflora,leaf_margin_a,NA,toothed,NA,NA
Alternanthera nodiflora,leaf_shape_a,NA,linear lanceolate,NA,NA
Aggreflorum brachyandrum,leaf_base_shape_a,NA,attenuate,NA,NA
Aggreflorum brachyandrum,leaf_shape_a,NA,linear lanceolate,NA,NA
Amaranthus muricatus,leaf_shape_a,NA,linear lanceolate,NA,NA
Ptilotus leucocoma,leaf_shape_a,NA,linear lanceolate,NA,NA
Parsonsia eucalyptophylla,leaf_base_shape_a,NA,attenuate,NA,NA
Parsonsia eucalyptophylla,leaf_shape_a,NA,linear lanceolate ovate cordate,NA,NA
Tylophora linearis,leaf_base_shape_a,NA,attenuate cuneate,NA,NA
Tylophora linearis,leaf_shape_a,NA,linear lanceolate,NA,NA
Strobilanthes anisophylla,leaf_margin_a,NA,toothed,NA,NA
Strobilanthes anisophylla,leaf_phyllotaxis_a,NA,opposite,NA,NA
Strobilanthes anisophylla,leaf_shape_a,NA,lanceolate narrowly_ovate,NA,NA
Ptilotus gaudichaudii,leaf_shape_a,NA,linear lanceolate obovate spathulate,NA,NA
Isoglossa eranthemoides,leaf_base_shape_a,NA,oblique,NA,NA
Isoglossa eranthemoides,leaf_margin_a,NA,entire,NA,NA
Isoglossa eranthemoides,leaf_shape_a,NA,lanceolate ovate,NA,NA
Ptilotus extenuatus,leaf_shape_a,NA,linear lanceolate ovate,NA,NA
Pteris nipponica,leaf_margin_a,NA,toothed_dentate,NA,NA
Pteris nipponica,leaf_shape_a,NA,linear narrowly_oblong oblong falcate,NA,NA
Rostellularia adscendens var. adscendens,leaf_shape_a,NA,linear narrowly_oblong oblong widely_ovate,NA,NA
Ptilotus exaltatus,leaf_margin_a,NA,entire,NA,NA
Ptilotus exaltatus,leaf_margin_posture_a,NA,undulate,NA,NA
Ptilotus exaltatus,leaf_shape_a,NA,linear narrowly_elliptical lanceolate obovate spathulate,NA,NA
Pultenaea forsythiana,leaf_lamina_posture_a,NA,concave,NA,NA
Pultenaea forsythiana,leaf_margin_posture_a,NA,recurved flat,NA,NA
Pultenaea forsythiana,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea forsythiana,leaf_shape_a,NA,linear narrowly_elliptical narrowly_obovate,NA,NA
Asclepias curassavica,leaf_base_shape_a,NA,attenuate,NA,NA
Asclepias curassavica,leaf_shape_a,NA,linear narrowly_elliptical lanceolate,NA,NA
Ptilotus macrocephalus,leaf_margin_posture_a,NA,undulate,NA,NA
Ptilotus macrocephalus,leaf_shape_a,NA,linear narrowly_lanceolate,NA,NA
Cordyline congesta,leaf_base_shape_a,NA,attenuate,NA,NA
Cordyline congesta,leaf_margin_a,NA,toothed,NA,NA
Cordyline congesta,leaf_shape_a,NA,linear narrowly_lanceolate,NA,NA
Yucca aloifolia,leaf_margin_a,NA,toothed,NA,NA
Yucca aloifolia,leaf_shape_a,NA,linear narrowly_lanceolate,NA,NA
Gomphocarpus fruticosus,leaf_base_shape_a,NA,attenuate,NA,NA
Gomphocarpus fruticosus,leaf_shape_a,NA,linear narrowly_lanceolate,NA,NA
Gomphocarpus physocarpus,leaf_base_shape_a,NA,attenuate,NA,NA
Gomphocarpus physocarpus,leaf_shape_a,NA,linear narrowly_lanceolate,NA,NA
Marsdenia viridiflora,leaf_shape_a,NA,linear narrowly_lanceolate,NA,NA
Marsdenia viridiflora subsp. viridiflora,leaf_shape_a,NA,linear narrowly_lanceolate,NA,NA
Ptilotus modestus,leaf_shape_a,NA,linear narrowly_oblanceolate oblanceolate,NA,NA
Aciphylla simplicifolia,leaf_base_shape_a,NA,sheathing,NA,NA
Aciphylla simplicifolia,leaf_shape_a,NA,linear narrowly_oblanceolate cylindrical,NA,NA
Froelichia gracilis,leaf_shape_a,NA,linear narrowly_oblong narrowly_elliptical,NA,NA
Aerva javanica,leaf_shape_a,NA,linear narrowly_obovate,NA,NA
Pultenaea sp. Werrikimbe NP (L.M. Copeland 4477),leaf_lamina_posture_a,NA,concave,NA,NA
Pultenaea sp. Werrikimbe NP (L.M. Copeland 4477),leaf_margin_posture_a,NA,concave recurved,NA,NA
Pultenaea sp. Werrikimbe NP (L.M. Copeland 4477),leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea sp. Werrikimbe NP (L.M. Copeland 4477),leaf_shape_a,NA,linear oblanceolate,NA,NA
Pultenaea mutabilis,leaf_margin_posture_a,NA,flat involute,NA,NA
Pultenaea mutabilis,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea mutabilis,leaf_shape_a,NA,linear oblanceolate terete,NA,NA
Platysace ericoides,leaf_base_shape_a,NA,attenuate truncate,NA,NA
Platysace ericoides,leaf_shape_a,NA,linear oblong elliptical,NA,NA
Polyscias sambucifolia subsp. Short leaflets (V.Stajsic 196) Vic. Herbarium,leaf_margin_a,NA,entire,NA,NA
Polyscias sambucifolia subsp. Short leaflets (V.Stajsic 196) Vic. Herbarium,leaf_shape_a,NA,linear oblong falcate,NA,NA
Torilis nodosa,leaf_base_shape_a,NA,sheathing,NA,NA
Torilis nodosa,leaf_shape_a,NA,linear oblong ovate,NA,NA
Brunoniella australis,leaf_margin_a,NA,entire,NA,NA
Brunoniella australis,leaf_shape_a,NA,ovate oblanceolate obovate,NA,NA
Brunoniella spiciflora,leaf_margin_a,NA,toothed_serrate,NA,NA
Brunoniella spiciflora,leaf_shape_a,NA,ovate,NA,NA
Sagittaria platyphylla,leaf_shape_a,NA,linear ovate cordate,NA,NA
Pultenaea tenebrosa,leaf_margin_posture_a,NA,involute,NA,NA
Pultenaea tenebrosa,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea tenebrosa,leaf_shape_a,NA,linear terete,NA,NA
Astrotricha linearis,leaf_margin_posture_a,NA,revolute recurved,NA,NA
Astrotricha linearis,leaf_shape_a,NA,linear,NA,NA
Rhyncharrhena linearis,leaf_margin_posture_a,NA,revolute,NA,NA
Rhyncharrhena linearis,leaf_shape_a,NA,linear,NA,NA
Amaryllis belladonna,leaf_margin_a,NA,entire,NA,NA
Amaryllis belladonna,leaf_shape_a,NA,linear,NA,NA
Leucojum aestivum,leaf_lamina_posture_a,NA,flat,NA,NA
Leucojum aestivum,leaf_shape_a,NA,linear,NA,NA
Lepidosperma prospectum,leaf_lamina_posture_a,NA,planoconvex convex,NA,NA
Lepidosperma prospectum,leaf_shape_a,NA,linear,NA,NA
Cordyline stricta,leaf_base_shape_a,NA,attenuate,NA,NA
Cordyline stricta,leaf_shape_a,NA,linear,NA,NA
Apium prostratum subsp. howense,leaf_base_shape_a,NA,sheathing,NA,NA
Apium prostratum subsp. howense,leaf_shape_a,NA,linear,NA,NA
Agapanthus praecox subsp. orientalis,leaf_shape_a,NA,linear,NA,NA
Calostemma purpureum,leaf_shape_a,NA,linear,NA,NA
Zephyranthes carinata,leaf_shape_a,NA,linear,NA,NA
Platysace heterophylla var. heterophylla,leaf_shape_a,NA,linear,NA,NA
Gymnostachys anceps,leaf_shape_a,NA,linear,NA,NA
Arthropodium fimbriatum,leaf_shape_a,NA,linear,NA,NA
Asparagus aethiopicus,leaf_shape_a,NA,linear,NA,NA
Laxmannia compacta,leaf_shape_a,NA,linear,NA,NA
Laxmannia gracilis,leaf_shape_a,NA,linear,NA,NA
Thysanotus juncifolius,leaf_shape_a,NA,linear,NA,NA
Calandrinia sp. Nerriga (I.R.H.Telford 8677),leaf_shape_a,NA,linear,NA,NA
Caladenia moschata,leaf_shape_a,NA,linear,NA,NA
Oreomyrrhis pulvinifica,leaf_shape_a,NA,linear,NA,NA
Gaudium polyanthum,leaf_base_shape_a,NA,attenuate,NA,NA
Gaudium polyanthum,leaf_lamina_posture_a,NA,flat,NA,NA
Gaudium polyanthum,leaf_shape_a,NA,linear elliptical,NA,NA
Eustrephus latifolius,leaf_base_shape_a,NA,cuneate rounded,NA,NA
Eustrephus latifolius,leaf_shape_a,NA,linear elliptical lanceolate ovate,NA,NA
Ruellia simplex,leaf_margin_a,NA,entire,NA,NA
Ruellia simplex,leaf_shape_a,NA,linear elliptical lanceolate subulate,NA,NA
Drosera lunata,leaf_lamina_posture_a,NA,flat,NA,NA
Drosera lunata,leaf_shape_a,NA,elliptical ovate falcate,NA,NA
Drosera lunata,plant_growth_habit_a,NA,rosette,NA,NA
Asparagus falcatus,leaf_shape_a,NA,linear falcate,NA,NA
Schinus molle var. areira,leaf_base_shape_a,NA,cuneate,NA,NA
Schinus molle var. areira,leaf_margin_a,NA,entire,NA,NA
Schinus molle var. areira,leaf_phyllotaxis_a,NA,alternate,NA,NA
Schinus molle var. areira,leaf_shape_a,NA,linear lanceolate,NA,NA
Eryngium paludosum,leaf_margin_a,NA,entire,NA,NA
Eryngium paludosum,leaf_shape_a,NA,linear lanceolate ovate,NA,NA
Cordyline sp. Mt Banda Banda (P.Hind 2232),leaf_shape_a,NA,linear narrowly_elliptical,NA,NA
Parsonsia brownii,leaf_base_shape_a,NA,cuneate,NA,NA
Parsonsia brownii,leaf_shape_a,NA,linear narrowly_lanceolate lanceolate,NA,NA
Bertya tasmanica variant Glabrous ovary,leaf_margin_posture_a,NA,revolute recurved,NA,NA
Bertya tasmanica variant Glabrous ovary,leaf_shape_a,NA,linear narrowly_oblong,NA,NA
Halophila spinulosa,leaf_lamina_posture_a,NA,folded,NA,NA
Halophila spinulosa,leaf_margin_a,NA,toothed_serrate,NA,NA
Halophila spinulosa,leaf_shape_a,NA,linear oblong,NA,NA
Cynanchum carnosum,leaf_shape_a,NA,linear oblong elliptical lanceolate oblanceolate obovate,NA,NA
Pultenaea aculeata,leaf_arrangement_a,NA,crowded,NA,NA
Pultenaea aculeata,leaf_margin_posture_a,NA,involute,NA,NA
Pultenaea aculeata,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea aculeata,leaf_shape_a,NA,linear terete,NA,NA
Thysanotus tuberosus,leaf_shape_a,NA,linear terete,NA,NA
Thysanotus tuberosus subsp. parviflorus,leaf_shape_a,NA,linear terete,NA,NA
Thysanotus baueri,leaf_shape_a,NA,linear terete,NA,NA
Genoplesium geminatum,leaf_shape_a,NA,linear terete,NA,NA
Pultenaea furcata,leaf_margin_posture_a,NA,involute,NA,NA
Pultenaea furcata,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea furcata,leaf_shape_a,NA,linear,NA,NA
Trianthema triquetrum,leaf_margin_a,NA,toothed,NA,NA
Trianthema triquetrum,leaf_shape_a,NA,linear oblanceolate terete clavate,NA,NA
Pomaderris andromedifolia f. narrow-leaved,leaf_margin_posture_a,NA,recurved,NA,NA
Pomaderris andromedifolia f. narrow-leaved,leaf_shape_a,NA,narrowly_elliptical elliptical lanceolate oblanceolate,NA,NA
Nerium oleander,leaf_margin_a,NA,entire,NA,NA
Nerium oleander,leaf_shape_a,NA,narrowly_elliptical lanceolate,NA,NA
Ptilotus semilanatus,leaf_margin_a,NA,entire,NA,NA
Ptilotus semilanatus,leaf_margin_posture_a,NA,undulate,NA,NA
Ptilotus semilanatus,leaf_shape_a,NA,narrowly_elliptical narrowly_oblanceolate oblanceolate,NA,NA
Sambucus australasica,leaf_margin_a,NA,toothed,NA,NA
Sambucus australasica,leaf_shape_a,NA,narrowly_elliptical oblanceolate,NA,NA
Gaudium deanei,leaf_shape_a,NA,narrowly_elliptical oblanceolate,NA,NA
Pultenaea sp. New England (R.Coveny 16631),leaf_lamina_posture_a,NA,flat concave,NA,NA
Pultenaea sp. New England (R.Coveny 16631),leaf_margin_posture_a,NA,recurved,NA,NA
Pultenaea sp. New England (R.Coveny 16631),leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea sp. New England (R.Coveny 16631),leaf_shape_a,NA,narrowly_elliptical obovate,NA,NA
Gaudium trinervium,leaf_base_shape_a,NA,rounded attenuate,NA,NA
Gaudium trinervium,leaf_shape_a,NA,narrowly_elliptical widely_obovate falcate,NA,NA
Pultenaea williamsii,leaf_lamina_posture_a,NA,flat concave,NA,NA
Pultenaea williamsii,leaf_margin_posture_a,NA,involute,NA,NA
Pultenaea williamsii,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea williamsii,leaf_shape_a,NA,narrowly_elliptical,NA,NA
Aggreflorum benwellii,leaf_phyllotaxis_a,NA,alternate,NA,NA
Aggreflorum benwellii,leaf_shape_a,NA,narrowly_elliptical,NA,NA
Astrotricha roddii,leaf_margin_a,NA,entire,NA,NA
Astrotricha roddii,leaf_shape_a,NA,narrowly_elliptical,NA,NA
Cordyline rubra,leaf_base_shape_a,NA,attenuate,NA,NA
Cordyline rubra,leaf_shape_a,NA,narrowly_elliptical,NA,NA
Aggreflorum ellipticum,leaf_shape_a,NA,narrowly_elliptical,NA,NA
Argophyllum nullumense,leaf_base_shape_a,NA,cuneate,NA,NA
Argophyllum nullumense,leaf_margin_a,NA,entire toothed,NA,NA
Argophyllum nullumense,leaf_shape_a,NA,narrowly_elliptical,NA,NA
Aristolochia laheyana,leaf_base_shape_a,NA,truncate cordate,NA,NA
Aristolochia laheyana,leaf_shape_a,NA,narrowly_elliptical lanceolate,NA,NA
Corokia carpodetoides,leaf_arrangement_a,NA,crowded,NA,NA
Corokia carpodetoides,leaf_base_shape_a,NA,attenuate,NA,NA
Corokia carpodetoides,leaf_margin_a,NA,toothed_dentate,NA,NA
Corokia carpodetoides,leaf_phyllotaxis_a,NA,alternate,NA,NA
Corokia carpodetoides,leaf_shape_a,NA,narrowly_elliptical narrowly_oblanceolate,NA,NA
Gaudium semibaccatum,leaf_base_shape_a,NA,attenuate,NA,NA
Gaudium semibaccatum,leaf_shape_a,NA,narrowly_elliptical obovate,NA,NA
Alternanthera philoxeroides,leaf_shape_a,NA,narrowly_elliptical obovate,NA,NA
Pterostylis jeanesii,leaf_arrangement_a,NA,imbricate,NA,NA
Pterostylis jeanesii,leaf_margin_a,NA,entire,NA,NA
Pterostylis jeanesii,leaf_shape_a,NA,narrowly_elliptical,NA,NA
Pterostylis jeanesii,plant_growth_habit_a,NA,rosette,NA,NA
Secamone elliptica,leaf_base_shape_a,NA,cuneate rounded,NA,NA
Secamone elliptica,leaf_shape_a,NA,narrowly_lanceolate ovate,NA,NA
Alyxia ruscifolia,leaf_margin_a,NA,entire toothed_dentate,NA,NA
Alyxia ruscifolia,leaf_margin_posture_a,NA,recurved,NA,NA
Alyxia ruscifolia,leaf_phyllotaxis_a,NA,whorled,NA,NA
Alyxia ruscifolia,leaf_shape_a,NA,narrowly_lanceolate widely_ovate,NA,NA
Furcraea foetida,leaf_margin_a,NA,entire toothed,NA,NA
Furcraea foetida,leaf_shape_a,NA,narrowly_lanceolate,NA,NA
Agave americana,leaf_margin_a,NA,toothed,NA,NA
Agave americana,leaf_shape_a,NA,narrowly_lanceolate,NA,NA
Cordyline australis,leaf_base_shape_a,NA,attenuate,NA,NA
Cordyline australis,leaf_shape_a,NA,narrowly_lanceolate,NA,NA
Searsia lancea,leaf_base_shape_a,NA,cuneate,NA,NA
Searsia lancea,leaf_margin_a,NA,entire,NA,NA
Searsia lancea,leaf_shape_a,NA,narrowly_lanceolate,NA,NA
Astrotricha umbrosa,leaf_phyllotaxis_a,NA,alternate,NA,NA
Astrotricha umbrosa,leaf_shape_a,NA,narrowly_lanceolate lanceolate,NA,NA
Parsonsia induplicata,leaf_margin_a,NA,entire toothed_crenate,NA,NA
Parsonsia induplicata,leaf_shape_a,NA,narrowly_lanceolate ovate,NA,NA
Sambucus gaudichaudiana,leaf_base_shape_a,NA,oblique,NA,NA
Sambucus gaudichaudiana,leaf_margin_a,NA,toothed,NA,NA
Sambucus gaudichaudiana,leaf_shape_a,NA,narrowly_lanceolate ovate,NA,NA
Cynanchum floribundum,leaf_base_shape_a,NA,cuneate cordate,NA,NA
Cynanchum floribundum,leaf_shape_a,NA,narrowly_lanceolate ovate,NA,NA
Anethum graveolens,leaf_shape_a,NA,strap-shaped,NA,NA
Ochrosia moorei,leaf_base_shape_a,NA,attenuate,NA,NA
Ochrosia moorei,leaf_shape_a,NA,narrowly_oblanceolate oblanceolate,NA,NA
Astrotricha obovata,leaf_margin_a,NA,entire,NA,NA
Astrotricha obovata,leaf_shape_a,NA,narrowly_oblong oblong elliptical obovate,NA,NA
Wollemia nobilis,leaf_arrangement_a,NA,spiral,NA,NA
Wollemia nobilis,leaf_shape_a,NA,narrowly_oblong narrowly_triangular,NA,NA
Marsdenia flavescens,leaf_shape_a,NA,narrowly_oblong oblong,NA,NA
Gaudium laevigatum,leaf_base_shape_a,NA,attenuate,NA,NA
Gaudium laevigatum,leaf_lamina_posture_a,NA,flat,NA,NA
Gaudium laevigatum,leaf_shape_a,NA,narrowly_obovate,NA,NA
Pultenaea setigera,leaf_lamina_posture_a,NA,concave,NA,NA
Pultenaea setigera,leaf_margin_posture_a,NA,flat involute,NA,NA
Pultenaea setigera,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea setigera,leaf_shape_a,NA,narrowly_ovate obovate,NA,NA
Ruellia squarrosa,leaf_base_shape_a,NA,attenuate,NA,NA
Ruellia squarrosa,leaf_margin_a,NA,entire,NA,NA
Ruellia squarrosa,leaf_shape_a,NA,narrowly_ovate ovate,NA,NA
Oschatzia cuneifolia,leaf_margin_a,NA,toothed,NA,NA
Oschatzia cuneifolia,leaf_shape_a,NA,spathulate,NA,NA
Gaudium subglabratum,leaf_base_shape_a,NA,attenuate,NA,NA
Gaudium subglabratum,leaf_lamina_posture_a,NA,flat,NA,NA
Gaudium subglabratum,leaf_shape_a,NA,oblanceolate obovate falcate,NA,NA
Pultenaea mutabilis var. mutabilis,leaf_margin_posture_a,NA,flat,NA,NA
Pultenaea mutabilis var. mutabilis,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea mutabilis var. mutabilis,leaf_shape_a,NA,oblanceolate,NA,NA
Pultenaea mutabilis var. angusta,leaf_margin_posture_a,NA,involute,NA,NA
Pultenaea mutabilis var. angusta,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea mutabilis var. angusta,leaf_shape_a,NA,oblanceolate,NA,NA
Pultenaea praecipua subsp. praecipua,leaf_margin_posture_a,NA,flat involute,NA,NA
Pultenaea praecipua subsp. praecipua,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea praecipua subsp. praecipua,leaf_shape_a,NA,oblanceolate,NA,NA
Pultenaea praecipua subsp. temperata,leaf_margin_posture_a,NA,flat involute,NA,NA
Pultenaea praecipua subsp. temperata,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea praecipua subsp. temperata,leaf_shape_a,NA,oblanceolate,NA,NA
Pultenaea praecipua,leaf_margin_posture_a,NA,flat involute,NA,NA
Pultenaea praecipua,leaf_phyllotaxis_a,NA,alternate,NA,NA
Pultenaea praecipua,leaf_shape_a,NA,oblanceolate,NA,NA
Ptilotus indivisus,leaf_base_shape_a,NA,attenuate,NA,NA
Ptilotus indivisus,leaf_margin_a,NA,entire,NA,NA
Ptilotus indivisus,leaf_shape_a,NA,oblanceolate,NA,NA
Gaudium myrsinoides,leaf_base_shape_a,NA,attenuate,NA,NA
Gaudium myrsinoides,leaf_margin_posture_a,NA,involute,NA,NA
Gaudium myrsinoides,leaf_shape_a,NA,oblanceolate narrowly_obovate,NA,NA
Alyxia squamulosa,leaf_base_shape_a,NA,attenuate acute,NA,NA
Alyxia squamulosa,leaf_phyllotaxis_a,NA,whorled,NA,NA
Alyxia squamulosa,leaf_shape_a,NA,oblanceolate obovate,NA,NA
Oreomyrrhis ciliata,leaf_shape_a,NA,oblong,NA,NA
Oreomyrrhis ciliata,plant_growth_habit_a,NA,rosette,NA,NA
Oreomyrrhis argentea,leaf_shape_a,NA,oblong,NA,NA
Centaurea benedicta,leaf_shape_a,NA,oblong,NA,NA
Amaranthus cuspidifolius,leaf_margin_a,NA,entire,NA,NA
Amaranthus cuspidifolius,leaf_shape_a,NA,oblong elliptical,NA,NA
Marsdenia rostrata,leaf_base_shape_a,NA,cordate rounded,NA,NA
Marsdenia rostrata,leaf_margin_posture_a,NA,flat,NA,NA
Marsdenia rostrata,leaf_shape_a,NA,oblong elliptical orbicular widely_ovate,NA,NA
Melodinus acutiflorus,leaf_shape_a,NA,oblong elliptical lanceolate,NA,NA
Nyssanthes erecta,leaf_shape_a,NA,oblong elliptical lanceolate,NA,NA
Mangifera indica,leaf_base_shape_a,NA,acute,NA,NA
Mangifera indica,leaf_margin_a,NA,entire,NA,NA
Mangifera indica,leaf_margin_posture_a,NA,undulate,NA,NA
Mangifera indica,leaf_shape_a,NA,oblong elliptical lanceolate,NA,NA
Parsonsia straminea,leaf_base_shape_a,NA,cordate rounded,NA,NA
Parsonsia straminea,leaf_shape_a,NA,oblong elliptical ovate,NA,NA
Hygrophila polysperma,leaf_margin_a,NA,entire,NA,NA
Hygrophila polysperma,leaf_phyllotaxis_a,NA,opposite,NA,NA
Hygrophila polysperma,leaf_shape_a,NA,oblong elliptical,NA,NA
Ilex aquifolium,leaf_margin_a,NA,entire toothed,NA,NA
Ilex aquifolium,leaf_margin_posture_a,NA,flat undulate,NA,NA
Ilex aquifolium,leaf_shape_a,NA,oblong elliptical,NA,NA
Parsonsia rotata,leaf_base_shape_a,NA,cuneate rounded,NA,NA
Parsonsia rotata,leaf_shape_a,NA,oblong elliptical lanceolate,NA,NA
Marsdenia pleiadenia,leaf_base_shape_a,NA,rounded,NA,NA
Marsdenia pleiadenia,leaf_shape_a,NA,oblong elliptical ovate,NA,NA
Astrotricha latifolia,leaf_shape_a,NA,oblong elliptical ovate peltate,NA,NA
Marsdenia fraseri,leaf_base_shape_a,NA,rounded,NA,NA
Marsdenia fraseri,leaf_margin_posture_a,NA,recurved,NA,NA
Marsdenia fraseri,leaf_shape_a,NA,oblong lanceolate,NA,NA
Marsdenia suaveolens,leaf_base_shape_a,NA,rounded,NA,NA
Marsdenia suaveolens,leaf_margin_posture_a,NA,recurved,NA,NA
Marsdenia suaveolens,leaf_shape_a,NA,oblong lanceolate,NA,NA
Toxicodendron succedaneum,leaf_base_shape_a,NA,oblique obtuse,NA,NA
Toxicodendron succedaneum,leaf_margin_a,NA,entire,NA,NA
Toxicodendron succedaneum,leaf_shape_a,NA,oblong lanceolate ovate,NA,NA
Berula erecta,leaf_margin_a,NA,toothed,NA,NA
Berula erecta,leaf_shape_a,NA,oblong lanceolate ovate,NA,NA
Parsonsia ventricosa,leaf_base_shape_a,NA,cordate rounded,NA,NA
Parsonsia ventricosa,leaf_shape_a,NA,oblong lanceolate ovate,NA,NA
Oxypetalum coeruleum,leaf_base_shape_a,NA,cordate,NA,NA
Oxypetalum coeruleum,leaf_shape_a,NA,oblong lanceolate ovate,NA,NA
Ptilotus nobilis,leaf_shape_a,NA,oblong lanceolate spathulate,NA,NA
Meiogyne stenopetala,leaf_margin_a,NA,entire,NA,NA
Meiogyne stenopetala,leaf_shape_a,NA,oblong lanceolate,NA,NA
Parsonsia lilacina,leaf_base_shape_a,NA,cordate,NA,NA
Parsonsia lilacina,leaf_margin_a,NA,toothed,NA,NA
Parsonsia lilacina,leaf_margin_posture_a,NA,undulate,NA,NA
Parsonsia lilacina,leaf_shape_a,NA,oblong lanceolate,NA,NA
Cephalaralia cephalobotrys,leaf_margin_a,NA,toothed,NA,NA
Cephalaralia cephalobotrys,leaf_shape_a,NA,oblong lanceolate narrowly_ovate ovate,NA,NA
Bupleurum lancifolium,leaf_shape_a,NA,oblong lanceolate ovate,NA,NA
Astrotricha longifolia,leaf_margin_a,NA,entire,NA,NA
Astrotricha longifolia,leaf_shape_a,NA,oblong narrowly_elliptical elliptical,NA,NA
Alstonia constricta,leaf_margin_posture_a,NA,undulate,NA,NA
Alstonia constricta,leaf_phyllotaxis_a,NA,opposite,NA,NA
Alstonia constricta,leaf_shape_a,NA,oblong narrowly_elliptical elliptical narrowly_lanceolate,NA,NA
Melodinus australis,leaf_margin_posture_a,NA,undulate,NA,NA
Melodinus australis,leaf_shape_a,NA,oblong narrowly_elliptical lanceolate,NA,NA
Corokia whiteana,leaf_base_shape_a,NA,cuneate,NA,NA
Corokia whiteana,leaf_margin_a,NA,entire toothed,NA,NA
Corokia whiteana,leaf_shape_a,NA,oblong narrowly_elliptical lanceolate,NA,NA
Rhodosphaera rhodanthema,leaf_base_shape_a,NA,oblique obtuse,NA,NA
Rhodosphaera rhodanthema,leaf_shape_a,NA,oblong narrowly_elliptical ovate,NA,NA
Scandix pecten-veneris,leaf_base_shape_a,NA,sheathing,NA,NA
Scandix pecten-veneris,leaf_shape_a,NA,oblong narrowly_triangular,NA,NA
Gunniopsis septifraga,leaf_shape_a,NA,oblong oblanceolate,NA,NA
Eryngium vesiculosum,leaf_base_shape_a,NA,cuneate,NA,NA
Eryngium vesiculosum,leaf_margin_a,NA,toothed,NA,NA
