taxon_name,trait_name,entity_measured,trait_value,units,value_type
Cordyline sp. Mt Banda Banda (P.Hind 2232),leaf_length,leaves,50,cm,maximum
Cordyline stricta,leaf_length,leaves,30,cm,minimum
Cordyline stricta,leaf_length,leaves,50,cm,maximum
Coriandrum sativum,leaf_length,leaves,2,cm,minimum
Coriandrum sativum,leaf_length,leaves,6,cm,maximum
Corokia carpodetoides,leaf_length,lamina,2,cm,absolute_minimum
Corokia carpodetoides,leaf_length,lamina,3.5,cm,minimum
Corokia carpodetoides,leaf_length,lamina,6,cm,maximum
Corokia whiteana,leaf_length,leaves,2,cm,minimum
Corokia whiteana,leaf_length,leaves,7,cm,maximum
Crinum flaccidum,leaf_length,leaves,30,cm,minimum
Crinum flaccidum,leaf_length,leaves,80,cm,maximum
Crinum moorei,leaf_length,leaves,1,m,maximum
Crinum pedunculatum,leaf_length,leaves,50,cm,minimum
Crinum pedunculatum,leaf_length,leaves,120,cm,maximum
Crithmum maritimum,leaf_length,leaves,3,cm,minimum
Crithmum maritimum,leaf_length,leaves,7,cm,maximum
Crithmum maritimum,petiole_length,petioles,5,cm,maximum
Cyclospermum leptophyllum,leaf_length,leaves,2.5,cm,minimum
Cyclospermum leptophyllum,leaf_length,leaves,4,cm,maximum
Cynanchum carnosum,leaf_length,lamina,2,cm,minimum
Cynanchum carnosum,leaf_length,lamina,5.5,cm,maximum
Cynanchum elegans,leaf_length,lamina,1.5,cm,minimum
Cynanchum elegans,leaf_length,lamina,5.5,cm,maximum
Cynanchum floribundum,leaf_length,lamina,3,cm,minimum
Cynanchum floribundum,leaf_length,lamina,9,cm,maximum
Cyrtomium falcatum  Rochfordii,leaf_length,fronds,50,cm,maximum
Cyrtomium falcatum  Rochfordii,leaf_length,pinnules,6,cm,maximum
Damasonium minus,leaf_length,lamina,5,cm,minimum
Damasonium minus,leaf_length,lamina,10,cm,maximum
Damasonium minus,petiole_length,petioles,30,cm,maximum
Daucus carota,leaf_length,leaves,15,cm,maximum
Daucus glochidiatus,leaf_length,leaves,2,cm,minimum
Daucus glochidiatus,leaf_length,leaves,5,cm,maximum
Deeringia amaranthoides,petiole_length,petioles,1,cm,minimum
Deeringia amaranthoides,petiole_length,petioles,2,cm,maximum
Deeringia amaranthoides,leaf_length,lamina,5,cm,minimum
Deeringia amaranthoides,leaf_length,lamina,25,cm,maximum
Deeringia arborescens,leaf_length,lamina,5,cm,minimum
Deeringia arborescens,leaf_length,lamina,12,cm,maximum
Deeringia arborescens,petiole_length,petioles,2,cm,minimum
Deeringia arborescens,petiole_length,petioles,4,cm,maximum
Dichosciadium ranunculaceum,leaf_length,leaves,11,mm,minimum
Dichosciadium ranunculaceum,leaf_length,leaves,24,mm,maximum
Dichosciadium ranunculaceum,petiole_length,petioles,2.7,cm,minimum
Dichosciadium ranunculaceum,petiole_length,petioles,7,cm,maximum
Dichosciadium ranunculaceum var. ranunculaceum,leaf_length,leaves,11,mm,minimum
Dichosciadium ranunculaceum var. ranunculaceum,leaf_length,leaves,24,mm,maximum
Dichosciadium ranunculaceum var. ranunculaceum,petiole_length,petioles,2.7,cm,minimum
Dichosciadium ranunculaceum var. ranunculaceum,petiole_length,petioles,7,cm,maximum
Diplaspis nivis,leaf_length,lamina,5,mm,minimum
Diplaspis nivis,leaf_length,lamina,15,mm,maximum
Diplaspis nivis,petiole_length,petioles,1,cm,minimum
Diplaspis nivis,petiole_length,petioles,7,cm,maximum
Dipteracanthus australasicus,leaf_length,leaves,8,mm,minimum
Dipteracanthus australasicus,leaf_length,leaves,25,mm,maximum
Disphyma crassifolium,leaf_length,leaves,2,cm,minimum
Disphyma crassifolium,leaf_length,leaves,5,cm,maximum
Disphyma crassifolium subsp. clavellatum,leaf_length,leaves,2,cm,minimum
Disphyma crassifolium subsp. clavellatum,leaf_length,leaves,5,cm,maximum
Dracaena trifasciata,leaf_length,leaves,40,cm,minimum
Dracaena trifasciata,leaf_length,leaves,175,cm,maximum
Drimiopsis maculata,leaf_length,lamina,4,cm,minimum
Drimiopsis maculata,leaf_length,lamina,12,cm,maximum
Drimiopsis maculata,petiole_length,petioles,3,cm,minimum
Drimiopsis maculata,petiole_length,petioles,16,cm,maximum
Drosanthemum candens,leaf_length,leaves,3,mm,minimum
Drosanthemum candens,leaf_length,leaves,10,mm,maximum
Drosera lunata,leaf_length,lamina,0.7,mm,minimum
Drosera lunata,leaf_length,lamina,3,mm,maximum
Drosera lunata,leaf_length,lamina,1.5,mm,minimum
Drosera lunata,leaf_length,lamina,5,mm,maximum
Drosera lunata,petiole_length,petioles,4,mm,minimum
Drosera lunata,petiole_length,petioles,14,mm,maximum
Drosera lunata,petiole_length,petioles,1,mm,minimum
Drosera lunata,petiole_length,petioles,16,mm,maximum
Drymophila cyanocarpa,leaf_length,leaves,2.5,cm,minimum
Drymophila cyanocarpa,leaf_length,leaves,8,cm,maximum
Drymophila moorei,leaf_length,leaves,3,cm,minimum
Drymophila moorei,leaf_length,leaves,6,cm,maximum
Eryngium expansum,leaf_length,basal_leaves,5,cm,minimum
Eryngium expansum,leaf_length,basal_leaves,8,cm,maximum
Eryngium expansum,leaf_length,stem_leaves,10,mm,minimum
Eryngium expansum,leaf_length,stem_leaves,20,mm,maximum
Eryngium maritimum,leaf_length,leaves,10,cm,maximum
Eryngium maritimum,petiole_length,petioles,15,cm,maximum
Eryngium ovinum,leaf_length,basal_leaves,10,cm,minimum
Eryngium ovinum,leaf_length,basal_leaves,25,cm,maximum
Eryngium ovinum,leaf_length,stem_leaves,1,cm,minimum
Eryngium ovinum,leaf_length,stem_leaves,6,cm,maximum
Eryngium paludosum,leaf_length,basal_leaves,25,cm,maximum
Eryngium paludosum,leaf_length,stem_leaves,7,cm,maximum
Eryngium pandanifolium,leaf_length,leaves,100,cm,minimum
Eryngium pandanifolium,leaf_length,leaves,250,cm,maximum
Eryngium vesiculosum,leaf_length,leaves,15,cm,maximum
Euroschinus falcatus,leaf_length,leaflets,3.5,cm,minimum
Euroschinus falcatus,leaf_length,leaflets,10,cm,maximum
Euroschinus falcatus,leaf_length,leaves,12,cm,minimum
Euroschinus falcatus,leaf_length,leaves,30,cm,maximum
Euroschinus falcatus var. falcatus,leaf_length,leaflets,3.5,cm,minimum
Euroschinus falcatus var. falcatus,leaf_length,leaflets,10,cm,maximum
Euroschinus falcatus var. falcatus,leaf_length,leaves,12,cm,minimum
Euroschinus falcatus var. falcatus,leaf_length,leaves,30,cm,maximum
Euryops virgineus,leaf_length,leaves,4,mm,minimum
Euryops virgineus,leaf_length,leaves,5,mm,maximum
Eustrephus latifolius,leaf_length,lamina,3,cm,minimum
Eustrephus latifolius,leaf_length,lamina,10,cm,maximum
Ficinia marginata,leaf_length,lamina,4,cm,maximum
Foeniculum vulgare,leaf_length,leaves,30,cm,minimum
Foeniculum vulgare,leaf_length,leaves,50,cm,maximum
