taxon_name,authors
Asclepias fruticosa,"Citation: L., Sp. Pl. 216 (1753)."
Asclepias physocarpa,"Citation: Schltr., Bot. Jb. 21, Beibl. 54:8 (1896)."
Stapelia variegata,"Citation: L., Sp. Pl. 217 (1753)."
Rhyncharrhena,"Citation: F. Muell., Fragm. Phyt. Aust. 1:128 (1859)."
Rhyncharrhena linearis,"Citation: K.L. Wilson, Telopea 2:38 (1980)."
Stapelia,"Citation: L., Sp. Pl. 217 (1753)."
Rubiaceae,Author:Prepared by H. R. Toelken
Asperula,"Citation: L., Sp. Pl. 103 (1753)."
Asperula conferta,"Citation: Hook. f., London J. Bot. 6:464 (1847)."
Asperula gemella,"Citation: Airy Shaw & Turrill, Kew Bull. 1928:102 (1928)."
Asperula subsimplex,"Citation: Hook. f., London J. Bot. 6:463 (1847)."
Asperula pusilla,"Citation: Hook. f., London J. Bot. 6:464 (1847)."
Asperula gunnii,"Citation: Flowers: Dec., Jan."
Asperula syrticola,"Citation: Toelken, comb. Nov1."
Asperula euryphylla,"Citation: Airy Shaw & Turrill, Kew Bull. 1928:100 (1928) var. tetraphylla Airy Shaw & Turfill, Kew Bull. 1928:100 (1928)."
Coprosma,"Citation: Forster & Forster f., Char. Gen. Pl. 137 (1776)."
Coprosma repens,"Citation: A. Rich. in P. Lesson, Voy. l'Atstrolabe 1:264 (1832)."
Dentella,"Citation: Forster & Forster f., Char. Gen. Pl. 25 (1776)."
Dentella pulvinata,"Citation: Airy Shaw, Kew Bull. 1934:299 (1934)."
Galium,"Citation: L., Sp. Pl. 105 (1753)."
Galium aparine,"Citation: L., Sp. PI. 108 (1753)."
Galium australe,"Citation: DC., Prod. 4:608 (1830)."
Galium binifolium,"Citation: Wakef., Victorian Nat. 72:69, fig. 1 (1955)."
Galium migrans,"Citation: Errend. & McGillivary, Telopea 2:362 (1983)."
Galium compactum,"Citation: Ehrend. & McGillivray in McGillivray, Telopea 2:370 (1983)."
Galium gaudichaudii,"Citation: DC., Prod. 4:607 (1830)."
Galium curvihirtum,"Citation: Ehrend. & McGillivray, Telopea 2:373 (1983)."
Galium divaricatum,"Citation: Lam., Encycl. 2:580 (1788)."
Galium murale,"Citation: All., Fl. Pedem. 1:8 (1785)."
Galium propinquum,"Citation: Cunn., Ann. Nat. Hist. 2:205 (1839)."
Galium spurium,"Citation: L., Sp. Pl. 106 (1753) subsp. ibicinum (Boiss. & Hausskn. ex Boiss.)Ehrend., Pl. Syst. Evol. 127:305 (1977)."
Galium tricornutum,"Citation: Dandy, Watsonia 4:47 (1957)."
Nertera reptans,"Citation: Benth., Fl. Aust. 3:431 (1867)."
Nertera,"Citation: Banks & Sol. ex Gaertner, Fruct. 1:124 (1788)."
Nertera granadensis,"Citation: Druce, Rep. Botl Soc. Exch. Club Br. Isl. 1916:637 (1917)."
Opercularia,"Citation: Gaertner, Fruct. 1:111 (1788)."
Opercularia ovata,"Citation: Hook. f., London J. Bot. 6:465 (1847)."
Opercularia scabrida,"Citation: Schldl., Linnaea 20:604 (1847)."
Opercularia turpis,"Citation: F. Muell. ex Miq., Nederl. Kruidk. Arch. 4:109 (1856)."
Opercularia varia,"Citation: Hook. f., London J. Bot. 6:466 (1847)."
Pomax,"Citation: Sol. ex DC., Prod. 4:615 (1830)."
Pomax umbellata,"Citation: Sol. ex A. Rich, M m. Rubiac. 146 (1830)."
Canthium attenuatum,"Citation: R. Br. ex Benth., Fl. Aust. 3:421 (1867)."
Canthium latifolium,"Citation: F. Muell. ex Benth., Fl. Aust. 3:421 (1867)."
Canthium lineare,"Citation: Pritzel, Reprium nov. Spec. Regni veg. 15:359 (1918)."
Sherardia,"Citation: L., Sp. Pl. 102 (1753)."
Sherardia arvensis,"Citation: L., Sp. Pl. 102 (1753)."
Synaptantha,"Citation: Hook. f., Hook. Ic. 12:1146 (1873)."
Synaptantha tillaeacea,"Citation: Hook. f., Hook. lc. 12:pl. 1146 (1873)."
Polemoniaceae,Author:Prepared by H. R. Toelken
Navarretia,"Citation: Ruiz Lopez & Pav n, Fl. Peruv. Prod. 20 (1794)."
Navarretia squarrosa,"Citation: Hook. & Arn., Bol. Beechey Voy. 8:368 (1839)."
Convolvulaceae,Author:Prepared by R. W. Johnson
Bonamia,"Citation: Thodars, Hist. V g. lles France 1:33, t. 8 (1804)."
Bonamia rosea,"Citation: Hallier f., Bot. Jb. 16:528 (1893)."
Calystegia,"Citation: R. Br., Prod. Fl. Nov. Holl. 483 (1810)."
Calystegia sepium,"Citation: R. Br., Prod. Fl. Nov. Holl. 483 (1810)."
Convolvulus,"Citation: L., Sp. Pl. 153 (1753)."
Convolvulus erubescens,"Citation: Sims, Curtis's Bot. Mag. 27:t. 1067 (1807)."
Convolvulus arvensis,"Citation: L., Sp. Pl. 153 (1753)."
Convolvulus remotus,"Citation: R. Br., Prod. Fl. Nov. Holl. 483 (1810)."
Cressa,"Citation: L., Sp. Pl. 223 (1753)."
Cressa cretica,"Citation: L., Sp. Pl. 223 (1753)."
Cuscuta,"Citation: L., Sp. Pl. 124 (1753)."
Cuscuta campestris,"Citation: Yuncker, Mem. Torrey Bot. Cl. 18:138, fig. 14 (1932)."
Cuscuta epithymum,"Citation: L., Syst. Veg. edn 13:140 (1774)."
Cuscuta planiflora,"Citation: Ten., Fl. Napolit. 3:250 (1824-1829)."
Cuscuta suaveolens,"Citation: Ser., Annls Sci. nat. 3:519 (1840)."
Cuscuta tasmanica,"Citation: Engelm., Trans. Acad. Sci. St Louis 1:512 (1859) var. tasmanica."
Cuscuta victoriana,"Citation: Yuncker, Mern. Torrey Bot. Cl. 18:129, fig. 4 (1932)."
Dichondra,"Citation: Forster & Forster f., Char. Gen. Pl. 39, t. 20 (1776)."
Dichondra repens,"Citation: Forster & Forster f., Char. Gen. Pl. 40, t. 20 (1776)."
Evolvulus,"Citation: L., Sp. Pl. edn 2:391 (1762)."
Evolvulus alsinoides decumbens,"Citation: Ooststr., Meded. Bot. Mus. Herb. Rijks. Univ. Utrecht 14:38 (1934)."
Evolvulus alsinoides villosicalyx,"Citation: Ooststr., Meded. Bot. Mus. Herb. Rijks. Univ. Utrecht 14:39 (1934)."
Ipomoea,"Citation: L., Sp. Pl. 159 (1753)."
Ipomoea cairica,"Citation: Sweet, Hort. Brit. 287 (1827)."
Ipomoea diamantinensis,"Citation: J. Black in Eardley, Fl. S. Aust. 4:945 (1957)."
Ipomoea indica,"Citation: Merr., Inter. Herb. Amboin. 445 (1917)."
Ipomoea lonchophylla,"Citation: J. Black, Trans. R. Soc. S. Aust. 50:285 (1926)."
Ipomoea muelleri,"Citation: Benth., Fl. Aust. 4:423 (1868)."
Ipomoea polymorpha,"Citation: Roemer & Schultes, Syst. Veg. 4:254 (1819)."
Ipomoea racemigera,"Citation: F. Muell. & Tate, Trans. R. Soc. S. Aust. 13:108 (1890)."
Wilsonia,"Citation: R. Br., Prod. Fl. Nov. Holl. 490 (1810)."
Wilsonia backhousei,"Citation: Hook. f., London J. Bot. 6:275 (1847)."
Wilsonia humilis,"Citation: R. Br., Prod. Fl. Nov. Holl. 490 (1810)."
Wilsonia rotundifolia,"Citation: Hook., Hook. Ic. 5:t. 410 (1842)."
Hydrophyllaceae,Author:Prepared by H. R. Toelken
Phacelia,"Citation: A.L. Juss., Gen. Pl. 129 (1789)."
Phacelia tanacetifolia,"Citation: Benth., Trans. Linn. Soc. 17:280 (1835)."
Boraginaceae,Author:Prepared by H. R. Toelken; Heliotropium by L. A. Craven
Amsinckia,"Citation: Lehm., Delect. Sem. Hort. Hamburg. 1831:7 (1831)."
Amsinckia calycina,"Citation: Chater, J. Linn. Soc.(Bot.) 64:380 (1971 )."
Amsinckia lycopsoides,"Citation: Lehm., Delect. Sem. Hort. Hamburg. 1831:3 (1831)."
Anchusa,"Citation: L., Sp. Pl. 133 (1753)."
Anchusa arvensis,"Citation: Bieb., Fl. Taur.-Caucas. 1:123 (1808) subsp. arvensis."
Anchusa capensis,"Citation: Thunb., Prod. Pl. Cap. 34 (1800)."
Borago,"Citation: L., Sp. Pl. 137 (1753)."
Borago officinalis,"Citation: L., Sp. Pl. 137 (1753)."
Buglossoides,"Citation: Moench, Meth. 418 (1794)."
Buglossoides arvensis,"Citation: I.M. Johnston, J. Arnold Arb. 35:42 (1954)."
Cynoglossum,"Citation: L., Sp. Pl. 134 (1753)."
Cynoglossum australe,"Citation: R. Br., Prod. Fl. Nov. Holl. 495 (1810)."
Echium,"Citation: L., Sp. Pl. 139 (1753)."
Echium plantagineum,"Citation: L., Mant. Ah. 202 (1771)."
Echium simplex,"Citation: DC., Cat. Pl. Hort. Bot. Monsp. 108 (1813)."
Echium vulgare,"Citation: L., Sp. PI. 139 (1753)."
Embadium,"Citation: J. Black, Trans. R. Soc. S. Aust. 55:141 (1931)."
Embadium johnstonii,"Citation: Ising, Trans. R. Soc. S. Aust. 89:288, fig. 3 (1965)."
Embadium stagnense,"Citation: J. Black, Trans. R. Soc. S. Aust. 55:141, fig. 7 (1931)."
Embadium uncinatum,"Citation: Ising, Trans. R. Soc. S. Aust. 89:283, fig. 2 (1965)."
Cynoglossum suaveolens,"Citation: R. Br., Prod. Fl. Nov. Holl. 495 (1810)."
Halgania,"Citation: Gaudich., Voy. aut. Monde (Bot.) 448 (1829)."
Halgania andromedifolia,"Citation: Behr & F. Muell., Fragm. Phyt. Aust. 1:209 (1859)."
Halgania cyanea,"Citation: Lindley, Sketch Veg. Swan Riv. Col. 40 (1840)."
Halgania erecta,"Citation: Ewart & Rees, Proc. R. Soc. Vic. 23:58 (1911)."
Heliotropium,"Citation: L., Sp. Pl. 130 (1753)."
Heliotropium undulatum,"Citation: Vahl, Symb. Bot. 1:13 (1790)."
Heliotropium amplexicaule,"Citation: Vahl, Symb. Bot. 3:21 (1794)."
Heliotropium asperrimum,"Citation: R. Br., Prod. Fl. Nov. Holl. 493 (1810)."
Heliotropium tenuifolium,"Citation: R. Br., Prod. Fl. Nov. Holl. 494 (1810)."
Heliotropium curassavicum,"Citation: L., Sp. Pl. 187 (1753)."
Heliotropium europaeum,"Citation: L., Sp. Pl. 187 (1753)."
Heliotropium filaginoides,"Citation: Benth., Fl. Aust. 4:398 (1868)."
Heliotropium ovalifolium,"Citation: Forssk l, Fl. Aegypt.-Arab. 47 (1775)."
Heliotropium supinum,"Citation: L., Sp. Pl. 130 (1753)."
Myosotis,"Citation: L., Sp. Pl. 131 (1753)."
Myosotis australis,"Citation: R. Br., Prod. Fl. Nov. Holl. 495 (1810)."
Myosotis discolor,"Citation: Pers., Syst. Veg. 190 (1797) subsp. discolor."
Myosotis sylvatica,"Citation: Hoffm., Deutschl. Fl. 61 (1791) subsp. sylvatica."
Neatostema,"Author:J. Arnold Arb. 34:5 (1953).; Citation: I.M. Johnston, Greek neatos, the lowest; sterna, stamen; referring to the very low position of attachment of the stamens to the corolla tube."
Neatostema apulum,"Citation: I.M. Johnston, J. Arnold Arb. 34:6 (1953)."
Omphalolappula,"Citation: Brand, Pflanzenr. 97 (252):135 (1931)."
Omphalolappula concava,"Citation: Brand, Pflanzenr. 97 (252):135 (1931)."
Plagiobothrys,"Citation: Fischer & C. Meyer, Ind. Semin. Petrop. 2:46 (1835)."
Plagiobothrys elachanthus,"Citation: I.M. Johnston, Contr. Gray Herb. 81:75 (1928)."
Plagiobothrys orthostatus,"Citation: J. Black, Trans. R. Soc. S. Aust. 52:226 (1928)."
Plagiobothrys plurisepaleus,"Citation: I.M. Johnston, Contr. Gray Herb. 81:75 (1928)."
Trichodesma,"Citation: R. Br., Prod. Fl. Nov. Holl. 496 (1810)."
Trichodesma zeylanicum,"Citation: R. Br., Prod. Fl. Nov. Holl. 496 (1810)."
Verbenaceae,Author:Prepared by A. A. Munir
Verbena tenuisecta,"Citation: Briq., Ann. Conserv. Jard. Bot. Geneve 7-8:294 (1904)."
Lantana,"Citation: L., Sp. Pl. 626 (1753)."
Lantana camara,"Citation: L., Sp. Pl. 627 (1753)."
Phyla,"Citation: Lour., Fl. Cochinch. 66 (1790)."
Phyla nodiflora,"Citation: Greene, Pittonia 4:46 (1899)."
Verbena,"Citation: L., L., Sp. Pl. 20 (1753)."
Verbena bonariensis,"Citation: L., Sp. Pl. 20 (1753)."
Verbena officinalis,"Citation: L., Sp. Pl. 20 (1753)."
Verbena rigida,"Citation: Sprengel, Syst. Veg. 4, 2:230 (1827)."
Verbena supina,"Citation: L., Sp. Pl. 21 (1753)."
Avicenniaceae,Author:Prepared by A. A. Munir
Avicennia,"Citation: L., Sp. Pl. 110 (1753)."
Avicennia marina,"Citation: Vierh., Denkschr. Akad. Wiss., Wien. 71:435 (1907) var. resinifera (Forster f.)Bakh, in Bull. Jard. Bot. Buitenz. ser. 3, 3:104, 210; t. 16 (1921)."
Chloanthaceae,Author:Prepared by A. A. Munir
Dicrastylis,"Citation: J.L. Drumm. ex Harvey, Hooker's J. Bot. Kew Gard. Misc. 7:56 (1855)."
Dicrastylis beveridgei,"Citation: F. Muell., Fragm. Phyt. Aust. 8:50 (1873)."
Dicrastylis beveridgei lanata,"Citation: Munir, Brunonia 1:523 (1978)."
Dicrastylis costelloi,"Citation: Bailey, Dept Agr. Brisbane Bull. 4:14 (1891)."
Dicrastylis costelloi costelloi,"Citation: Ill. Munir (1978) Brunonia 1:515, fig. 21; Munir in Jessop (1981) Flora of central Australia, fig. 398."
Dicrastylis costelloi globulifera,"Citation: Munir, Brunonia 1:519 (1978)."
Dicrastylis costelloi violacea,"Citation: Munir, Brunonia 1:519 (1978)."
Dicrastylis doranii,"Citation: F. Muell., Fragm. Phyt. Aust. 8:230 (1874)."
Dicrastylis exsuccosa,"Citation: Druce, Rep. Botl Soc. Exch. Club Br. Isl. 4:619 ( 1917)."
Dicrastylis exsuccosa tomentosa,"Citation: Munir, Brunonia 1:536 (1978)."
Dicrastylis gilesii,"Citation: F. Muell., Fragm. Phyt. Aust. 8:229 (1874)."
Dicrastylis gilesii bagotensis,"Citation: Munir, Brunonia 1:562 (1978)."
Dicrastylis gilesii gilesii,"Citation: Ill. Munir (1978) Brunonia 1:558, fig. 30."
Dicrastylis petermannensis,"Citation: Munir, Brunonia 1:551 (1978)."
Dicrastylis lewellinii,"Citation: F. Muell., Fragm. Phyt. Aust. 11:86 (1880)."
Dicrastylis verticillata,"Citation: J. Black, Trans. R. Soc. S. Aust. 42:53, t. 7 (1918)."
Newcastelia,"Citation: F. Muell., Hooker 2 J. Bot. Kew Gard. Misc. 9:22 (1857)."
Newcastelia bracteosa,"Citation: F. Muell., Fragm. Phyt. Aust. 8:49 (1873)."
Newcastelia cephalantha,"Citation: F. Muell., Fragm. Phyt. Aust. 9:4 (1875). Shrub 0.45-1.2 m high; stem much-branched, fulvescent-grey or with a whitish-grey tomentum; leaves decussate, sessile, ovate to oblong-lanceolate, with recurved-revolute margins, 6-38 mm long, 2-10 mm broad, with a greyish or brownish-grey tomentum, with a midrib and lateral veins conspicuous beneath."
Newcastelia cephalantha cephalantha,"Citation: Ill. Diels & Pritzel (1904) Bot. Jb. 35:504, fig. 56J; Bailey (1913) Catalogue of Queensland plants, fig. 359; Munir (1978) Brunonia 1:597, fig. 36."
Newcastelia spodiotricha,"Citation: F. Muell., Fragm. Phyt. Aust. 3:21, t. 21 (1862)."
Callitrichaceae,Author:Prepared by A. E. Orchard
Callitriche,"Citation: L., Sp. Pl. 969 (1753)."
Callitriche hamulata,"Citation: K tz. in Koch, Syn. Fl. Germ. Heir. edn 1, 1:246 (1836). (111. Aston (1973) Aquatic plants of Australia, fig. 19a-d; Orchard (1980) J. Adelaide Bot. Gard. 2:192, fig. 1j-1.)"
Callitriche sonderi,"Citation: Hegelm., Verh. bot. Ver. Prov. Brandenb. 9:18 (1867)."
Callitriche stagnalis,"Citation: Scop., Fl. Carniolica edn 2, 2:251 (1772)."
Callitriche umbonata,"Citation: Hegelm., Verh.bot. Ver. Prov. Brandenb. 9:19 (1867)."
Labiatae,Author:Prepared by H. R. Toelken; Prostanthera and Westringia by B. J. Conn
Ajuga australis,"Citation: Ill. Cunningham et al. (1982) Plants of western New South Wales, p. 572."
Ajuga iva,"Citation: Schreber, Pl. Verticill. Unilab. 25 (1774)."
Calamintha,"Citation: Miller, Gard. Dict. Abr. edn 4 (1754)."
Calamintha nepeta,"Citation: Savi, Fl. Pis. 2:63 (1798) subsp. glandulosa (Req.)P.W. Ball, J. Linn. Soc.(Bot.) 65:347 (1972)."
Lamium,"Citation: L., Sp. Pl. 579 (1753)."
Lamium amplexicaule,"Citation: L., Sp. Pl. 579 (1753) subsp. amplexicaule."
Lavandula,"Citation: L., Sp. Pl. 572 (1753)."
Lavandula dentata,"Citation: L., Sp. Pl. 572 (1753)."
Lavandula stoechas,"Citation: L., Sp. Pl. 573 (1753) subsp, stoechas."
Lycopus,"Citation: L., Sp. Pl. 21 (1753)."
Lycopus australis,"Citation: R. Br., Prod. Fl. Nov. Holl. 500 (1810)."
Marrubium,"Citation: L., Sp. Pl. 570 (1753)."
Marrubium vulgare,"Citation: L., Sp. Pl. 570 (1753)."
Melissa,"Citation: L., Sp. Pl. 592 (1753)."
Melissa officinalis,"Citation: L., Sp. Pl. 592 (1753) subsp. officinalis."
Mentha,"Citation: L., Sp. Pl. 576 (1753)."
Mentha diemenica,"Citation: Sprengel, Syst. Veg. 2:724 (1825)."
Mentha australis,"Citation: Sprengel, Syst. Veg. 2:724 (1825)."
Mentha spicata,"Citation: L., Sp. Pl. 576 (1753) subsp. spicata."
Mentha pulegium,"Citation: L., Sp. Pl. 577 (1753)."
Mentha satureioides,"Citation: R. Br., Prod. Fl. Nov. Holl. 505 (1810)."
Moluccella,"Citation: L., Sp. Pl. 587 (1753)."
Moluccella laevis,"Citation: L., Sp. Pl. 587 (1753)."
Nepeta,"Citation: L., Sp. Pl. 570 (1753)."
Nepeta cataria,"Citation: L., Sp. Pl. 570 (1753)."
Plectranthus,"Citation: L'H r., Stirp. Novae 4:84, tt. 41, 42 (1788)."
Plectranthus intraterraneus,"Citation: S.T. Blake, Contr. Qld Herb. 9:33 (1971)."
Prostanthera,"Citation: Labill., Nov. Holl. Pl. Sp. 2:18 (1806)."
Prostanthera baxteri,"Citation: Cunn. ex Benth., Labiat. gen.spec. 453 (1834) var. sericea J. Black, Fl. S. Aust. 491 (1926)."
Prostanthera aspalathoides,"Citation: Cunn. ex Benth., Labiat. gen.spec. 453 (1834)."
Prostanthera behriana,"Citation: Schldl., Linnaea 20:610 (1847)."
Prostanthera calycina,"Citation: F. Muell. ex Benth., Fl. Aust. 5:107 (1870)."
Prostanthera chlorantha,"Citation: F. Muell. ex Benth., Fl. Aust. 5:108 (1870)."
Prostanthera eurybioides,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:48 (1855)."
Prostanthera florifera,"Citation: Conn, J. Adelaide Bot. Gard. 6:310 (1984)."
Prostanthera nudula,"Citation: J. Black ex E. Robertson, Fl. S. Aust. 946 (1957)."
Prostanthera serpyllifolia,"Citation: Briq., Nat rl. Pflanzenfam. 4, 3a:220 (1895)."
Prostanthera serpyllifolia microphylla,"Citation: Conn, J. Adelaide Bot. Gard. 6:297 (1984)."
Prostanthera spinosa,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:48 (1855)."
Prostanthera striatiflora,"Citation: F. Muell., Linnaea 25:425 (1853)."
Prostanthera wilkieana,"Citation: F. Muell., Fragm. Phyt. Aust. 8:230 (1874)."
Prunella,"Citation: L., Sp. Pl. 600 (1753)."
Prunella vulgaris,"Citation: L., Sp. Pl. 600 (1753)."
Rosmarinus,"Citation: L., Sp. Pl. 23 (1753)."
Rosmarinus officinalis,"Citation: L., Sp. Pl. 23 (1/33)."
Salvia,"Citation: L., Sp. Pl. 23 (1753)."
Salvia aethiopis,"Citation: L., Sp. Pl. 27 (1753)."
Salvia aurea,"Citation: L., Sp. Pl. edn 2:38 (1762)."
Salvia reflexa,"Citation: Hornem., Enum. Pl. Hort. Hafn. 34 (1807)."
Salvia verbenaca,"Citation: L., Sp. Pl. 25 (1753)."
Scutellaria,"Citation: L., Sp. Pl. 598 (1753)."
Scutellaria humilis,"Citation: R. Br., Prod. Fl. Nov. Holl. 507 (1810)."
Stachys,"Citation: L., Sp. Pl. 580 (1753)."
Stachys arvensis,"Citation: L., Sp. Pl. edn 2:814 (1763)."
Stachys byzantina,"Citation: C. Koch, Linnaea 21:686 (1848)."
Teucrium,"Citation: L., Sp. Pl. 562 (1753)."
Teucrium albicaule,"Citation: Toelken, J. Adelaide Bot. Gard. 7:296 (1985)."
Teucrium racemosum,"Citation: R. Br., Prod. Fl. Nov. Holl. 504 (1810)."
Teucrium corymbosum,"Citation: R. Br., Prod. Fl. Nov. Holl. 504 (1810)."
Teucrium grandiusculum,"Citation: F. Muell. & Tale, Trans. R. Soc. S. Aust. 13:108 (1890)."
Teucrium grandiusculum pilosum,"Citation: Toelken, J. Adelaide Bot. Gard. 7:299 (1985)."
Teucrium sessiliflorum,"Citation: Benth. in A. DC., Prod. 12:580 (1848)."
Spartothamnella teucriiflora,"Citation: Mold., Phytologia 1:430 (1940)."
Thymus,"Citation: L., Sp. Pl. 590 (1753)."
Thymus vulgaris,"Citation: L., Sp. Pl. 591 (1753)."
Westringia,"Citation: Smith, Kongl. Vetensk. Acad. Nya Handl. 18:173 (1797)."
Westringia dampieri,"Citation: R. Br., Prod. Fl. Nov. Holl. 501 (1810)."
Westringia eremicola,"Citation: Cunn. ex Benth., Labiat. gen. spec. 459 (1834)."
Westringia rigida,"Citation: R. Br., Prod. Fl. Nov. Holl. 501 (1810)."
Solanaceae,Author:Prepared by L. Haegi & D. E. Symon except where indicated
Anthocercis,"Author:Prepared by L. Haegi; Citation: Labill., Nov. Holl. Pl. Sp. 2:19 (1806)."
Anthocercis angustifolia,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:21 (1854)."
Anthocercis anisantha,"Citation: Endl., Stirp. Herb. H gel. 13 (1838)."
Anthocercis anisantha collina,"Citation: Haegi, Telopea 2:174 (1981)."
Cestrum,"Citation: L., Sp.Pl. 191 (1753)."
Cestrum parqui,"Citation: L'H r., Stirp. Nov. fasc.4:73, t. 36 (1788)."
Cyphanthera,"Author:Prepared by L. Haegi; Citation: Miers, Eadesia F. Muell., J. Trans. Vict. Inst. 2:71 (1858); Anthocercis sensu Benth., Fl. Aust. 4:474 (1868), partly, non Labill. (L. Haegi (1981) Telopea 2:176)."
Datura,"Author:Prepared by L. Haegi; Citation: L., Sp. Pl. 179 (1753)."
Datura ferox,"Citation: L., Amoen. Acad. 3:403 (1756)."
Datura inoxia,"Citation: Miller, Gard. Dict. edn 8 (1768)."
Datura metel,"Citation: L., Sp. Pl. 179 (1753)."
Datura leichhardtii,"Citation: F. Muell. ex Benth., Fl. Aust. 4:468 (1868)."
Datura stramonium,"Citation: L., Sp. Pl. 179 (1753)."
Datura wrightii,"Citation: Regel, Gartenflora 8:193, t. 260 (1859)."
Duboisia,"Author:Prepared by L. Haegi; Citation: R. Br., Prod. Fl. Nov. Holl. 448 (1810)."
Duboisia hopwoodii,"Citation: F. Muell., Fragm. Phyl. Aust. 10:20 (1876)."
Grammosolen,"Author:Prepared by L. Haegi; Citation: Haegi, Telopea 2:178 (1981)."
Grammosolen dixonii,"Citation: Haegi, Telopea 2:178 (1981)."
Grammosolen truncatus,"Citation: Haegi, Telopea 2:178 (1981)."
Hyoscyamus,"Citation: L., Sp. Pl. 179 (1753)."
Hyoscyamus niger,"Citation: L., Sp. Pl. 179 (1753)."
Lycium,"Citation: L., Sp. Pl. 191 (1753)."
Lycium australe,"Citation: F. Muell., Fragm. Phyl. Aust. 1:83 (1859)."
Lycium barbarum,"Citation: L., Sp. Pl. 192 (1753)."
Lycium ferocissimum,"Citation: Miers, Ann. Mag. nat. Hist. set. 2, 14:187 (1854)."
Nicandra,"Author:Prepared by P. Horton; Citation: Adans., Fam. 2:219 (1763)."
Nicandra physalodes,"Citation: Gaertner, Fruct. 2:237 (1791)."
Nicotiana,"Author:Prepared by P. Horton; Citation: L., Sp. Pl. 180 (1753)."
Nicotiana burbidgeae,"Citation: Symon, J. Adelaide Bot. Gard. 7:117 (1984)."
Nicotiana excelsior,"Citation: J. Black, Trans. R. Soc. S. Aust. 50:286 (1926)."
Nicotiana glauca,"Citation: Graham, Curtis's Bot. Mag. 55:t. 2837 (1828); Edinb. N. Phil. J. 5:175 (1828)."
Nicotiana goodspeedii,"Citation: H. Wheeler, Univ. Calif Publ. Bot. 18:63 (1935)."
Nicotiana gossei,"Citation: Domin, Biblthca Bot. 89:1146, pl. 36:figs 2-5 (1929)."
Nicotiana maritima,"Citation: H. Wheeler, Univ. Calif. Publ. Bot. 18:56 (1935)."
Nicotiana occidentalis,"Citation: H. Wheeler, Univ. Calif. Publ. Bot. 18:52 (1935) subsp. obliqua N. Burb., Aust. J. Bot. 8:364, pl. 8:fig. 2 (1960)."
Nicotiana rosulata,"Citation: Domin, Biblthca Bot. 89:1146, pl. 36:fig. 11 (1929) subsp. rosulata."
Nicotiana simulans,"Citation: N. Burb., Aust. J. Bot. 8:365, fig. 10, pl. 16:fig. 1 (1960)."
Nicotiana velutina,"Citation: H. Wheeler, Univ. Calif. Publ. Bot. 18:55 (1935)."
Physalis,"Author:Prepared by D. E. Symon; Citation: L., Sp. Pl. 182 (1753)."
Physalis viscosa,"Citation: L., Sp. Pl. 183 (1753)."
Physalis peruviana,"Citation: L., Sp. Pl. edn 2:1670 (1763)."
Salpichroa,"Author:Prepared by D. E. Symon; Citation: Miers, London J. Bot. 4:321 (1845)."
Salpichroa origanifolia,"Citation: Baillon, Hist. Pl. 9:288 (1888)."
Solanum,"Author:Prepared by D. E. Symon; Citation: L., Sp. PI. 184 (1753)."
Solanum ellipticum,"Citation: R. Br., Prod. Fl. Nov. Holl. 446 (1810)."
Solanum aviculare,"Citation: Forster f., Plant. Escul. 42, no. 12 (1786)."
Solanum capsiciforme,"Citation: Baylis, Aust. J. Bot. 11:168 (1963)."
Solanum simile,"Citation: F. Muell, Trans. Phil. Soc. Vic. 1:18 (1854)."
Solanum centrale,"Citation: J. Black, Trans. R. Soc. S. Aust. 58:180 (1934)."
Solanum chenopodinum,"Citation: F. Muell., Fragm. Phyt. Aust. 2:165 (1861)."
Solanum cinereum,"Citation: R. Br., Prod. Fl. Nov. Holl. 446 (1810)."
Solanum cleistogamum,"Citation: Symon, Trans. R.Soc. S. Aust. 95:227 (1971)."
Solanum coactiliferum,"Citation: J. Black, Trans. R.Soc. S. Aust. 33:224 (1909)."
Solanum eardleyae,"Citation: Symon, J. Adelaide Bot. Gard. 4:212 (1981)."
Solanum petrophilum,"Citation: F. Muell., Linnaea 25:432(1852)."
Solanum elaeagnifolium,"Citation: Cav., Icon. 3:22, t. 243 (1795)."
Solanum eremophilum,"Citation: F. Muell., Linnaea 25:432 (1853)."
Solanum esuriale,"Citation: Lindley in T.L. Mitchell, Three Exped. Int. eastern Austral. 2:43 (1838)."
Solanum ferocissimum,"Citation: Lindley in T.L. Mitchell, Three Exped. Int. eastern Austral. 2:58 (1838)."
Solanum hystrix,"Citation: R. Br., Prod. Fl. Nov. Holl. 446 (1810)."
Solanum laciniatum,"Citation: Alton, Hort. Kew. edn 1, 1:246 (1789)."
Solanum lacunarium,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:18 (1854)."
Solanum lasiophyllum,"Citation: Dunal ex Poiret, Encyc. Meth. Bot. Suppl. 3:764 ( 1814)."
Solanum hermanni,"Citation: Dunal, Hist. nat. Solanum 212, t. 2, fig. b (1813)."
Lycopersicon esculentum,"Citation: Miller, Gard. Dict. edn 8, no. 2 (1768)."
Solanum marginatum,"Citation: L.f., Suppl. 147 (1782)."
