Species,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Area (cm2),StmRat,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. sideroxylon,Amb,400,172,18.2,0.0518,587,1.12,2.18,2.9,0.5,26.55,28.47,26.03,1200.17,1188.82,16.251,16.889,47.59,49.46,500.5,1800
E. sideroxylon,Amb,400,172,18.3,0.0517,584,1.12,2.18,2.9,0.5,26.55,28.47,26.03,1200.11,1188.72,16.254,16.89,47.59,49.46,500.4,1800
E. sideroxylon,Amb,400,172,18.5,0.0517,580,1.12,2.18,2.9,0.5,26.55,28.48,26.03,1200.12,1188.66,16.257,16.895,47.6,49.47,500.4,1800
E. sideroxylon,Elv,400,467,11.6,0.131,227,3.64,2.85,4.8,0.5,30.86,32.91,30.11,400.47,387.99,17.896,21.317,40.86,48.67,500.4,1800
E. sideroxylon,Elv,400,467,11.5,0.132,229,3.65,2.85,4.8,0.5,30.86,32.91,30.11,400.41,388.04,17.895,21.323,40.86,48.68,500.4,1800
E. sideroxylon,Elv,400,467,11.5,0.132,229,3.65,2.85,4.8,0.5,30.86,32.91,30.11,400.42,387.99,17.897,21.327,40.86,48.69,500.4,1800
E. sideroxylon,Elv,400,467,11.6,0.132,228,3.66,2.85,4.8,0.5,30.86,32.91,30.11,400.47,388.01,17.899,21.33,40.86,48.69,500.4,1800
E. sideroxylon,Elv,400,467,11.6,0.132,228,3.66,2.85,4.8,0.5,30.86,32.91,30.11,400.45,387.99,17.902,21.335,40.87,48.7,500.4,1800
E. sideroxylon,Elv,400,467,11.5,0.132,229,3.66,2.84,4.8,0.5,30.86,32.9,30.11,400.44,388.01,17.903,21.341,40.87,48.72,500.3,1800
E. sideroxylon,Elv,400,467,11.5,0.133,230,3.67,2.84,4.8,0.5,30.86,32.89,30.11,400.41,387.99,17.905,21.347,40.88,48.73,500.3,1800
E. sideroxylon,Elv,400,467,11.6,0.133,229,3.67,2.84,4.8,0.5,30.86,32.89,30.11,400.46,387.99,17.906,21.348,40.88,48.73,500.4,1800
E. sideroxylon,Elv,400,467,11.6,0.133,229,3.67,2.84,4.8,0.5,30.86,32.9,30.11,400.48,387.97,17.907,21.354,40.88,48.75,500.4,1800
E. sideroxylon,Elv,400,467,11.6,0.133,229,3.67,2.84,4.8,0.5,30.86,32.9,30.11,400.47,387.95,17.907,21.355,40.88,48.75,500.4,1800
E. sideroxylon,Elv,400,467,22.2,0.0562,500,1.41,2.53,4.8,0.5,27.24,30.42,26.01,1199.72,1176.81,16.669,17.995,46.89,50.62,500.4,1799
E. sideroxylon,Elv,400,467,22.2,0.0562,499,1.41,2.53,4.8,0.5,27.24,30.42,26.01,1199.69,1176.76,16.669,17.994,46.9,50.62,500.4,1799
E. sideroxylon,Elv,400,467,22.5,0.0562,493,1.4,2.52,4.8,0.5,27.24,30.41,26.01,1199.77,1176.65,16.671,17.995,46.91,50.63,500.3,1799
E. sideroxylon,Elv,400,467,22.4,0.0562,494,1.41,2.52,4.8,0.5,27.24,30.4,26.02,1199.8,1176.7,16.674,17.998,46.91,50.64,500.4,1799
E. sideroxylon,Elv,400,467,22.6,0.0563,491,1.41,2.52,4.8,0.5,27.24,30.41,26.02,1199.91,1176.68,16.675,18,46.91,50.64,500.4,1799
E. sideroxylon,Elv,400,467,22.5,0.0562,492,1.41,2.52,4.8,0.5,27.24,30.41,26.02,1199.89,1176.7,16.677,18.002,46.92,50.64,500.4,1799
E. sideroxylon,Elv,400,467,22.4,0.0563,495,1.41,2.52,4.8,0.5,27.24,30.41,26.02,1199.81,1176.71,16.679,18.004,46.92,50.65,500.3,1799
E. sideroxylon,Elv,400,467,22.2,0.0564,504,1.41,2.52,4.8,0.5,27.24,30.41,26.02,1199.67,1176.8,16.68,18.008,46.92,50.66,500.4,1799
E. sideroxylon,Elv,400,467,22.1,0.0563,505,1.41,2.53,4.8,0.5,27.24,30.43,26.02,1199.63,1176.85,16.689,18.017,46.95,50.69,500.4,1799
E. sideroxylon,Elv,400,467,22.2,0.0563,502,1.41,2.52,4.8,0.5,27.24,30.42,26.02,1199.69,1176.83,16.692,18.018,46.96,50.69,500.4,1799
E. sideroxylon,Elv,400,467,15.6,0.183,227,4.89,2.8,4.5,0.5,30.61,32.05,30.12,399.97,384.21,15.173,19.487,35.12,45.11,500.4,1799
E. sideroxylon,Elv,400,467,15.7,0.183,227,4.89,2.8,4.5,0.5,30.61,32.05,30.12,399.98,384.21,15.174,19.488,35.12,45.11,500.5,1799
E. sideroxylon,Elv,400,467,15.7,0.183,226,4.89,2.8,4.5,0.5,30.61,32.05,30.12,399.98,384.21,15.176,19.49,35.12,45.11,500.5,1799
E. sideroxylon,Elv,400,467,15.7,0.183,226,4.89,2.8,4.5,0.5,30.61,32.06,30.12,400.03,384.21,15.179,19.492,35.13,45.11,500.4,1799
E. sideroxylon,Elv,400,467,15.8,0.183,225,4.89,2.8,4.5,0.5,30.61,32.06,30.12,400.04,384.18,15.18,19.492,35.13,45.11,500.4,1799
E. sideroxylon,Elv,400,467,15.7,0.183,226,4.89,2.8,4.5,0.5,30.61,32.06,30.12,400.05,384.2,15.18,19.495,35.13,45.12,500.4,1799
E. sideroxylon,Elv,400,467,15.8,0.183,225,4.89,2.8,4.5,0.5,30.62,32.06,30.12,400.06,384.19,15.182,19.495,35.14,45.12,500.4,1799
E. sideroxylon,Elv,400,467,15.8,0.182,225,4.89,2.8,4.5,0.5,30.62,32.06,30.12,400.06,384.16,15.184,19.496,35.14,45.12,500.4,1799
E. sideroxylon,Elv,400,467,15.8,0.183,226,4.89,2.8,4.5,0.5,30.62,32.06,30.12,400.05,384.2,15.185,19.499,35.14,45.12,500.4,1799
E. sideroxylon,Elv,400,467,15.7,0.183,226,4.89,2.8,4.5,0.5,30.62,32.05,30.12,400.07,384.22,15.187,19.498,35.15,45.12,500.4,1799
E. sideroxylon,Elv,400,467,22.6,0.0764,661,1.69,2.25,4.5,0.5,26.97,29.73,26.01,1199.05,1176.94,17.57,19.062,50.23,54.5,500.3,1800
E. sideroxylon,Elv,400,467,22.5,0.0765,663,1.69,2.25,4.5,0.5,26.97,29.72,26.01,1199,1176.96,17.567,19.061,50.22,54.5,500.3,1800
E. sideroxylon,Elv,400,467,22.4,0.0766,665,1.69,2.25,4.5,0.5,26.97,29.72,26.01,1198.97,1177.01,17.564,19.059,50.22,54.49,500.4,1800
E. sideroxylon,Elv,400,467,22.4,0.0766,666,1.7,2.24,4.5,0.5,26.97,29.71,26.01,1198.99,1177.03,17.558,19.053,50.21,54.48,500.4,1800
E. sideroxylon,Elv,400,467,22.5,0.0765,662,1.69,2.24,4.5,0.5,26.96,29.71,26.01,1199.12,1177.06,17.553,19.045,50.2,54.47,500.4,1800
E. sideroxylon,Elv,400,467,22.7,0.0764,659,1.69,2.24,4.5,0.5,26.96,29.71,26.01,1199.18,1176.98,17.552,19.043,50.2,54.46,500.4,1800
E. sideroxylon,Elv,400,467,22.7,0.0765,659,1.69,2.24,4.5,0.5,26.96,29.7,26.01,1199.15,1176.94,17.549,19.039,50.2,54.46,500.4,1800
E. sideroxylon,Elv,400,467,22.6,0.0764,662,1.69,2.24,4.5,0.5,26.96,29.69,26.01,1199,1176.93,17.545,19.034,50.19,54.45,500.4,1800
E. sideroxylon,Elv,400,467,22.3,0.0766,668,1.69,2.24,4.5,0.5,26.96,29.69,26.02,1198.91,1177.04,17.529,19.023,50.16,54.43,500.4,1800
E. sideroxylon,Elv,400,467,22.5,0.0766,664,1.69,2.24,4.5,0.5,26.95,29.69,26.01,1198.97,1176.97,17.527,19.02,50.15,54.42,500.4,1800
E. sideroxylon,Elv,400,470,16.2,0.218,255,3.71,1.78,3.3,0.5,30.15,30.93,30.13,400.78,389.12,24.09,26.475,57.4,63.08,499.5,1800
E. sideroxylon,Elv,400,470,16.2,0.217,255,3.7,1.78,3.3,0.5,30.15,30.93,30.12,400.74,389.11,24.096,26.476,57.41,63.08,499.5,1800
E. sideroxylon,Elv,400,470,16.1,0.217,255,3.7,1.78,3.3,0.5,30.15,30.93,30.12,400.72,389.1,24.102,26.48,57.43,63.09,499.5,1800
E. sideroxylon,Elv,400,470,16.2,0.217,254,3.69,1.78,3.3,0.5,30.15,30.93,30.12,400.78,389.1,24.111,26.485,57.45,63.11,499.5,1800
E. sideroxylon,Elv,400,470,16.4,0.216,253,3.68,1.78,3.3,0.5,30.15,30.93,30.12,400.84,389.07,24.119,26.488,57.47,63.11,499.5,1799
E. sideroxylon,Elv,400,470,16.4,0.216,253,3.68,1.78,3.3,0.5,30.15,30.93,30.13,400.85,389.09,24.125,26.493,57.48,63.12,499.5,1799
E. sideroxylon,Elv,400,470,16.4,0.216,252,3.67,1.78,3.3,0.5,30.15,30.93,30.13,400.86,389.1,24.134,26.496,57.5,63.13,499.5,1799
E. sideroxylon,Elv,400,470,16.3,0.216,253,3.68,1.78,3.3,0.5,30.15,30.94,30.13,400.82,389.11,24.137,26.501,57.51,63.14,499.5,1799
E. sideroxylon,Elv,400,470,16.2,0.216,254,3.68,1.78,3.3,0.5,30.15,30.94,30.13,400.77,389.16,24.143,26.508,57.52,63.15,499.5,1799
E. sideroxylon,Elv,400,470,16.2,0.216,254,3.67,1.78,3.3,0.5,30.15,30.94,30.13,400.77,389.15,24.152,26.514,57.54,63.17,499.6,1799
E. sideroxylon,Elv,400,470,21.6,0.167,944,2.29,1.42,3.3,0.5,26.74,29.08,26.02,1199.4,1183.32,24.116,25.59,70.03,74.31,499.5,1801
E. sideroxylon,Elv,400,470,21.2,0.168,949,2.29,1.42,3.3,0.5,26.73,29.08,26.02,1199.27,1183.48,24.12,25.597,70.07,74.36,499.5,1801
E. sideroxylon,Elv,400,470,21.3,0.168,948,2.3,1.42,3.3,0.5,26.73,29.08,26.02,1199.25,1183.4,24.121,25.598,70.07,74.37,499.5,1801
E. sideroxylon,Elv,400,470,21.3,0.168,948,2.3,1.42,3.3,0.5,26.73,29.07,26.02,1199.21,1183.37,24.12,25.599,70.07,74.37,499.5,1801
E. sideroxylon,Elv,400,470,21.3,0.168,948,2.3,1.42,3.3,0.5,26.73,29.08,26.02,1199.3,1183.43,24.121,25.6,70.07,74.37,499.5,1801
E. sideroxylon,Elv,400,470,21.3,0.168,947,2.3,1.42,3.3,0.5,26.73,29.08,26.02,1199.33,1183.44,24.122,25.6,70.08,74.37,499.5,1801
E. sideroxylon,Elv,400,470,21.4,0.167,947,2.29,1.42,3.3,0.5,26.73,29.08,26.02,1199.39,1183.49,24.125,25.599,70.08,74.36,499.5,1801
E. sideroxylon,Elv,400,470,21.3,0.167,947,2.29,1.42,3.3,0.5,26.73,29.07,26.02,1199.33,1183.44,24.125,25.6,70.09,74.37,499.5,1801
E. sideroxylon,Elv,400,470,21.2,0.168,949,2.3,1.42,3.3,0.5,26.73,29.06,26.02,1199.26,1183.44,24.124,25.602,70.09,74.38,499.5,1801
E. sideroxylon,Elv,400,470,21.3,0.168,948,2.3,1.42,3.3,0.5,26.73,29.06,26.02,1199.29,1183.41,24.124,25.602,70.09,74.38,499.5,1801
E. sideroxylon,Elv,400,471,12.9,0.108,188,1.91,1.8,3.2,0.5,30.36,31.86,30.12,400.39,391.66,27.535,28.725,64.8,67.6,499.5,1800
E. sideroxylon,Elv,400,471,12.8,0.108,189,1.91,1.8,3.2,0.5,30.36,31.86,30.12,400.38,391.68,27.538,28.729,64.81,67.61,499.5,1800
E. sideroxylon,Elv,400,471,12.8,0.108,189,1.92,1.79,3.2,0.5,30.36,31.86,30.12,400.37,391.68,27.541,28.734,64.81,67.62,499.5,1800
E. sideroxylon,Elv,400,471,12.7,0.109,191,1.92,1.79,3.2,0.5,30.36,31.85,30.12,400.32,391.69,27.544,28.737,64.82,67.63,499.5,1801
E. sideroxylon,Elv,400,471,12.9,0.108,188,1.91,1.79,3.2,0.5,30.36,31.84,30.12,400.4,391.63,27.549,28.74,64.84,67.64,499.5,1801
E. sideroxylon,Elv,400,471,12.8,0.109,190,1.92,1.79,3.2,0.5,30.36,31.85,30.12,400.35,391.66,27.552,28.743,64.85,67.65,499.5,1801
E. sideroxylon,Elv,400,471,12.8,0.109,190,1.92,1.79,3.2,0.5,30.36,31.85,30.12,400.32,391.64,27.557,28.75,64.86,67.67,499.5,1801
E. sideroxylon,Elv,400,471,12.8,0.109,191,1.92,1.79,3.2,0.5,30.36,31.85,30.12,400.33,391.65,27.561,28.757,64.87,67.68,499.5,1801
E. sideroxylon,Elv,400,471,12.9,0.109,188,1.91,1.79,3.2,0.5,30.36,31.84,30.12,400.38,391.61,27.571,28.762,64.9,67.7,499.5,1801
E. sideroxylon,Elv,400,471,13,0.108,186,1.91,1.79,3.2,0.5,30.36,31.85,30.12,400.38,391.57,27.573,28.763,64.91,67.71,499.4,1801
E. sideroxylon,Elv,400,471,24.4,0.144,879,2.04,1.45,3.2,0.5,26.89,29.56,26.02,1200.12,1182.96,25.101,26.373,72.22,75.88,499.5,1799
E. sideroxylon,Elv,400,471,24.3,0.144,880,2.04,1.46,3.2,0.5,26.89,29.56,26.02,1200.11,1182.98,25.103,26.375,72.22,75.88,499.5,1799
E. sideroxylon,Elv,400,471,24.2,0.144,882,2.04,1.45,3.2,0.5,26.89,29.55,26.02,1200.02,1182.98,25.106,26.378,72.23,75.89,499.5,1799
E. sideroxylon,Elv,400,471,24.3,0.144,880,2.04,1.45,3.2,0.5,26.89,29.55,26.02,1200.02,1182.92,25.108,26.377,72.24,75.89,499.5,1799
E. sideroxylon,Elv,400,471,24.3,0.144,881,2.04,1.45,3.2,0.5,26.9,29.55,26.02,1200,1182.91,25.109,26.38,72.24,75.9,499.5,1799
E. sideroxylon,Elv,400,471,24.4,0.144,879,2.04,1.45,3.2,0.5,26.9,29.55,26.02,1200.01,1182.81,25.108,26.38,72.24,75.9,499.5,1799
E. sideroxylon,Elv,400,471,24.5,0.144,878,2.04,1.45,3.2,0.5,26.9,29.57,26.02,1200.14,1182.9,25.112,26.386,72.24,75.9,499.4,1799
E. sideroxylon,Elv,400,471,24.4,0.145,880,2.05,1.45,3.2,0.5,26.9,29.56,26.02,1200.07,1182.85,25.113,26.391,72.24,75.92,499.5,1799
E. sideroxylon,Elv,400,471,24.4,0.145,881,2.05,1.45,3.2,0.5,26.9,29.56,26.02,1200.07,1182.89,25.114,26.393,72.25,75.92,499.5,1799
E. sideroxylon,Elv,400,471,24.4,0.145,880,2.05,1.45,3.2,0.5,26.9,29.57,26.02,1200.15,1182.97,25.115,26.392,72.24,75.92,499.5,1799
E. sideroxylon,Elv,400,482,17.1,0.264,263,4.3,1.73,4.5,0.5,30.82,32.85,30.11,399.94,383.07,28.362,32.106,64.89,73.46,500.4,1799
E. sideroxylon,Elv,400,482,17.1,0.264,263,4.3,1.73,4.5,0.5,30.82,32.85,30.11,399.94,383.08,28.362,32.105,64.89,73.46,500.4,1799
E. sideroxylon,Elv,400,482,17,0.264,264,4.3,1.73,4.5,0.5,30.82,32.85,30.11,399.92,383.11,28.362,32.105,64.89,73.45,500.4,1799
E. sideroxylon,Elv,400,482,17.1,0.264,263,4.3,1.73,4.5,0.5,30.82,32.85,30.11,399.98,383.09,28.361,32.104,64.89,73.45,500.4,1799
E. sideroxylon,Elv,400,482,17.2,0.264,263,4.3,1.73,4.5,0.5,30.82,32.85,30.12,400,383.09,28.36,32.106,64.89,73.46,500.4,1799
E. sideroxylon,Elv,400,482,17.2,0.264,263,4.3,1.73,4.5,0.5,30.82,32.85,30.12,399.99,383.05,28.36,32.106,64.88,73.45,500.4,1799
E. sideroxylon,Elv,400,482,17.2,0.264,262,4.3,1.73,4.5,0.5,30.82,32.85,30.12,399.98,383.01,28.357,32.103,64.88,73.45,500.4,1799
E. sideroxylon,Elv,400,482,17.2,0.264,263,4.3,1.73,4.5,0.5,30.82,32.86,30.12,399.92,383.01,28.356,32.102,64.88,73.45,500.4,1799
E. sideroxylon,Elv,400,482,17.1,0.264,263,4.31,1.73,4.5,0.5,30.82,32.85,30.11,399.9,382.99,28.355,32.103,64.87,73.45,500.4,1799
E. sideroxylon,Elv,400,482,17.1,0.264,263,4.31,1.73,4.5,0.5,30.82,32.85,30.11,399.88,383.02,28.354,32.101,64.87,73.44,500.4,1799
E. sideroxylon,Elv,400,482,26.1,0.0864,655,1.56,1.84,4.5,0.5,26.91,29.52,26.02,1201.21,1176.1,21.233,22.606,60.88,64.82,500.4,1800
E. sideroxylon,Elv,400,482,26,0.0865,657,1.56,1.84,4.5,0.5,26.91,29.52,26.02,1201.16,1176.13,21.233,22.607,60.88,64.82,500.4,1800
E. sideroxylon,Elv,400,482,25.9,0.0866,660,1.56,1.83,4.5,0.5,26.91,29.52,26.02,1201.13,1176.21,21.233,22.607,60.88,64.82,500.4,1800
E. sideroxylon,Elv,400,482,25.9,0.0863,657,1.56,1.84,4.5,0.5,26.91,29.53,26.02,1201.16,1176.18,21.234,22.606,60.88,64.82,500.4,1800
E. sideroxylon,Elv,400,482,26,0.0863,655,1.56,1.84,4.5,0.5,26.91,29.53,26.02,1201.17,1176.1,21.235,22.607,60.88,64.82,500.4,1800
E. sideroxylon,Elv,400,482,26.2,0.0861,650,1.56,1.84,4.5,0.5,26.91,29.53,26.02,1201.31,1176.09,21.236,22.606,60.89,64.81,500.4,1800
E. sideroxylon,Elv,400,482,26.3,0.0862,650,1.56,1.84,4.5,0.5,26.92,29.53,26.02,1201.34,1176.08,21.236,22.607,60.89,64.81,500.4,1800
E. sideroxylon,Elv,400,482,26.3,0.0862,650,1.56,1.84,4.5,0.5,26.92,29.53,26.02,1201.41,1176.13,21.237,22.607,60.88,64.81,500.4,1800
E. sideroxylon,Elv,400,482,26.2,0.0862,652,1.56,1.84,4.5,0.5,26.92,29.53,26.02,1201.37,1176.16,21.237,22.608,60.89,64.82,500.4,1800
E. sideroxylon,Elv,400,482,26.1,0.0863,654,1.56,1.84,4.5,0.5,26.91,29.54,26.02,1201.29,1176.17,21.236,22.609,60.89,64.82,500.4,1800
E. sideroxylon,Elv,400,494,18.8,0.199,219,4.05,2.1,3.4,0.5,30.82,32.96,30.11,400.41,386.61,26.097,28.767,59.7,65.8,500.4,1800
E. sideroxylon,Elv,400,494,18.7,0.199,219,4.05,2.1,3.4,0.5,30.82,32.96,30.11,400.42,386.63,26.097,28.769,59.7,65.81,500.4,1800
E. sideroxylon,Elv,400,494,18.8,0.2,218,4.05,2.1,3.4,0.5,30.82,32.96,30.11,400.48,386.61,26.098,28.77,59.7,65.81,500.4,1800
E. sideroxylon,Elv,400,494,18.8,0.2,219,4.05,2.1,3.4,0.5,30.82,32.96,30.12,400.47,386.64,26.099,28.772,59.7,65.81,500.4,1800
E. sideroxylon,Elv,400,494,18.8,0.2,219,4.05,2.1,3.4,0.5,30.82,32.96,30.12,400.48,386.65,26.1,28.774,59.7,65.82,500.4,1800
E. sideroxylon,Elv,400,494,18.8,0.2,218,4.05,2.1,3.4,0.5,30.82,32.96,30.12,400.49,386.62,26.101,28.774,59.71,65.82,500.4,1800
E. sideroxylon,Elv,400,494,18.8,0.2,218,4.05,2.1,3.4,0.5,30.82,32.96,30.12,400.47,386.63,26.101,28.774,59.7,65.82,500.5,1800
E. sideroxylon,Elv,400,494,18.8,0.2,219,4.05,2.1,3.4,0.5,30.82,32.96,30.11,400.45,386.63,26.103,28.775,59.71,65.82,500.4,1800
E. sideroxylon,Elv,400,494,18.8,0.199,218,4.05,2.1,3.4,0.5,30.82,32.96,30.11,400.45,386.58,26.103,28.774,59.71,65.82,500.4,1800
E. sideroxylon,Elv,400,494,18.9,0.199,218,4.04,2.1,3.4,0.5,30.82,32.96,30.11,400.45,386.57,26.105,28.773,59.71,65.82,500.4,1800
E. sideroxylon,Elv,400,494,37.9,0.1,527,1.82,1.85,3.4,0.5,27.02,29.88,26.02,1200.92,1173.7,22.142,23.35,63.09,66.53,500.4,1800
E. sideroxylon,Elv,400,494,37.9,0.1,529,1.82,1.85,3.4,0.5,27.02,29.88,26.02,1200.9,1173.72,22.142,23.351,63.09,66.53,500.4,1800
E. sideroxylon,Elv,400,494,37.9,0.0998,527,1.82,1.85,3.4,0.5,27.02,29.9,26.02,1200.89,1173.71,22.145,23.352,63.1,66.54,500.4,1800
E. sideroxylon,Elv,400,494,37.8,0.0998,528,1.82,1.85,3.4,0.5,27.02,29.91,26.02,1200.82,1173.7,22.145,23.354,63.1,66.55,500.4,1800
E. sideroxylon,Elv,400,494,37.9,0.0997,526,1.82,1.85,3.4,0.5,27.02,29.9,26.02,1200.82,1173.65,22.145,23.352,63.1,66.54,500.4,1800
E. sideroxylon,Elv,400,494,37.8,0.0999,528,1.82,1.85,3.4,0.5,27.02,29.9,26.02,1200.84,1173.7,22.147,23.355,63.1,66.54,500.4,1799
E. sideroxylon,Elv,400,494,37.8,0.0999,529,1.82,1.85,3.4,0.5,27.02,29.9,26.02,1200.83,1173.72,22.148,23.357,63.09,66.54,500.4,1799
E. sideroxylon,Elv,400,494,37.8,0.0999,529,1.82,1.85,3.4,0.5,27.02,29.9,26.02,1200.86,1173.76,22.149,23.358,63.1,66.54,500.4,1799
E. sideroxylon,Elv,400,494,37.8,0.0999,529,1.82,1.85,3.4,0.5,27.02,29.91,26.02,1200.86,1173.75,22.151,23.361,63.1,66.55,500.4,1799
E. sideroxylon,Elv,400,494,37.6,0.1,532,1.82,1.85,3.4,0.5,27.02,29.9,26.02,1200.82,1173.8,22.152,23.362,63.11,66.55,500.4,1799
E. sideroxylon,Amb,640,84,22.1,0.119,300,2.11,1.83,4.2,0.5,26.4,27.79,26.02,640.17,620.56,17.006,18.741,50.38,55.52,500.4,1800
E. sideroxylon,Amb,640,84,22.1,0.119,301,2.11,1.83,4.2,0.5,26.4,27.79,26.02,640.17,620.56,16.996,18.735,50.35,55.5,500.5,1800
E. sideroxylon,Amb,640,84,22.1,0.119,301,2.11,1.83,4.2,0.5,26.4,27.78,26.02,640.13,620.52,16.995,18.73,50.35,55.49,500.4,1800
E. sideroxylon,Amb,640,84,22.1,0.119,301,2.11,1.83,4.2,0.5,26.4,27.78,26.02,640.11,620.51,16.989,18.725,50.33,55.47,500.4,1800
E. sideroxylon,Amb,640,84,22.1,0.119,300,2.1,1.83,4.2,0.5,26.4,27.77,26.02,640.09,620.48,16.984,18.716,50.32,55.45,500.4,1800
E. sideroxylon,Amb,640,84,22.1,0.119,300,2.11,1.83,4.2,0.5,26.4,27.78,26.02,640.09,620.47,16.977,18.712,50.3,55.44,500.4,1800
E. sideroxylon,Amb,640,84,22.1,0.119,301,2.11,1.83,4.2,0.5,26.4,27.78,26.02,640.13,620.52,16.97,18.708,50.28,55.43,500.4,1800
E. sideroxylon,Amb,640,84,22.1,0.119,300,2.11,1.83,4.2,0.5,26.4,27.78,26.02,640.16,620.53,16.965,18.703,50.27,55.42,500.4,1800
E. sideroxylon,Amb,640,84,22,0.119,302,2.11,1.83,4.2,0.5,26.4,27.77,26.02,640.13,620.57,16.957,18.695,50.25,55.4,500.4,1800
E. sideroxylon,Amb,640,84,21.9,0.119,303,2.11,1.83,4.2,0.5,26.4,27.76,26.02,640.14,620.63,16.953,18.69,50.24,55.39,500.4,1800
E. sideroxylon,Amb,640,84,26.7,0.117,774,1.84,1.64,4.2,0.5,25.66,25.19,26.04,1201.73,1177.47,13.917,15.439,43.07,47.78,500.5,1799
E. sideroxylon,Amb,640,84,26.8,0.117,773,1.84,1.64,4.2,0.5,25.66,25.19,26.04,1201.73,1177.42,13.914,15.437,43.06,47.77,500.5,1799
E. sideroxylon,Amb,640,84,26.6,0.117,775,1.84,1.63,4.2,0.5,25.66,25.18,26.04,1201.57,1177.39,13.91,15.432,43.05,47.75,500.5,1798
E. sideroxylon,Amb,640,84,26.4,0.117,778,1.84,1.64,4.2,0.5,25.66,25.19,26.04,1201.34,1177.33,13.906,15.429,43.03,47.74,500.5,1799
E. sideroxylon,Amb,640,84,26.8,0.117,772,1.85,1.64,4.2,0.5,25.67,25.22,26.04,1200.77,1176.47,13.88,15.409,42.93,47.66,500.5,1799
E. sideroxylon,Amb,640,84,26.8,0.117,772,1.85,1.64,4.2,0.5,25.67,25.22,26.04,1200.76,1176.47,13.879,15.409,42.92,47.65,500.5,1799
E. sideroxylon,Amb,640,84,26.8,0.117,773,1.86,1.65,4.2,0.5,25.68,25.23,26.04,1200.77,1176.46,13.875,15.407,42.91,47.65,500.5,1799
E. sideroxylon,Amb,640,84,26.8,0.117,772,1.86,1.65,4.2,0.5,25.68,25.22,26.04,1200.83,1176.47,13.871,15.405,42.89,47.63,500.5,1799
E. sideroxylon,Amb,640,84,26.9,0.117,772,1.86,1.65,4.2,0.5,25.68,25.22,26.04,1200.85,1176.47,13.868,15.403,42.88,47.63,500.5,1798
E. sideroxylon,Amb,640,84,26.9,0.117,772,1.86,1.65,4.2,0.5,25.68,25.23,26.04,1200.86,1176.45,13.864,15.401,42.86,47.61,500.5,1798
E. sideroxylon,Amb,640,51,17,0.105,352,1.34,1.31,3.6,0.5,26.23,27.55,26.03,639.29,626.49,22.337,23.281,66.95,69.78,500.4,1799
E. sideroxylon,Amb,640,51,16.9,0.105,353,1.34,1.31,3.6,0.5,26.23,27.55,26.03,639.27,626.51,22.335,23.279,66.94,69.77,500.4,1799
E. sideroxylon,Amb,640,51,16.9,0.105,353,1.34,1.31,3.6,0.5,26.23,27.54,26.03,639.23,626.5,22.333,23.277,66.93,69.76,500.4,1799
E. sideroxylon,Amb,640,51,16.8,0.105,355,1.35,1.31,3.6,0.5,26.23,27.54,26.03,639.2,626.53,22.33,23.276,66.92,69.76,500.4,1799
E. sideroxylon,Amb,640,51,16.9,0.105,353,1.35,1.31,3.6,0.5,26.23,27.55,26.03,639.26,626.5,22.329,23.274,66.92,69.75,500.4,1799
E. sideroxylon,Amb,640,51,16.9,0.106,353,1.35,1.31,3.6,0.5,26.23,27.55,26.03,639.28,626.49,22.324,23.273,66.9,69.75,500.4,1799
E. sideroxylon,Amb,640,51,16.9,0.106,353,1.35,1.31,3.6,0.5,26.23,27.56,26.03,639.28,626.51,22.32,23.269,66.89,69.74,500.5,1799
E. sideroxylon,Amb,640,51,16.9,0.106,355,1.36,1.31,3.6,0.5,26.23,27.56,26.03,639.26,626.5,22.303,23.259,66.84,69.7,500.4,1799
E. sideroxylon,Amb,640,51,17,0.106,352,1.36,1.31,3.6,0.5,26.23,27.56,26.03,639.33,626.49,22.303,23.256,66.84,69.69,500.4,1799
E. sideroxylon,Amb,640,51,16.9,0.106,354,1.35,1.31,3.6,0.5,26.23,27.56,26.03,639.27,626.52,22.301,23.253,66.83,69.69,500.4,1799
E. sideroxylon,Amb,640,51,21.6,0.0779,710,1.1,1.44,3.6,0.5,26.38,28.05,26.03,1200.42,1183.96,22.355,23.129,66.39,68.69,500.5,1800
E. sideroxylon,Amb,640,51,21.4,0.078,715,1.1,1.44,3.6,0.5,26.38,28.05,26.03,1200.38,1184.04,22.355,23.13,66.39,68.69,500.5,1800
E. sideroxylon,Amb,640,51,21.6,0.078,711,1.1,1.44,3.6,0.5,26.38,28.05,26.03,1200.44,1183.99,22.354,23.128,66.39,68.69,500.5,1800
E. sideroxylon,Amb,640,51,21.6,0.0784,714,1.11,1.44,3.6,0.5,26.38,28.05,26.03,1200.46,1184,22.351,23.129,66.38,68.69,500.5,1800
E. sideroxylon,Amb,640,51,21.9,0.0789,710,1.11,1.44,3.6,0.5,26.38,28.05,26.03,1200.62,1183.95,22.348,23.131,66.38,68.7,500.4,1800
E. sideroxylon,Amb,640,51,21.8,0.0795,715,1.12,1.44,3.6,0.5,26.38,28.05,26.03,1200.66,1184.01,22.34,23.13,66.35,68.69,500.5,1800
