euclid_name,accepted_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit
eucalyptus_platypus_subsp._platypus,Eucalyptus platypus subsp. platypus,4,6.5,cm,4,6.5,cm
eucalyptus_pleurocarpa,Eucalyptus pleurocarpa,NA,NA,NA,NA,NA,NA
eucalyptus_pluricaulis_subsp._pluricaulis,Eucalyptus pluricaulis subsp. pluricaulis,NA,NA,NA,NA,NA,NA
eucalyptus_pluricaulis_subsp._porphyrea,Eucalyptus pluricaulis subsp. porphyrea,NA,NA,NA,NA,NA,NA
eucalyptus_polita,Eucalyptus polita,5.5,10,cm,0.8,2,cm
eucalyptus_polyanthemos_subsp._longior,Eucalyptus polyanthemos subsp. longior,4,10,cm,3.8,12,cm
eucalyptus_polyanthemos_subsp._polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,2.5,8,cm,2.5,6.5,cm
eucalyptus_polyanthemos_subsp._vestita,Eucalyptus polyanthemos subsp. vestita,4.5,5.8,cm,4.8,6.5,cm
eucalyptus_polybractea,Eucalyptus polybractea,4,15,cm,0.3,1.6,cm
eucalyptus_populnea,Eucalyptus populnea,NA,NA,NA,NA,NA,NA
eucalyptus_porosa,Eucalyptus porosa,5.5,9,cm,1.2,2.2,cm
eucalyptus_praetermissa,Eucalyptus praetermissa,4,7,cm,1.5,3,cm
eucalyptus_prava,Eucalyptus prava,4.5,10.5,cm,3,7,cm
eucalyptus_preissiana_subsp._lobata,Eucalyptus preissiana subsp. lobata,6,12.5,cm,3.5,7.3,cm
eucalyptus_preissiana_subsp._preissiana,Eucalyptus preissiana subsp. preissiana,5,9.3,cm,3,6.2,cm
eucalyptus_prolixa,Eucalyptus prolixa,NA,NA,NA,NA,NA,NA
eucalyptus_prominens,Eucalyptus prominens,5.5,8,cm,1.2,2,cm
eucalyptus_prominula,Eucalyptus youmanii,3,7.5,cm,2,4,cm
eucalyptus_propinqua,Eucalyptus propinqua,4,7.5,cm,1,2.2,cm
eucalyptus_protensa,Eucalyptus protensa,NA,NA,NA,NA,NA,NA
eucalyptus_provecta,Eucalyptus provecta,4.5,9,cm,1,3.2,cm
eucalyptus_proxima,Eucalyptus proxima,4,7.5,cm,1.5,3,cm
eucalyptus_pruiniramis,Eucalyptus pruiniramis,4.5,10.5,cm,4,6.5,cm
eucalyptus_pruinosa_subsp._pruinosa,Eucalyptus pruinosa subsp. pruinosa,9,14,cm,6,10,cm
eucalyptus_pruinosa_subsp._tenuata,Eucalyptus pruinosa subsp. tenuata,8,12,cm,4.7,9,cm
eucalyptus_psammitica,Eucalyptus psammitica,6.5,11,cm,2,5,cm
eucalyptus_pterocarpa,Eucalyptus pterocarpa,6,10,cm,2.5,4,cm
eucalyptus_pulchella,Eucalyptus pulchella,2,3.5,cm,0.2,0.4,cm
eucalyptus_pulverulenta,Eucalyptus pulverulenta,1.5,5,cm,2,5,cm
eucalyptus_pumila,Eucalyptus pumila,NA,10,cm,NA,6,cm
eucalyptus_punctata,Eucalyptus punctata,5.5,11.5,cm,1.5,3.5,cm
eucalyptus_purpurata,Eucalyptus purpurata,NA,NA,NA,NA,NA,NA
eucalyptus_pyriformis,Eucalyptus pyriformis,4,7,cm,3,4.5,cm
eucalyptus_pyrocarpa,Eucalyptus pyrocarpa,12.5,23,cm,1.6,2.5,cm
eucalyptus_quadrangulata,Eucalyptus quadrangulata,7,15,cm,1.3,3.5,cm
eucalyptus_quadrans,Eucalyptus quadrans,3,7,cm,0.2,0.6,cm
eucalyptus_quadricostata,Eucalyptus quadricostata,7,12,cm,3.5,7,cm
eucalyptus_quaerenda,Eucalyptus quaerenda,4.5,8,cm,0.3,0.6,cm
eucalyptus_racemosa_subsp._racemosa,Eucalyptus racemosa,5,17,cm,2.5,8.5,cm
eucalyptus_racemosa_subsp._rossii,Eucalyptus rossii,7,14,cm,1.5,4,cm
eucalyptus_radiata_subsp._radiata,Eucalyptus radiata subsp. radiata,3.3,10,cm,0.5,2,cm
eucalyptus_radiata_subsp._robertsonii,Eucalyptus radiata subsp. robertsonii,4,9,cm,0.7,3,cm
eucalyptus_radiata_subsp._sejuncta,Eucalyptus radiata subsp. sejuncta,4,10,cm,1.5,4.5,cm
eucalyptus_rameliana,Eucalyptus rameliana,NA,NA,NA,NA,NA,NA
eucalyptus_raveretiana,Eucalyptus raveretiana,5,12.5,cm,1.7,5.5,cm
eucalyptus_ravida,Eucalyptus ravida,5.5,9,cm,1.5,2.5,cm
eucalyptus_recta,Eucalyptus recta,NA,NA,NA,NA,NA,NA
eucalyptus_recurva,Eucalyptus recurva,1,2,cm,0.4,0.8,cm
eucalyptus_redunca,Eucalyptus redunca,NA,NA,NA,NA,NA,NA
eucalyptus_regnans,Eucalyptus regnans,5.5,12,cm,2.2,5,cm
eucalyptus_relicta,Eucalyptus relicta,NA,NA,NA,NA,NA,NA
eucalyptus_remota,Eucalyptus remota,5,10.5,cm,3,4.5,cm
eucalyptus_repullulans,Eucalyptus repullulans,4,8,cm,2.2,4,cm
eucalyptus_resinifera_subsp._hemilampra,Eucalyptus resinifera subsp. hemilampra,6.5,15.5,cm,1.7,4,cm
eucalyptus_resinifera_subsp._resinifera,Eucalyptus resinifera subsp. resinifera,6.5,15.5,cm,1.7,4.5,cm
eucalyptus_retinens,Eucalyptus retinens,3.5,10,cm,2.5,8,cm
eucalyptus_retusa,Eucalyptus retusa,NA,NA,NA,NA,NA,NA
eucalyptus_rhodantha,Eucalyptus rhodantha,4.5,9,cm,3,7.5,cm
eucalyptus_rhombica,Eucalyptus rhombica,6.5,10,cm,2,3,cm
eucalyptus_rhomboidea,Eucalyptus rhomboidea,NA,NA,NA,NA,NA,NA
eucalyptus_rigens,Eucalyptus rigens,5,10.5,cm,2,3.8,cm
eucalyptus_rigidula,Eucalyptus rigidula,5,9,cm,0.5,1,cm
eucalyptus_risdonii,Eucalyptus risdonii,2,5,cm,2,5,cm
eucalyptus_robusta,Eucalyptus robusta,6,19,cm,2.5,8,cm
eucalyptus_rodwayi,Eucalyptus rodwayi,2.5,7.8,cm,0.7,2,cm
eucalyptus_rosacea,Eucalyptus rosacea,3.5,8,cm,0.2,0.4,cm
eucalyptus_rowleyi,Eucalyptus rowleyi,NA,NA,NA,NA,NA,NA
eucalyptus_roycei,Eucalyptus roycei,6,12.5,cm,3,6,vm
eucalyptus_rubida_subsp._barbigerorum,Eucalyptus rubida subsp. barbigerorum,3,7,cm,2.2,5.5,cm
eucalyptus_rubida_subsp._rubida,Eucalyptus rubida subsp. rubida,2,6,cm,2.5,6.5,cm
eucalyptus_rubiginosa,Eucalyptus rubiginosa,10,15,cm,1.5,3,cm
eucalyptus_rudderi,Eucalyptus rudderi,3.5,5,cm,0.5,1,cm
eucalyptus_rudis_subsp._cratyantha,Eucalyptus rudis subsp. cratyantha,2.5,7,cm,2,5,cm
eucalyptus_rudis_subsp._rudis,Eucalyptus rudis subsp. rudis,2.5,7,cm,2,6.5,cm
eucalyptus_rugosa,Eucalyptus rugosa,5,8.5,cm,2,4,cm
eucalyptus_rugulata,Eucalyptus rugulata,NA,NA,NA,NA,NA,NA
eucalyptus_rummeryi,Eucalyptus rummeryi,5.5,11,cm,1.5,3.5,cm
eucalyptus_rupestris,Eucalyptus rupestris,5,7,cm,3.5,8,cm
eucalyptus_salicola,Eucalyptus salicola,1,2.7,cm,0.7,1.5,cm
eucalyptus_saligna,Eucalyptus saligna,3.7,12,cm,1.5,4,cm
eucalyptus_salmonophloia,Eucalyptus salmonophloia,7,9,cm,1.2,3,cm
eucalyptus_salubris,Eucalyptus salubris,6.5,9.5,cm,2,3,cm
eucalyptus_sargentii_subsp._onesia,Eucalyptus sargentii subsp. onesis,NA,NA,NA,NA,NA,NA
eucalyptus_sargentii_subsp._sargentii,Eucalyptus sargentii subsp. sargentii,5,12,cm,0.5,1.3,cm
eucalyptus_saxatilis,Eucalyptus saxatilis,1,3.5,cm,1,2.7,cm
eucalyptus_scias_subsp._apoda,Eucalyptus scias subsp. apoda,6,15,cm,2.3,5,cm
eucalyptus_scias_subsp._scias,Eucalyptus scias subsp. scias,6,10,cm,2,4.5,cm
eucalyptus_scoparia,Eucalyptus scoparia,4,8,cm,0.6,1.8,cm
eucalyptus_scopulorum,Eucalyptus scopulorum,3.5,11,cm,2.5,5,cm
eucalyptus_seeana,Eucalyptus seeana,5,12,cm,0.8,2,cm
eucalyptus_selachiana,Eucalyptus eudesmioides subsp. Selachiana (M.I.H.Brooker 8129),NA,NA,NA,NA,NA,NA
eucalyptus_semiglobosa,Eucalyptus semiglobosa,2,10.5,cm,1,6,cm
eucalyptus_semota,Eucalyptus semota,5,10,cm,0.5,1.3,cm
eucalyptus_sepulcralis,Eucalyptus sepulcralis,6,10,cm,1.5,3,cm
eucalyptus_serraensis,Eucalyptus serraensis,5.5,7,cm,4.5,5.8,cm
eucalyptus_sessilis,Eucalyptus sessilis,12,16,cm,5,6,cm
eucalyptus_sheathiana,Eucalyptus sheathiana,7.5,12.5,cm,2.5,4,cm
eucalyptus_shirleyi,Eucalyptus shirleyi,6,13,cm,5,10,cm
eucalyptus_sicilifolia,Eucalyptus sicilifolia,6,13.5,cm,0.7,3.5,cm
eucalyptus_siderophloia,Eucalyptus siderophloia,5,12,cm,1.5,4.8,cm
eucalyptus_sideroxylon,Eucalyptus sideroxylon,3,11,cm,0.5,3.5,cm
eucalyptus_sieberi,Eucalyptus sieberi,6,17,cm,1.6,7.5,cm
eucalyptus_similis,Eucalyptus similis,6,13,cm,3,7,cm
eucalyptus_singularis,Eucalyptus singularis,4,10,cm,2,5,cm
eucalyptus_sinuosa,Eucalyptus sinuosa,NA,NA,NA,NA,NA,NA
eucalyptus_smithii,Eucalyptus smithii,5,11,cm,0.6,2.5,cm
eucalyptus_socialis_subsp._socialis,Eucalyptus socialis subsp. socialis,4,8,cm,1.8,4.2,cm
eucalyptus_socialis_subsp._victoriensis,Eucalyptus socialis subsp. victoriensis,4,7.5,cm,2.5,3.5,cm
eucalyptus_socialis_subsp._viridans,Eucalyptus socialis subsp. viridans,4.5,7,cm,2,3,cm
eucalyptus_sp._cockburn,Eucalyptus largiflorens,7,16,cm,0.5,1.5,cm
eucalyptus_sp._dorsiventralis,Eucalyptus paniculata,NA,NA,NA,NA,NA,NA
eucalyptus_sp._kalbarri,Eucalyptus sp. Kalbarri (M.I.H.Brooker 7937),3.5,6,cm,2,3,cm
eucalyptus_sp._southern_wheatbelt,Eucalyptus sp. Southern wheatbelt (D.Nicolle & M.French DN 5507),5,8.5,cm,1,2,cm
eucalyptus_sp._undulans,Eucalyptus sp. Mulga Rock (K.D.Hill & L.A.S.Johnson KH 2668),NA,NA,NA,NA,NA,NA
eucalyptus_sparsa,Eucalyptus sparsa,NA,NA,NA,NA,NA,NA
eucalyptus_sparsifolia,Eucalyptus sparsifolia,2,5,cm,0.2,0.4,cm
eucalyptus_spathulata_subsp._salina,Eucalyptus spathulata subsp. salina,3.5,5,cm,0.3,0.5,cm
eucalyptus_spathulata_subsp._spathulata,Eucalyptus spathulata subsp. spathulata,3.5,5,cm,0.3,0.5,cm
eucalyptus_sphaerocarpa,Eucalyptus sphaerocarpa,9,19,cm,2.5,6,cm
eucalyptus_splendens_subsp._arcana,Eucalyptus arcana,4.5,12,cm,1.3,5.5,cm
eucalyptus_splendens_subsp._splendens,NA,4.5,9,cm,1,2.5,cm
eucalyptus_sporadica,Eucalyptus sporadica,3.5,7.5,cm,1.5,3,cm
eucalyptus_spreta,Eucalyptus spreta,6,9,cm,1.3,2,cm
eucalyptus_squamosa,Eucalyptus squamosa,4.5,10,cm,2,6,cm
eucalyptus_staeri,Eucalyptus staeri,8,14,cm,3,6,cm
eucalyptus_staigeriana,Eucalyptus staigeriana,3.8,8,cm,2,4.5,cm
eucalyptus_steedmanii,Eucalyptus steedmanii,NA,NA,NA,NA,NA,NA
eucalyptus_stellulata,Eucalyptus stellulata,3.8,10,cm,3,5,cm
eucalyptus_stenostoma,Eucalyptus stenostoma,NA,18,cm,NA,6,cm
eucalyptus_stoatei,Eucalyptus stoatei,5,8.5,cm,4,6.5,cm
eucalyptus_stowardii,Eucalyptus stowardii,8,11,cm,2,8,cm
eucalyptus_striaticalyx,Eucalyptus striaticalyx,NA,NA,NA,NA,NA,NA
eucalyptus_stricklandii,Eucalyptus stricklandii,10,15,cm,6,8,cm
eucalyptus_stricta,Eucalyptus stricta,7,14,cm,1.5,3.5,cm
eucalyptus_strzeleckii,Eucalyptus strzeleckii,4,8,cm,1.5,4.7,cm
eucalyptus_sturgissiana,Eucalyptus sturgissiana,5,7.5,cm,3,7.5,cm
eucalyptus_subangusta_subsp._cerina,Eucalyptus subangusta subsp. cerina,6,10,cm,1,2,cm
eucalyptus_subangusta_subsp._pusilla,Eucalyptus subangusta subsp. pusilla,NA,NA,NA,NA,NA,NA
eucalyptus_subangusta_subsp._subangusta,Eucalyptus subangusta subsp. subangusta,NA,NA,NA,NA,NA,NA
eucalyptus_subangusta_subsp._virescens,Eucalyptus subangusta subsp. virescens,5.7,8,cm,1,1.5,cm
eucalyptus_subcrenulata,Eucalyptus subcrenulata,3,8.5,cm,3,5,cm
eucalyptus_suberea,Eucalyptus suberea,4,8,cm,1,2,cm
eucalyptus_subtilis,Eucalyptus subtilis,4.5,8.5,cm,0.3,1,cm
eucalyptus_suffulgens,Eucalyptus suffulgens,7,13,cm,0.6,4,cm
eucalyptus_suggrandis_subsp._promiscua,Eucalyptus suggrandis subsp. promiscua,NA,NA,NA,NA,NA,NA
eucalyptus_suggrandis_subsp._suggrandis,Eucalyptus suggrandis subsp. suggrandis,4,7,cm,0.5,1,cm
eucalyptus_surgens,Eucalyptus surgens,NA,NA,NA,NA,NA,NA
eucalyptus_sweedmaniana,Eucalyptus sweedmaniana,NA,NA,NA,NA,NA,NA
eucalyptus_synandra,Eucalyptus synandra,5.5,9,cm,0.5,1.5,cm
eucalyptus_talyuberlup,Eucalyptus talyuberlup,5,8,cm,3.5,6,cm
eucalyptus_taurina,Eucalyptus taurina,8,14,cm,1.4,3,cm
eucalyptus_tectifica,Eucalyptus tectifica,9,18,cm,6.5,9,cm
eucalyptus_tenella,Eucalyptus tenella,2.5,7,cm,0.3,1.5,cm
eucalyptus_tenera,Eucalyptus tenera,3,9,cm,0.7,2.5,cm
eucalyptus_tenuipes,Eucalyptus tenuipes,7,15.5,cm,0.4,1.2,cm
eucalyptus_tenuiramis,Eucalyptus tenuiramis,1.7,6,cm,1,3.8,cm
eucalyptus_tenuis,Eucalyptus tenuis,5.5,8,cm,1.3,3.5,cm
eucalyptus_tephroclada,Eucalyptus tephroclada,3,9,cm,1.5,3.5,cm
eucalyptus_tephrodes,Eucalyptus tephrodes,7,9.5,cm,4.5,7,cm
eucalyptus_terebra,Eucalyptus terebra,NA,NA,NA,NA,NA,NA
eucalyptus_tereticornis_subsp._basaltica,Eucalyptus tereticornis subsp. basaltica,5,11,cm,3.5,7.5,cm
eucalyptus_tereticornis_subsp._mediana,Eucalyptus tereticornis subsp. mediana,5,11.5,cm,3,8,cm
eucalyptus_tereticornis_subsp._rotunda,Eucalyptus tereticornis subsp. rotunda,5,18,cm,4.2,10.8,cm
eucalyptus_tereticornis_subsp._tereticornis,Eucalyptus tereticornis subsp. tereticornis,6,13,cm,3,8,cm
eucalyptus_terrica,Eucalyptus terrica,6,14,cm,1,2.5,cm
eucalyptus_tetrapleura,Eucalyptus tetrapleura,7,14.5,cm,2,6,cm
eucalyptus_tetraptera,Eucalyptus tetraptera,5,12,cm,2.5,7,cm
eucalyptus_tetrodonta,Eucalyptus tetrodonta,15,35,cm,3.5,12,cm
eucalyptus_thamnoides_subsp._megista,Eucalyptus thamnoides subsp. megista,6,10,cm,2,6,cm
eucalyptus_thamnoides_subsp._thamnoides,Eucalyptus thamnoides subsp. thamnoides,NA,NA,NA,NA,NA,NA
eucalyptus_tholiformis,Eucalyptus tholiformis,4,7,cm,2.2,4,cm
eucalyptus_thozetiana,Eucalyptus thozetiana,3.5,16,cm,0.3,0.5,cm
eucalyptus_tindaliae,Eucalyptus tindaliae,3,9.5,cm,1.4,4.5,cm
eucalyptus_tintinnans,Eucalyptus tintinnans,NA,NA,NA,NA,NA,NA
eucalyptus_todtiana,Eucalyptus todtiana,5.5,13,cm,1,1.6,cm
eucalyptus_torquata,Eucalyptus torquata,4.5,12,cm,1.2,2.5,cm
eucalyptus_tortilis,Eucalyptus tortilis,NA,NA,NA,NA,NA,NA
eucalyptus_transcontinentalis,Eucalyptus transcontinentalis,3.5,5.5,cm,1.3,2.5,cm
eucalyptus_tricarpa,Eucalyptus tricarpa,4,11,cm,1.3,3,cm
eucalyptus_triflora,Eucalyptus triflora,4,11,cm,1.5,4,cm
eucalyptus_trivalva,Eucalyptus trivalva,5,8,cm,3,5.5,cm
eucalyptus_tumida,Eucalyptus tumida,6,7.5,cm,3.3,4.5,cm
eucalyptus_ultima,Eucalyptus ultima,NA,NA,NA,NA,NA,NA
eucalyptus_umbra,Eucalyptus umbra,8,20,cm,3.5,10,cm
eucalyptus_umbrawarrensis,Eucalyptus umbrawarrensis,4,10,cm,3,6.5,cm
eucalyptus_uncinata,Eucalyptus uncinata,1.7,5.5,cm,1.7,5.5,cm
eucalyptus_urna,Eucalyptus urna,NA,NA,NA,NA,NA,NA
eucalyptus_urnigera,Eucalyptus urnigera,1.2,2.8,cm,1.3,2.8,cm
eucalyptus_utilis,Eucalyptus utilis,2,8,cm,1.5,3.5,cm
eucalyptus_valens,Eucalyptus valens,NA,NA,NA,NA,NA,NA
eucalyptus_varia_subsp._salsuginosa,Eucalyptus varia subsp. salsuginosa,4,6.5,cm,0.7,1.5,cm
eucalyptus_varia_subsp._varia,Eucalyptus varia subsp. varia,NA,NA,NA,NA,NA,NA
eucalyptus_vegrandis_subsp._recondita,Eucalyptus vegrandis subsp. recondita,NA,NA,NA,NA,NA,NA
eucalyptus_vegrandis_subsp._vegrandis,Eucalyptus vegrandis subsp. vegrandis,NA,NA,NA,NA,NA,NA
eucalyptus_vernicosa,Eucalyptus vernicosa,0.7,2,cm,0.3,1.5,cm
eucalyptus_verrucata,Eucalyptus verrucata,6,10.8,cm,4,8.3,cm
eucalyptus_vesiculosa,Eucalyptus vesiculosa,NA,NA,NA,NA,NA,NA
eucalyptus_vicina,Eucalyptus vicina,5,9,cm,2.5,4.8,cm
eucalyptus_victoriana,Eucalyptus victoriana,NA,NA,NA,NA,NA,NA
eucalyptus_victrix,Eucalyptus victrix,8,12.5,cm,3,4.5,cm
eucalyptus_viminalis_subsp._cygnetensis,Eucalyptus viminalis subsp. cygnetensis,4,8.5,cm,0.7,1.8,cm
eucalyptus_viminalis_subsp._hentyensis,Eucalyptus viminalis subsp. hentyensis,2.8,6,cm,1.7,2.8,cm
eucalyptus_viminalis_subsp._pryoriana,Eucalyptus viminalis subsp. pryoriana,3,8.5,cm,0.8,2,cm
eucalyptus_viminalis_subsp._viminalis,Eucalyptus viminalis subsp. viminalis,2.5,9,cm,0.5,2,cm
eucalyptus_virens,Eucalyptus virens,4,7,cm,1,1.6,cm
eucalyptus_virginea,Eucalyptus virginea,NA,NA,NA,NA,NA,NA
eucalyptus_viridis,Eucalyptus viridis,4.5,9.5,cm,0.2,1.1,cm
eucalyptus_vittata,Eucalyptus vittata,NA,NA,NA,NA,NA,NA
eucalyptus_vokesensis,Eucalyptus vokesensis,NA,NA,NA,NA,NA,NA
eucalyptus_volcanica,Eucalyptus volcanica,5,9,cm,2,7,cm
eucalyptus_wandoo_subsp._pulverea,Eucalyptus wandoo subsp. pulverea,4.5,13,cm,2.5,10,cm
eucalyptus_wandoo_subsp._wandoo,Eucalyptus wandoo subsp. wandoo,4.5,15,cm,2.5,7.5,cm
eucalyptus_websteriana,Eucalyptus websteriana,NA,NA,NA,NA,NA,NA
eucalyptus_whitei,Eucalyptus whitei,6,12,cm,2,4.2,cm
eucalyptus_wilcoxii,Eucalyptus wilcoxii,2.5,6,cm,0.5,1.8,cm
eucalyptus_williamsiana,Eucalyptus williamsiana,6,12.5,cm,3,7.5,cm
eucalyptus_willisii_subsp._falciformis,Eucalyptus falciformis,8,12.5,cm,1.5,3.5,cm
eucalyptus_willisii_subsp._willisii,Eucalyptus willisii,6.4,8.5,cm,1.8,2.9,cm
eucalyptus_woodwardii,Eucalyptus woodwardii,NA,NA,NA,NA,NA,NA
eucalyptus_woollsiana,Eucalyptus woollsiana,NA,NA,NA,NA,NA,NA
eucalyptus_wubinensis,Eucalyptus wubinensis,NA,NA,NA,NA,NA,NA
eucalyptus_wyolensis,Eucalyptus wyolensis,5,10,cm,4,7,cm
eucalyptus_x_balanites,Eucalyptus x balanites,NA,6.5,cm,NA,3.5,cm
eucalyptus_x_balanopelex,Eucalyptus x balanopelex,6,11,cm,3.5,5,cm
eucalyptus_x_missilis,Eucalyptus x missilis,NA,NA,NA,NA,NA,NA
eucalyptus_x_phylacis,Eucalyptus x phylacis,NA,5,cm,NA,4,cm
eucalyptus_xanthonema_subsp._apposita,Eucalyptus xanthonema subsp. apposita,NA,NA,NA,NA,NA,NA
eucalyptus_xanthonema_subsp._xanthonema,Eucalyptus xanthonema subsp. xanthonema,NA,NA,NA,NA,NA,NA
eucalyptus_xerothermica,Eucalyptus xerothermica,6.5,13,cm,3,6.5,cm
eucalyptus_yalatensis,Eucalyptus yalatensis,4.3,8,cm,1.4,4,cm
eucalyptus_yarraensis,Eucalyptus yarraensis,2.5,6.3,cm,2,4.3,cm
eucalyptus_yilgarnensis,Eucalyptus yilgarnensis,4,7,cm,1,2.3,cm
eucalyptus_youmanii,Eucalyptus youmanii,5,11,cm,1.5,4,cm
eucalyptus_youngiana,Eucalyptus youngiana,7,16,cm,2.5,4.5,cm
eucalyptus_yumbarrana,Eucalyptus yumbarrana,3.8,12,cm,2.5,5.5,cm
eucalyptus_zopherophloia,Eucalyptus zopherophloia,NA,NA,NA,NA,NA,NA
angophora_bakeri_subsp._bakeri,Angophora bakeri subsp. bakeri,5,10,cm,0.4,1,cm
angophora_bakeri_subsp._crassifolia,Angophora bakeri subsp. crassifolia,5,8,cm,1,2,cm
angophora_costata_subsp._costata,Angophora costata subsp. costata,6,12.5,cm,2,6.5,cm
angophora_costata_subsp._euryphylla,Angophora costata subsp. euryphylla,6,13,cm,4,5.5,cm
angophora_costata_subsp._leiocarpa,Angophora leiocarpa,4.5,14,cm,0.7,2.8,cm
angophora_floribunda,Angophora floribunda,4.5,12,cm,2,5,cm
angophora_hispida,Angophora hispida,10,14,cm,4,6,cm
angophora_inopina,Angophora inopina,4,7,cm,1.5,3,cm
angophora_melanoxylon,Angophora melanoxylon,4.5,10,cm,1.2,2.5,cm
angophora_robur,Angophora robur,8,15,cm,2,5,cm
angophora_subvelutina,Angophora subvelutina,5,11,cm,2.5,5,cm
angophora_woodsiana,Angophora woodsiana,5.5,10,cm,2,3,cm
corymbia_abbreviata,Corymbia abbreviata,15,23,cm,8,15,cm
corymbia_abergiana,Corymbia abergiana,8,13.5,cm,2,5,cm
corymbia_aparrerinja,Corymbia aparrerinja,5,15.5,cm,2,6.5,cm
corymbia_arafurica,Corymbia arafurica,NA,NA,NA,NA,NA,NA
corymbia_arenaria,Corymbia arenaria,NA,NA,NA,NA,NA,NA
corymbia_arnhemensis,Corymbia arnhemensis,3.5,11.5,cm,2,4,cm
corymbia_aspera,Corymbia aspera,2,6.5,cm,1,4.3,cm
corymbia_aureola,Corymbia aureola,11,28,cm,4,10,cm
corymbia_bella,Corymbia bella,6.5,11,cm,1.7,3,cm
corymbia_blakei,Corymbia blakei,NA,NA,NA,NA,NA,NA
corymbia_bleeseri,Corymbia bleeseri,4,14,cm,2.5,6.5,cm
corymbia_bloxsomei,Corymbia bloxsomei,7,14,cm,3.8,6,cm
corymbia_brachycarpa,Corymbia brachycarpa,7,11.5,cm,0.4,1.1,cm
corymbia_bunites,Corymbia bunites,8,15,cm,2,3.5,cm
corymbia_cadophora_subsp._cadophora,Corymbia cadophora subsp. cadophora,9.5,25.5,cm,3,8.6,cm
corymbia_cadophora_subsp._pliantha,Corymbia cadophora subsp. pliantha,7,17.5,cm,2.8,7.8,cm
corymbia_cadophora_subsp._polychroma,Corymbia cadophora subsp. polychroma,9,20.5,cm,4.9,10.2,cm
corymbia_calophylla,Corymbia calophylla,4.5,24,cm,3.5,9,cm
corymbia_candida,Corymbia candida,2,4.5,cm,0.8,2.1,cm
corymbia_chartacea,Corymbia chartacea,NA,12,cm,NA,7,cm
corymbia_chippendalei,Corymbia chippendalei,5,11,cm,1,2,cm
corymbia_citriodora,Corymbia citriodora,8,21,cm,3.2,8,cm
corymbia_clandestina,Corymbia clandestina,5.5,10.5,cm,0.8,1.6,cm
corymbia_clarksoniana,Corymbia clarksoniana,6,14.5,cm,1.2,5,cm
corymbia_clavigera,Corymbia clavigera,NA,NA,NA,NA,NA,NA
corymbia_cliftoniana,Corymbia cliftoniana,4,11.3,cm,2.5,6,cm
corymbia_collina,Corymbia collina,5.5,13,cm,4,7,cm
corymbia_confertiflora,Corymbia confertiflora,9.8,23,cm,4.2,17,cm
corymbia_dallachiana,Corymbia dallachiana,10,26,cm,3.5,15,cm
corymbia_dendromerinx,Corymbia dendromerinx,NA,NA,NA,NA,NA,NA
corymbia_deserticola_subsp._deserticola,Corymbia deserticola subsp. deserticola,3.5,7,cm,1.8,4,cm
corymbia_deserticola_subsp._mesogeotica,Corymbia deserticola subsp. mesogeotica,3.5,7,cm,1.8,4,cm
corymbia_dichromophloia,Corymbia dichromophloia,9.5,22,cm,5.5,10,cm
corymbia_disjuncta,Corymbia disjuncta,15,35,cm,10,23,cm
corymbia_dunlopiana,Corymbia dunlopiana,4,12.5,cm,3,8,cm
corymbia_ellipsoidea,Corymbia ellipsoidea,NA,NA,NA,NA,NA,NA
corymbia_eremaea,Corymbia eremaea,NA,NA,NA,NA,NA,NA
corymbia_erythrophloia,Corymbia erythrophloia,5.5,12.5,cm,2,5.5,cm
corymbia_eximia,Corymbia eximia,4,21,cm,2.5,8,cm
corymbia_ferriticola,Corymbia ferriticola,3.5,8,cm,1.3,3.7,cm
corymbia_ferruginea_subsp._ferruginea,Corymbia ferruginea subsp. ferruginea,6,14,cm,2.5,7,cm
corymbia_ferruginea_subsp._stypophylla,Corymbia ferruginea subsp. stypophylla,6,14,cm,2.5,7,cm
corymbia_ficifolia,Corymbia ficifolia,NA,NA,NA,NA,NA,NA
corymbia_flavescens,Corymbia flavescens,7,15.5,cm,4.5,11,cm
corymbia_foelscheana,Corymbia foelscheana,17,25,cm,15,18.5,cm
corymbia_gilbertensis,Corymbia gilbertensis,NA,NA,NA,NA,NA,NA
corymbia_grandifolia_subsp._grandifolia,Corymbia grandifolia subsp. grandifolia,13,17,cm,11,14,cm
corymbia_grandifolia_subsp._lamprocardia,Corymbia grandifolia subsp. lamprocardia,13,31,cm,6.5,20.5,cm
corymbia_grandifolia_subsp._longa,Corymbia grandifolia subsp. longa,8.5,17.5,cm,5,12.5,cm
corymbia_greeniana,Corymbia greeniana,10,26,cm,3.5,18,cm
corymbia_gummifera,Corymbia gummifera,9,16.5,cm,3,5.2,cm
corymbia_haematoxylon,Corymbia haematoxylon,NA,NA,NA,NA,NA,NA
corymbia_hamersleyana,Corymbia hamersleyana,4.5,10.5,cm,1.2,3,cm
corymbia_hendersonii,Corymbia hendersonii,4.2,9.5,cm,0.7,2,cm
corymbia_henryi,Corymbia henryi,8,25,cm,4,10,cm
corymbia_hylandii,Corymbia hylandii,3.5,8,cm,0.4,1.5,cm
corymbia_intermedia,Corymbia intermedia,8,16,cm,2,4.2,cm
corymbia_jacobsiana,Corymbia jacobsiana,4.5,10.5,cm,0.2,0.8,cm
