apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max
Eucalyptus gigantangion,2.2,2.8,1,1.4,3.5,5.8,2.2,5,7,7,yellow_orange,NNNNNNYYNNNN,6,16,1,2
Eucalyptus gillenii,0.7,1.6,0.4,0.7,0.3,0.9,0.6,1.2,7,11,white_cream,NYYYNNNNNNYY,7,18,0.9,2.6
Eucalyptus gillii,0.8,1.4,0.3,0.5,0.4,0.9,0.5,0.8,7,11,white_cream,YNNYNNYYYYYY,3,8,1.2,3.5
Eucalyptus gittinsii,0.5,0.9,0.4,0.6,1,2,0.7,1.2,3,3,white_cream,YYYNNNNNNNNY,5.5,13,1.2,3.2
Eucalyptus glaucescens,0.6,0.9,0.3,0.5,0.7,1.2,0.8,1.2,3,3,white_cream,NYYYYNNNNNNN,6,17,1.2,3.5
Eucalyptus glaucina,0.9,1.4,0.4,0.7,0.3,0.6,0.6,1,7,7,white_cream,NNNNNNNNNNYN,9,17,2,4.2
Eucalyptus globoidea,0.4,0.6,0.2,0.4,0.4,0.7,0.5,0.8,11,15,white_cream,YYYYYYYYYYYY,7,13.5,1.2,4
Eucalyptus globulus,0.8,2.5,0.5,2,0.5,1.5,0.6,2.7,1,7,white_cream,YYYYYYYYYNYY,12,40,1.2,6
Eucalyptus glomericassis,0.7,0.9,0.5,0.6,0.4,0.6,0.6,0.9,7,7,white_cream,YNNNNNNNNNNN,12,25,1,2
Eucalyptus glomerosa,0.5,0.7,0.5,0.6,0.3,0.7,0.7,1.4,7,7,white_cream,NYYNNNNNNNNN,3.8,9.5,0.8,2.3
Eucalyptus gomphocephala,1.5,2.4,0.9,1.2,1,1.9,1.2,1.8,7,7,white_cream,NNYNNNNNNNNN,10,18,1.5,3
Eucalyptus gongylocarpa,0.5,0.6,0.3,0.5,0.6,1.1,0.6,1.2,7,7,white_cream,YYNNNNYNNNNN,3,8,0.8,1.8
Eucalyptus goniantha,1,1.4,0.6,NA,0.6,1,0.8,1.2,7,11,white_cream,YYYNNYNNNNYN,7,13.5,1.5,4.5
Eucalyptus goniocalyx,0.6,1.3,0.3,0.7,0.5,1.2,0.6,1.1,7,7,white_cream,NNYYYYYYNNNN,5.5,25,0.8,4
Eucalyptus goniocarpa,2,2.5,0.6,0.8,1.2,1.4,0.9,1.2,3,3,white_cream,NNNNNNNNNNNN,4.5,9.5,0.5,1.2
Eucalyptus gracilis,0.3,0.7,0.3,0.5,0.4,0.8,0.3,0.7,7,11,white_cream,YYNYYYYYYYYY,4.5,11,0.4,1.7
Eucalyptus grandis,0.6,0.9,0.4,0.5,0.4,1,0.5,0.8,7,11,white_cream,NYYYYYYYNNNN,8,18,1.5,4
Eucalyptus granitica,0.4,0.6,0.3,NA,0.4,0.6,0.3,0.6,7,7,white_cream,NYNYNNYYYNNY,7,15,1.3,3.2
Eucalyptus gregoryensis,0.6,0.8,0.3,0.4,0.4,0.5,0.5,0.6,3,3,white_cream,NNNNNNNNNNNN,8,17,1.2,3
Eucalyptus gregsoniana,0.4,0.5,0.3,0.4,0.6,0.8,0.6,0.9,7,11,white_cream,NNNNNNNNNNYY,5.5,12,0.8,2.5
Eucalyptus griffithsii,0.8,1.5,0.7,1.5,0.8,1.6,1,1.5,3,3,white_cream,NNNNNNNYYNYN,8,13.5,0.8,2.7
Eucalyptus grisea,0.7,1,0.4,0.5,0.4,0.9,0.8,1.2,7,7,white_cream,NNNNNNNNNNNN,8,18,3,6
Eucalyptus grossa,1.8,3.2,0.7,1.3,1.4,2,1,1.5,7,7,yellow_orange,NNNNNYNYYNNN,7.5,12.5,2.5,5.5
Eucalyptus guilfoylei,0.7,0.8,0.4,0.6,0.7,1,0.8,1,7,7,white_cream,YNNNNNNNNNNY,8,15,1.5,4
Eucalyptus gunnii,0.5,0.9,0.3,0.5,0.5,0.9,0.5,0.7,3,3,white_cream,YYNYNNNNYNNY,4,9,1.2,3.5
Eucalyptus gypsophila,0.8,1.4,0.5,0.9,0.7,1.2,0.7,1.1,9,19,white_cream,YYYYYNYYYYYY,7.5,12,1.5,2.5
Eucalyptus haemastoma,0.4,0.6,0.3,0.4,0.5,0.9,0.7,1.1,9,15,white_cream,YYYNNNYYYNYY,9,21,1.5,3.5
Eucalyptus hallii,0.6,0.9,0.4,0.5,0.4,0.6,0.6,0.8,7,7,white_cream,NNNNNNNNNNNN,12,17,2,3.5
Eucalyptus halophila,0.4,0.5,0.3,0.5,0.5,0.9,0.5,0.8,7,7,white_cream,NYYNNNNNNNNN,5,8,0.5,1.2
Eucalyptus hebetifolia,1,1.6,0.25,0.4,0.6,0.8,0.4,0.6,11,15,white_cream,YNYNNNNNYNNN,5.2,9,0.9,2.2
Eucalyptus helidonica,0.4,0.5,0.2,NA,0.4,0.6,0.4,0.7,11,15,white_cream,NNNNNNNNNNNN,6,15.5,0.9,2.5
Eucalyptus herbertiana,0.4,0.8,0.25,0.4,0.25,0.5,0.4,0.6,7,7,white_cream,YNNNNYYYYYYY,8,22,1,2.2
Eucalyptus histophylla,2,3,0.35,0.4,0.8,1.1,0.5,0.7,11,11,yellow_orange,NNNNNNNNNNNY,6.5,12.5,0.6,1.6
Eucalyptus horistes,0.5,1,0.2,0.4,0.3,0.7,0.4,0.6,7,13,white_cream,YNNNNNYNNNYY,4.5,9.5,0.4,1.5
Eucalyptus houseana,0.4,0.6,0.3,0.5,0.2,0.5,0.3,0.5,7,7,white_cream,NNNNNNNYNNNN,9,19,2,3.6
Eucalyptus howittiana,0.5,0.6,0.15,0.2,0.2,0.3,0.2,0.3,7,11,white_cream,YNNNYNNNNNNN,7,13,1.6,4.2
Eucalyptus hypolaena,1.3,2.5,0.6,0.8,0.7,1,0.8,1.2,7,7,yellow_orange,NNNNYYYYYNNN,8,16,1.3,3
Eucalyptus hypostomatica,0.3,0.4,0.2,0.3,0.3,0.6,0.3,0.5,7,7,white_cream,NNNNNNNNNYYN,8,18,1,3
Eucalyptus ignorabilis,0.4,0.5,0.2,0.3,0.3,0.5,0.4,0.7,7,7,white_cream,YYYYNNNNNNNN,7,20,1,3
Eucalyptus imitans,0.6,0.7,0.3,0.4,0.4,0.6,0.7,1.2,9,15,white_cream,NNNNYYNNNYYY,5,13,1.5,3.5
Eucalyptus imlayensis,0.5,0.6,0.3,0.4,0.4,0.5,0.6,0.7,3,3,white_cream,NNNNNNNNNNNN,7.5,15,1.5,3
Eucalyptus incerata,2.2,3.5,0.6,0.9,1,1.5,0.9,1.8,7,7,yellow_orange,NNNNNNNNNYNN,5,10.5,1,3.2
Eucalyptus incrassata,1.1,2.3,0.5,1.1,0.9,2,0.7,1.5,7,7,pink white_cream,YYYYYYYYYYYY,5,15,1,3
Eucalyptus indurata,1,1.8,0.5,0.7,0.5,1,0.8,1.1,7,7,white_cream,NNNNNYYYNNYN,6.3,10.5,1,2.2
Eucalyptus infera,1,1.3,0.3,0.4,0.3,NA,0.4,0.8,9,18,white_cream,NNNNNNNNNNNN,6,11,1.7,4
Eucalyptus insularis,0.4,0.6,0.2,0.3,0.5,0.8,0.4,0.7,9,20,white_cream,NNNNNNNYNNNN,1.8,6.8,0.4,0.9
Eucalyptus interstans,1.1,1.4,0.3,0.5,0.3,0.6,0.6,0.8,7,11,white_cream,YNNNNYNNNNYY,8,18,1,3.2
Eucalyptus intertexta,0.4,0.8,0.2,0.4,0.3,0.9,0.4,0.8,7,7,white_cream,YYYYYYYYYNNN,5,16,0.8,2.5
Eucalyptus jacksonii,0.7,0.8,0.4,0.5,0.8,1.1,0.7,1,7,7,white_cream,NYNNNNNNNNNN,6,9.5,1.2,2.5
Eucalyptus jensenii,0.3,0.4,0.2,0.3,0.3,0.5,0.3,0.5,7,7,white_cream,NNYYYNNNNNNN,4.3,11.5,0.7,3
Eucalyptus jimberlanica,0.7,1,0.6,0.8,0.7,0.9,0.6,0.8,7,7,NA,NA,4.5,9,0.5,1.8
Eucalyptus johnsoniana,0.5,0.6,0.3,0.4,0.8,1.3,0.9,1.6,7,7,white_cream,YNNNNNNNNYNY,5.5,10.5,0.8,2
Eucalyptus johnstonii,0.8,1.1,0.6,0.9,0.7,1,0.9,1.3,3,3,white_cream,NYNYYNNNNYNN,6.5,15,2,4
Eucalyptus jucunda,1.1,1.3,0.5,0.6,0.8,1.7,0.8,1.5,7,9,white_cream,YNNNNNNNNNNN,6,12,1,2
Eucalyptus jutsonii,0.6,1,0.3,0.4,0.3,0.5,0.5,0.7,7,7,white_cream,NYYNNNNNNNYY,7,15,0.1,0.6
Eucalyptus kabiana,0.9,1.2,0.3,0.5,0.3,NA,0.5,0.7,7,11,white_cream,NNNNNNNNNYNN,6,15,1,2.3
Eucalyptus kartzoffiana,0.5,0.6,0.4,0.5,0.4,0.6,0.4,0.9,3,3,white_cream,NYNNNNNNNNNN,8,26.5,1.2,3.6
Eucalyptus kenneallyi,0.6,0.7,0.25,0.3,0.4,0.5,0.3,0.35,7,7,white_cream,NNNNNNNNNNNN,6,11,0.7,2
Eucalyptus kessellii,1.1,2.2,0.8,1.3,0.7,1.7,0.9,2.1,3,7,white_cream,NYNNNYNYYYYN,7,14.5,1.5,4
Eucalyptus kingsmillii,2.2,4,1.5,2.5,0.8,2,1.5,4,3,3,pink white_cream,NNYYYYYYYYNN,5.5,13,1,3.6
Eucalyptus kitsoniana,0.6,0.9,0.5,0.6,0.4,0.9,0.7,1.1,7,7,white_cream,YYYNNNNYYYYY,4.5,20,1.5,5.5
Eucalyptus kochii,0.1,1,0.3,0.7,0.4,0.9,0.4,0.7,9,15,white_cream,YYNYNNNNNNNN,5.5,14,0.5,1.7
Eucalyptus kondininensis,0.7,1.1,0.4,0.5,0.4,0.6,0.4,0.7,7,7,white_cream,NYNYNNNNNNNN,6,11,0.6,1.5
Eucalyptus koolpinensis,0.7,0.9,0.4,0.5,0.5,0.8,0.5,0.7,7,7,white_cream,NNNNYNNNNNNN,4,10,3.5,8.5
Eucalyptus kruseana,0.7,1,0.3,0.5,0.5,0.9,0.5,0.7,7,7,green,NYYNYNYNNNNN,1,2.5,1,2.5
Eucalyptus kumarlensis,0.6,0.8,0.3,0.4,0.3,0.5,0.4,0.5,7,9,white_cream,NYNNNNNNNNNN,6,11,0.4,1
Eucalyptus kybeanensis,0.4,0.5,0.4,NA,0.4,0.6,0.5,0.9,7,11,white_cream,NNNNNNNNYYYY,5,11,0.5,1.5
Eucalyptus lacrimans,0.6,0.8,0.4,0.5,0.7,1.1,0.8,1.1,9,15,white_cream,YYNNNNNNNNNY,7,18,0.7,3
Eucalyptus laeliae,0.6,0.7,0.3,0.5,0.5,0.7,0.4,0.6,7,11,white_cream,YNNNNNNNNNNN,8.5,13.5,1,2.5
Eucalyptus laevis,0.6,0.9,0.3,0.4,0.5,0.8,0.4,0.6,11,11,white_cream,NNNNNNNNNNNN,6.5,10.5,0.5,1
Eucalyptus laevopinea,0.5,0.7,0.4,NA,0.4,0.9,0.7,1.5,7,11,white_cream,YNYYNYYYYNNN,7,20,1.4,4
Eucalyptus lane-poolei,0.6,1.1,0.5,1,0.7,1.4,1.1,1.6,7,7,white_cream,NNNYNNNNNNNN,6.5,10,1,1.7
Eucalyptus langleyi,0.7,0.9,0.4,0.5,0.7,1,0.8,1.2,7,7,white_cream,NNNNYNNNYNYN,8,16.5,1.8,5
Eucalyptus lansdowneana,0.7,0.9,0.4,0.7,0.9,1.2,0.7,1.1,7,7,red_brown,NNYNNNNYYYNN,8.5,15.5,1.5,2.7
Eucalyptus largeana,0.5,NA,0.3,NA,0.3,0.4,0.2,0.4,7,7,white_cream,NNNNYYYNNNNN,11,19,0.8,2
Eucalyptus largiflorens,0.2,0.5,0.2,0.3,0.3,0.5,0.2,0.5,7,11,white_cream,YYYYYYYYYYYY,6,18,0.8,2
Eucalyptus latens,0.5,0.7,0.2,0.3,0.4,0.5,0.3,0.4,9,11,white_cream,YYNNNNNNNNNN,4,9.5,0.5,0.8
Eucalyptus latisinensis,0.4,0.6,0.3,0.4,0.3,0.7,0.5,0.9,7,15,white_cream,NNNNNNNYNNNN,6,16,1,4
Eucalyptus lehmannii,NA,NA,NA,NA,NA,NA,NA,NA,7,21,green,YYNYYNNNYYYN,3.5,8,0.7,2.7
Eucalyptus leprophloia,0.7,0.9,0.5,NA,0.5,0.6,0.6,0.7,7,11,white_cream,NNNNNNNNNNNN,7,10.5,1.5,3
Eucalyptus leptocalyx,0.8,1.3,0.4,0.6,0.7,1.2,0.6,0.8,7,15,white_cream,YNYNNNNNYYYY,7.5,12,1,2.8
Eucalyptus leptophleba,0.7,1.1,0.4,0.6,0.6,1,0.7,1.1,7,7,white_cream,YYYYNYNNNNNN,10,25,1.2,3
Eucalyptus leptophylla,0.4,0.7,0.25,0.35,0.3,0.6,0.3,0.6,7,13,white_cream,YYYNNNNNNNYY,3,9,0.3,1.3
Eucalyptus leptopoda,0.7,1.3,0.4,0.7,0.3,0.6,0.5,1.3,7,11,white_cream,YYYNNNYNYNYY,6.5,12.5,0.3,1.5
Eucalyptus lesouefii,1.1,2.2,0.6,1.2,0.6,1,0.8,1.4,7,9,white_cream,NNNNNNNNNNYN,8.8,18.7,1,2.7
Eucalyptus leucophloia,0.3,0.7,0.3,0.5,0.2,0.5,0.4,0.6,7,7,white_cream,NNYYYYYYYNNN,4,9,0.9,3.5
Eucalyptus leucophylla,0.6,0.7,0.3,0.4,0.4,0.7,0.5,0.6,7,7,white_cream,NNYNNNNYNNNN,8,14,1.2,2.6
Eucalyptus leucoxylon,0.5,1.8,0.4,0.9,0.5,1.5,0.6,1.6,3,3,pink white_cream,YYYYYYYYYYYY,4.8,20,0.8,5.2
Eucalyptus ligulata,1,1.4,0.4,0.5,0.7,1.3,0.8,1.4,9,13,white_cream,NNYYNYNNNYNN,3.5,8.5,0.7,2
Eucalyptus ligustrina,0.3,0.5,0.2,0.3,0.3,0.6,0.5,1,9,11,white_cream,NNNYYYNNYYNN,3,10,0.5,2
Eucalyptus limitaris,0.7,0.8,0.4,NA,0.5,1.1,0.5,0.9,3,7,NA,NNNNNNNNNNNY,7,25,1,3.5
Eucalyptus lirata,0.7,1.1,0.4,0.5,0.7,1.1,0.5,1,3,3,white_cream,YNNNNNNNYNYN,6.5,14,0.7,2.6
Eucalyptus litoralis,1,1.4,0.4,0.6,0.7,1.1,0.7,1.1,7,7,white_cream,NNYNNNNNNNNN,12,21,2,3.3
Eucalyptus litorea,1.1,NA,0.4,0.5,0.8,1,0.6,0.8,7,7,white_cream,NNNNNNNNNNNN,5.5,12,0.8,2.5
Eucalyptus livida,0.9,1.5,0.3,0.4,0.5,0.7,0.4,0.5,11,15,white_cream,NNNNNNNNNNNN,7,11.5,1,2.5
Eucalyptus lockyeri,0.8,1.3,0.4,0.7,0.3,0.7,0.6,1,7,7,white_cream,NNYNYNNNNNNY,8,19,0.8,3.5
Eucalyptus longicornis,0.9,1.5,0.3,0.6,0.4,0.6,0.4,0.7,7,7,white_cream,YYYNNNNNNNYY,6,13,0.6,1.3
Eucalyptus longifolia,1.6,2.7,0.75,1.3,0.8,1.5,0.9,1.6,3,3,white_cream,NNYYYYNNNYYN,9,25,0.8,3.5
Eucalyptus longirostrata,0.7,1.5,0.4,0.8,0.3,0.8,0.6,1,7,7,white_cream,NYYNNNNNNNNN,8,18,1.3,3.5
Eucalyptus longissima,0.7,1.2,0.2,0.6,0.4,0.6,0.4,0.6,7,15,white_cream,YYNYNYNYYNYN,5.5,11,0.7,1.6
Eucalyptus loxophleba,0.5,1,0.3,0.6,0.4,1,0.4,0.9,7,11,white_cream,YYNNYYYYYYYY,7,16,1,3.3
Eucalyptus lucasii,0.3,0.6,0.2,0.4,0.5,0.8,0.4,0.6,7,11,white_cream,NNNYNNNNNNYN,8,15,1,3
Eucalyptus lucens,0.4,0.5,0.3,0.4,0.4,0.7,0.4,0.6,7,7,white_cream,NYYNNNNNNNNY,5.3,14,0.8,2.1
Eucalyptus luculenta,1.4,1.9,0.6,0.9,0.7,1,0.7,0.8,7,7,white_cream,NNNNNNNNNYYN,6,16,1.5,3.5
Eucalyptus luehmanniana,0.6,1,0.4,0.7,0.8,1.3,0.9,1.2,11,15,white_cream,NNNNNYYYYYYY,10,20,2,4.5
Eucalyptus luteola,1.8,1.9,0.3,0.4,0.6,0.8,0.5,0.7,9,13,white_cream,NNNNNNNNNNNN,6,9.5,0.8,1.5
Eucalyptus macarthurii,0.25,0.5,0.2,0.35,0.2,0.5,0.4,0.6,7,7,white_cream,YNNNYNNNNNNN,9,18,1,2.5
Eucalyptus mackintii,0.7,0.8,0.3,0.5,0.5,0.7,0.9,1.3,7,11,white_cream,NNNNNYNNNNNN,8.5,23,1.7,5.5
Eucalyptus macrandra,1.5,3.6,0.2,0.7,0.6,1,0.7,1,13,31,yellow_orange,NYNNYNYNNNYY,5.5,12.2,1,2.5
Eucalyptus macrocarpa,4,5.5,2.5,4,1.2,2.6,3.3,6.5,1,1,red_brown,NNNNNNNYYYNN,5.5,13.5,3.5,8.5
Eucalyptus macrorhyncha,0.5,1.2,0.4,0.7,0.3,0.8,0.6,1.6,7,11,white_cream,YYYYYYYNNNNN,7,15,1.2,3.8
Eucalyptus magnificata,0.5,NA,0.3,0.5,0.5,0.9,0.5,0.9,7,7,white_cream,NNNNNYNNNNYN,5,15,3,6.5
Eucalyptus major,0.6,0.9,0.4,0.5,0.3,0.5,0.45,0.8,7,7,white_cream,NNNNNNNNNNYN,9,20,2,4
Eucalyptus malacoxylon,0.6,NA,0.5,NA,0.4,0.7,0.7,1,7,7,white_cream,NNNNNNNNNNNN,9,30,2,4
Eucalyptus mannensis,0.5,0.8,0.3,0.5,0.3,0.8,0.5,0.9,7,11,white_cream,YNYYYNNYNNYN,6.3,14,0.5,2.3
Eucalyptus mannifera,0.4,0.6,0.2,0.4,0.3,0.6,0.4,0.7,7,7,white_cream,YYYYYYYNYYYY,5.5,18.5,1,3
Eucalyptus marginata,0.9,1.7,0.3,0.5,0.8,1.6,1,1.6,7,15,white_cream,YYNNNYYYYYYY,5.5,12.5,1,3
Eucalyptus mckieana,0.5,0.6,0.3,NA,0.4,0.6,0.5,0.7,11,11,white_cream,NNYYYNYNNNNN,6,11.5,1,2.2
Eucalyptus mcquoidii,NA,NA,NA,NA,NA,NA,NA,NA,21,50,yellow_orange,NNNYNNNNNNYN,4.5,8,0.5,1
Eucalyptus mediocris,0.7,0.8,0.3,0.4,0.5,0.8,0.5,1,9,11,white_cream,NNNNNNYNNYNN,6,17,1,2.5
Eucalyptus megacarpa,1.5,2.2,1.2,1.7,1.2,1.9,1.8,3,3,3,white_cream,NNNYNYNYNNNN,7,14,1.5,3.3
Eucalyptus megacornuta,3,6,0.5,1.6,1.8,2.7,2.3,3.5,3,7,green,YNNNNYNNNNYN,6,10,1,2.5
Eucalyptus megasepala,1,1.3,0.5,0.8,1.3,2.3,0.9,1.6,3,3,white_cream,NNNYYYYYYYNN,10.5,19.5,1.5,3
Eucalyptus melanoleuca,0.5,0.9,0.3,0.6,0.4,0.7,0.4,0.6,7,7,white_cream,NYNNNYYYYNNN,8.5,14.5,1.5,3.5
Eucalyptus melanophitra,1.3,1.5,0.3,NA,0.6,0.7,0.4,0.5,9,11,white_cream,NYYYNNNNNNNN,5.8,9.5,0.9,1.5
Eucalyptus melanophloia,0.5,0.7,0.3,0.4,0.3,0.7,0.3,0.8,7,7,white_cream,NNNNNNNNNNNN,3.5,9,2,5.3
Eucalyptus melanoxylon,0.5,0.8,0.3,0.5,0.4,0.6,0.5,0.6,11,15,white_cream,NNNNNNNNNNYN,7.2,11,0.7,1.2
Eucalyptus melliodora,0.4,0.8,0.3,0.5,0.3,0.8,0.3,0.7,7,7,white_cream,YYNNYYYYYYYY,6,14,0.8,3
Eucalyptus merrickiae,0.7,1.2,0.5,0.6,0.6,1,0.6,0.8,3,3,white_cream,NNNNNNNNNNYN,5,8.5,0.4,0.8
Eucalyptus michaeliana,0.5,0.6,0.3,0.4,0.3,0.5,0.4,0.6,3,7,white_cream,NNYNNYYYNNNN,9,18,1,2.3
Eucalyptus micranthera,0.7,1,0.4,0.7,0.6,1,0.7,1,7,9,white_cream,NNNYYNYYYNNN,6,11.5,0.8,2.5
Eucalyptus microcarpa,0.5,0.9,0.2,0.4,0.3,0.9,0.3,0.5,7,7,white_cream,NYYYYYNNNNNN,6,15,1,3
Eucalyptus microcorys,0.3,0.5,0.25,0.3,0.5,0.9,0.5,0.6,7,9,white_cream,YNNNNNNYYYYN,6,15,1.5,3.5
Eucalyptus microneura,0.6,0.8,0.4,NA,0.4,0.7,0.4,0.7,7,7,white_cream,YYNNNNNNNNNN,5,11,1.6,3
Eucalyptus microschema,0.7,1,0.2,0.35,0.4,0.7,0.4,0.5,9,11,white_cream,NNNNYNNNNNYN,5.5,11,0.5,1
Eucalyptus microtheca,0.3,0.4,0.2,0.3,0.2,0.5,0.3,0.7,7,7,white_cream,YYNNNNNNYNYY,5,19.5,0.6,3
Eucalyptus mimica,1.2,1.9,0.4,0.6,0.7,1.7,0.6,1.2,3,3,white_cream,NNNNNNNNNNNN,3.5,8.5,0.4,0.9
Eucalyptus miniata,1,2.3,0.9,1.2,3.3,6,2,4,7,7,yellow_orange,YNNYYYYYYNNN,7,16,2.5,4.5
Eucalyptus minniritchi,0.6,1,0.5,0.8,0.7,1,0.8,1.6,7,7,white_cream yellow_orange,NA,1.8,4.6,1,3.5
Eucalyptus misella,0.6,NA,0.45,0.5,0.4,0.5,0.6,0.8,7,11,white_cream,NNNYNNNNNNYN,4,8.5,0.8,1.5
Eucalyptus mitchelliana,0.7,1,0.3,0.4,0.5,0.7,0.5,0.7,7,11,white_cream,YNNNNNNNNNYY,7.5,15,0.6,2
Eucalyptus moderata,1.4,2,0.5,0.6,0.6,1,0.5,0.8,7,7,white_cream,YNNNNNYNYYNY,5,13,1,2.2
Eucalyptus moluccana,0.4,0.8,0.2,0.4,0.4,0.7,0.3,0.6,7,7,white_cream,YYYYYYNYNYYY,7,17,1.5,6.5
Eucalyptus mooreana,1,1.2,0.5,0.7,0.6,0.8,0.6,0.8,7,7,white_cream,NNNNNNNNNNNN,6,13,3,8
Eucalyptus moorei,0.5,0.7,0.2,0.3,0.3,0.5,0.3,0.6,7,15,white_cream,NYYYYNNNYYNN,3,11,0.3,1.3
Eucalyptus morrisbyi,0.7,0.8,0.5,0.6,0.6,0.9,0.7,0.8,3,3,white_cream,YNNYNNNNYNNN,4.7,10,1.5,4
Eucalyptus morrisii,0.8,0.9,0.5,NA,0.3,0.6,0.7,1.2,3,3,white_cream,NNNNNNNNNNNY,5.5,14.5,0.8,2.1
Eucalyptus muelleriana,0.5,0.7,0.3,0.4,0.6,1,0.7,1.2,7,11,white_cream,YYYYYNNNNNNN,8,20,1.5,4.5
Eucalyptus multicaulis,0.3,0.4,0.3,NA,0.7,0.9,0.6,0.8,7,15,white_cream,NNNNNNNNYYYN,7,15,1.4,3
Eucalyptus myriadena,0.3,0.7,0.15,0.3,0.3,0.6,0.3,0.4,9,13,white_cream,YNNYNNNYNYNN,5,10,0.6,1.2
Eucalyptus nandewarica,0.6,0.9,0.3,0.35,0.3,0.4,0.5,0.6,3,7,white_cream,NNNNNNNNNNNY,5,15,0.8,3
Eucalyptus nebulosa,0.3,0.5,0.2,0.3,0.3,0.5,0.3,0.6,7,7,white_cream,NNYNNNNNNNNY,4.5,11,0.8,1.5
Eucalyptus neglecta,0.3,0.6,0.3,0.5,0.3,0.4,0.4,0.7,7,15,white_cream,YYYYYNNNNNYY,7,18,2.4,9
Eucalyptus neutra,1.1,1.7,0.3,0.6,0.5,1,0.5,0.8,7,7,white_cream,NNNNNNNNNYYN,5,11,1,2
Eucalyptus newbeyi,5.2,6,1.1,1.6,1,2.7,1.8,2.8,7,7,green,NNNNNNNNNNNN,4,8,0.5,1.5
Eucalyptus nicholii,0.3,0.5,0.2,0.3,0.3,0.4,0.3,0.5,7,7,white_cream,NNYNNNNNNNNN,6,14,0.5,1.2
Eucalyptus nigrifunda,0.9,1.2,0.2,0.3,0.4,0.9,0.3,0.5,9,9,white_cream,NNNNNNYNNNNN,6,11,0.7,1.5
Eucalyptus nitens,0.6,0.7,0.3,0.4,0.4,0.7,0.4,0.7,7,7,white_cream,YYYNNNNNNNNN,10,30,1.5,4
Eucalyptus nitida,0.3,0.5,0.3,0.4,0.4,0.8,0.5,0.9,9,15,white_cream,YNNNNNNNNNYY,5.5,13,0.6,1.7
Eucalyptus nobilis,0.4,0.7,0.3,0.5,0.3,0.6,0.4,0.9,7,7,white_cream,NYYNYNNYNNYN,8.5,21,1,3
Eucalyptus normantonensis,0.3,0.4,0.2,0.3,0.3,0.5,0.3,0.4,7,11,white_cream,YYYNYYYYNYNN,5,11,0.7,2
Eucalyptus nortonii,0.7,1.3,0.3,0.6,0.5,0.9,0.5,0.7,7,7,white_cream,YYYYNNYYYYNN,8.5,30,1.5,4
Eucalyptus notabilis,0.8,1.2,0.5,0.7,0.4,0.9,0.6,1,7,11,white_cream,YNNNNNNNNYNN,7,19,1.5,3.3
Eucalyptus notactites,1,1.3,0.5,0.6,0.5,0.8,0.7,1.2,11,19,white_cream,YNNNYNNNNNYY,7.5,15,1.5,4
Eucalyptus nova-anglica,0.4,0.5,0.2,0.4,0.3,0.4,0.3,0.6,7,7,white_cream,NYYYYNNNNNNN,9,19,1.2,2.5
Eucalyptus nudicaulis,0.7,1.1,0.6,0.9,0.6,0.9,0.6,0.9,7,7,white_cream,NYYNNNNNNNNN,7,18,1,2
Eucalyptus nutans,1.8,NA,0.8,1,1.2,1.6,1.4,1.9,7,7,red_brown,NNYNNNNNNNNN,2.4,7,2.5,6
Eucalyptus obconica,0.4,0.5,0.3,0.4,0.2,0.4,0.3,0.5,7,7,white_cream,NNYNNNNNNNNN,6,15.5,0.5,2
Eucalyptus obesa,0.6,0.8,0.4,0.5,0.4,0.7,0.6,1.1,11,13,white_cream,YNNNNNNNNNYY,6.5,10.5,0.8,2
Eucalyptus obliqua,0.4,0.9,0.3,0.5,0.6,1.2,0.5,1.1,11,15,white_cream,YYYNYYNNYYNY,6,22,1.5,7
Eucalyptus obtusiflora,0.7,1.2,0.5,0.8,0.7,1.2,0.7,1,7,9,white_cream,YYYNYNNYYYYY,7,13,1,2.5
Eucalyptus occidentalis,1.6,3.3,0.5,1,0.9,1.5,0.8,1.3,7,13,white_cream,NNNYYNNYYYYN,6.5,16,1,3.5
Eucalyptus ochrophloia,1,1.7,0.4,0.5,0.8,1.7,0.5,0.8,7,7,white_cream,NNNNYYYYYYYY,7,20,1,2.5
Eucalyptus odontocarpa,0.45,0.6,0.4,0.6,0.7,1.4,0.5,0.7,3,3,white_cream,NNNYNYYYNNNN,9,15,0.5,1.8
Eucalyptus odorata,0.4,0.8,0.2,0.4,0.4,0.8,0.4,0.7,7,11,white_cream,NNYYYYYYYYNN,5.5,14,0.6,2
Eucalyptus oldfieldii,1.2,2.2,0.9,1.5,0.5,1.2,1,2,3,3,white_cream,NNNYYYYYYYYN,6.3,11.5,0.9,2.5
Eucalyptus oleosa,0.6,1.4,0.3,0.6,0.4,0.8,0.4,0.8,7,11,white_cream,YYYYYYYNYYYY,5,11,0.5,2
Eucalyptus olida,0.4,NA,0.2,0.3,0.6,0.7,0.5,0.9,7,15,white_cream,NYNNNNNNNNNN,7,18.5,0.9,2.6
Eucalyptus oligantha,0.6,1,0.4,0.6,0.6,1.1,0.6,0.9,3,7,white_cream,NNYNNNYNYNNN,6.5,19,5,21.3
