taxon,mean time to germinate,quickest time to germinate,longest time to germinate,times sown,recommended pretreatment
Hibbertia aurea,63,55,71,3,SMK+GA
Hibbertia cuneiformis,62,52,76,3,SMK+GA
Hibbertia cunninghamii,47,34,60,3,SMK+GA
Hibbertia glomerosa,76,0,0,1,SMK+GA
Hibbertia huegelii,56,38,74,2,SMK+GA
Hibbertia hypericoides,64,50,74,4,SMK+GA
Hibbertia miniata,63,36,135,13,SMK+GA
Hibbertia montana,62,54,70,5,SMK+GA
Hibbertia ovata,48,44,55,3,SMK+GA
Hibbertia perfoliata,47,0,0,1,SMK+GA
Hibbertia racemosa,29,29,29,1,SMK+GA
Hibbertia rupicola,37,0,0,1,SMK+GA
Hibbertia spicata,37,25,60,3,SMK+GA
Hibbertia stellaris,46,33,55,5,SMK+GA
Hibbertia subvaginata,51,31,85,7,SMK+GA
Hibbertia vaginata,76,0,0,1,SMK+GA
Hibiscus brachychlaenus,8,0,0,1,
Hibiscus coatesii,26,8,64,10,
Hibiscus divaricatus,17,6,40,8,
Hibiscus drummondii,9,8,10,2,
Hibiscus goldsworthii,36,9,88,10,
Hibiscus leptocladus,19,13,28,5,
Hibiscus meraukensis,40,21,64,3,
Hibiscus panduriformis,17,6,44,19,
Hibiscus sturtii,19,18,20,2,
Hibiscus trionum,8,7,9,2,
Hibiscus zonatus,7,6,7,2,
Homalanthus novo-guineensis,37,23,50,3,
Homalospermum firmum,44,30,76,8,SMK
Hovea chorizemifolia,41,17,85,15,HW
Hovea elliptica,46,31,90,16,HW
Hovea pungens,19,9,40,10,HW
Hovea stricta,34,27,46,6,HW
Hovea trisperma,20,9,90,29,HW
Hovea trisperma var. crispa,23,13,32,5,HW
Hyalosperma cotula,16,7,28,9,
Hyalosperma glutinosum,10,5,14,5,
Hybanthus aurantiacus,28,26,30,2,SMK
Hybanthus enneaspermus,16,12,26,5,SMK
Hybanthus floribundus,52,32,56,4,SMK
Hypocalymma angustifolium,42,18,76,7,SMK
Hypocalymma myrtifolium,45,0,0,1,SMK
Hypocalymma robustum,52,2,121,21,SMK
Hypocalymma strictum,25,0,0,1,SMK
Hypocalymma tetrapterum,44,32,76,7,SMK
Hypocalymma xanthopetalum,49,31,62,4,SMK
Indigofera australis,15,6,35,14,HW
Indigofera boviperda,9,0,0,1,HW
Indigofera brevidens,22,9,50,7,HW
Indigofera colutea,4,4,4,1,HW
Indigofera georgei,16,9,36,8,HW
Indigofera hirsuta,12,4,23,3,HW
Indigofera linifolia,10,10,10,1,HW
Indigofera monophylla,11,6,19,13,HW
Indigofera rugosa,15,0,0,1,HW
Ipomoea costata,25,6,60,6,
Ipomoea muelleri,14,6,50,18,
Ipomoea pes-caprae subsp. brasiliensis,13,13,13,1,
Ipomoea turpethum,36,3,64,9,
Isopogon adenanthoides,31,21,53,6,
Isopogon alcicornis,48,0,0,1,
Isopogon asper,33,25,47,6,
Isopogon attenuatus,37,33,41,3,
Isopogon axillaris,31,23,37,5,
Isopogon baxteri,34,26,48,3,
Isopogon buxifolius,31,20,76,11,
Isopogon cuneatus,37,23,50,18,
Isopogon divergens,25,20,41,19,
Isopogon dubius,34,22,40,15,
Isopogon formosus,24,21,41,16,
Isopogon latifolius,45,20,90,7,
Isopogon linearis,42,24,94,5,
Isopogon polycephalus,30,20,57,6,
Isopogon scabriusculus,37,27,56,17,
Isopogon sphaerocephalus,39,28,50,13,
Isopogon teretifolius,39,27,57,11,
Isopogon tridens,37,28,48,10,
Isopogon trilobus,30,18,58,18,
Isopogon villosus,40,26,62,4,
Isotoma hypocrateriformis,28,5,55,15,
Isotoma petraea,26,15,41,6,
Isotoma scapigera,27,21,37,5,
Isotropis atropurpurea,13,9,21,14,
Isotropis canescens,13,12,14,3,
Ixiochlamys cuneifolia,8,8,8,1,
Ixiolaena viscosa,20,12,30,5,
Jacksonia angulata,13,0,0,1,HW
Jacksonia capitata,25,0,0,2,HW
Jacksonia carduacea,14,0,0,1,HW
Jacksonia compressa,18,13,24,3,HW
Jacksonia cupulifera,15,14,18,3,HW
Jacksonia eremodendron,20,18,23,2,HW
Jacksonia floribunda,14,8,19,9,HW
Jacksonia furcellata,12,7,19,13,HW
Jacksonia hakeoides,14,11,16,5,HW
Jacksonia horrida,20,14,25,8,HW
Jacksonia lehmannii,13,9,19,7,HW
Jacksonia racemosa,12,0,0,1,HW
Jacksonia sericea,10,5,20,17,HW
Jacksonia spinosa,18,13,27,11,HW
Jacksonia sternbergiana,12,9,17,3,HW
Jacksonia velutina,31,16,56,4,HW
Jacksonia velveta,19,19,19,1,HW
Jasminum didymum,43,0,0,1,
Johnsonia lupulina,42,29,54,2,
Johnsonia pubescens,49,21,88,5,
Juncus holoschoenus,45,19,75,4,Light
Kennedia beckxiana,20,12,25,9,HW
Kennedia carinata,16,0,0,1,HW
Kennedia coccinea,19,9,27,15,HW
Kennedia eximia,19,9,59,13,HW
Kennedia glabrata,22,14,28,6,HW
Kennedia macrophylla,43,6,62,13,HW
Kennedia microphylla,27,0,0,1,HW
Kennedia nigricans,20,9,49,12,HW
Kennedia prorepens,17,9,49,19,HW
Kennedia prostrata,15,11,29,23,HW
Kennedia stirlingii,16,11,27,10,HW
Keraudrenia hermanniifolia,18,11,27,11,
Keraudrenia integrifolia,30,16,59,12,
Kingia australis,77,54,105,5,
Kunzea baxteri,23,8,46,16,
Kunzea ericifolia,18,11,23,7,
Kunzea jucunda,56,32,126,5,
Kunzea micrantha,21,15,33,7,
Kunzea micromera,21,15,32,4,
Kunzea pauciflora,44,23,126,9,
Kunzea preissiana,24,0,0,1,
Kunzea pulchella,21,14,33,10,
Kunzea recurva,26,13,36,9,
Labichea cassioides,15,9,20,4,
Labichea lanceolata,20,12,37,9,
Labichea punctata,22,8,45,14,
Labichea teretifolia,20,15,25,6,
Lachnostachys albicans,32,0,0,1,
Lachnostachys eriobotrya,46,24,63,2,
Lachnostachys verbascifolia,54,0,0,2,
Lamarchea hakeifolia,17,16,19,3,
Lambertia echinata,28,15,33,6,
Lambertia ericifolia,35,0,0,1,
Lambertia ilicifolia,26,19,35,10,
Lambertia inermis,27,21,47,5,
Lambertia multiflora,34,16,45,16,
Lasiopetalum dielsii,46,0,0,1,
Lasiopetalum discolor,55,41,69,7,
Lawrencella davenportii,9,2,17,13,
Lawrencella rosea,8,6,21,15,
Lawrencia densiflora,9,6,13,7,
Lawrencia helmsii,18,7,40,12,
Lawrencia spicata,23,7,46,7,
Lawrencia squamata,15,8,30,7,
Laxmannia squarrosa,66,20,158,10,SMK
Lechenaultia biloba,46,25,90,12,SMK
Lechenaultia expansa,38,24,69,8,SMK
Lechenaultia floribunda,45,30,76,3,SMK
Lechenaultia heteromera,79,0,0,1,SMK
Lechenaultia linarioides,49,29,64,5,SMK
Lechenaultia macrantha,47,24,75,10,SMK
Lechenaultia stenosepala,38,24,65,4,SMK
Lechenaultia tubiflora,70,0,0,1,SMK
Leiocarpa tomentosa,12,8,15,2,
Lemooria burkittii,21,0,0,1,
Lepidium pedicellosum,22,0,0,1,
Lepidium platypetalum,17,12,23,6,
Lepidium rotundum,26,12,42,6,
Lepidium strongylophyllum,26,19,33,2,
Lepidosperma angustatum,15,15,15,1,
Lepidosperma gladiatum,63,53,72,2,
Leptomeria pauciflora,62,0,0,1,
Leptomeria preissiana,99,0,0,1,
Leptorhynchos scaber,27,14,50,3,
Leptosema aphyllum,33,9,51,16,HW
Leptosema chambersii,16,9,20,8,HW
Leptosema daviesioides,79,26,132,2,HW
Leptospermum erubescens,40,28,76,9,SMK
Leptospermum oligandrum,33,29,38,3,SMK
Leptospermum roei,57,27,114,9,SMK
Leptospermum sericeum,36,10,78,6,SMK
Leptospermum spinescens,32,20,56,14,SMK
Leucochrysum fitzgibbonii,20,6,46,5,
Leucochrysum stipitatum,12,3,26,10,
Leucopogon conostephioides,66,64,68,2,SMK
Leucopogon parviflorus,98,26,170,2,SMK
Leucopogon polymorphus,81,64,92,5,SMK
Leucopogon verticillatus,93,88,99,2,SMK
Lobelia alata,26,21,39,6,SMK
Lobelia heterophylla,16,6,71,22,SMK
Lobelia rhombifolia,54,0,0,1,SMK
Lobelia tenuior,21,13,48,21,SMK
Logania buxifolia,72,71,72,2,
Logania nuda,64,0,0,1,
Logania serpyllifolia,10,0,0,1,
Logania vaginalis,33,24,60,9,
Lomandra hastilis,107,84,144,3,
Lotus australis,5,4,6,3,
Lotus cruentus,11,8,17,7,
Luffa graveolens,18,18,18,1,
Lycium australe,24,21,28,2,
Lysinema ciliatum,92,49,140,4,SMK
Macgregoria racemigera,24,6,74,5,
Macropidia fuliginosa,46,33,67,12,SMK
Maireana appressa,10,7,13,2,
Maireana atkinsiana,11,7,17,4,
Maireana carnosa,21,8,90,11,
Maireana convexa,12,6,17,2,
Maireana enchylaenoides,11,7,18,6,
Maireana georgei,16,7,26,8,
Maireana glomerifolia,18,0,0,1,
Maireana integra,14,0,0,3,
Maireana lanosa,17,0,0,1,
Maireana melanocoma,19,10,43,7,
Maireana pentatropis,17,11,25,8,
Maireana pyramidata,13,5,20,2,
Maireana stipitata,12,9,15,4,
Maireana tomentosa,6,0,0,1,
Maireana triptera,20,0,0,1,
Maireana villosa,10,9,13,3,
Malleostamen roseus,29,0,0,1,
Malleostamen peltiger,62,39,89,5,
Mallophora globiflora,36,0,0,1,
Malva australiana,12,6,22,12,
Marianthus coeruleo-punctatus,36,28,45,4,SMK
Marianthus erubescens,25,19,28,3,SMK
Marianthus ringens,29,24,36,3,SMK
Marsdenia australis,24,12,74,12,
Meeboldina scariosa,59,46,72,2,
Melaleuca acuminata,19,13,34,6,None
Melaleuca adnata,17,13,34,6,None
Melaleuca alsophila,21,0,0,1,None
Melaleuca blaeriifolia,13,12,13,2,None
Melaleuca bracteata,20,20,20,1,None
Melaleuca brevifolia,15,15,15,1,None
Melaleuca calothamnoides,29,15,64,8,None
Melaleuca calycina,22,15,29,2,None
Melaleuca campanae,13,13,13,1,None
Melaleuca cardiophylla,21,11,34,10,None
Melaleuca ciliosa,20,12,34,4,None
Melaleuca citrina,9,9,9,l,None
Melaleuca cliffortioides,13,13,13,1,None
Melaleuca coccinea,18,9,33,7,None
Melaleuca conothamnoides,24,12,59,8,None
Melaleuca cordata,19,13,33,13,None
Melaleuca coronicarpa,10,10,10,1,None
Melaleuca cucullata,13,13,13,1,None
Melaleuca cuticularis,36,28,58,3,None
Melaleuca densa,13,9,21,3,None
Melaleuca depressa,13,13,13,1,None
Melaleuca diosmifolia,17,9,25,2,None
Melaleuca eleuterostachya,16,8,28,11,None
Melaleuca elliptica,17,8,49,8,None
Melaleuca filifolia,32,32,32,1,None
Melaleuca fulgens,13,8,26,12,None
Melaleuca fulgens subsp. steedmanii,12,7,33,15,None
Melaleuca glaberrima,23,9,64,5,None
Melaleuca globifera,20,18,23,4,None
Melaleuca glomerata,20,19,20,2,None
Melaleuca halmaturorum,18,15,22,6,None
Melaleuca hamulosa,16,12,34,6,None
Melaleuca huegelii,19,13,49,12,None
Melaleuca huegelii subsp. pristicensis,11,11,11,1,None
Melaleuca incana,13,8,28,9,None
Melaleuca incana subsp. incana,18,7,38,5,None
Melaleuca lanceolata,32,15,64,11,None
Melaleuca lasiandra,27,0,0,1,None
Melaleuca lateralis,10,10,10,1,None
Melaleuca lateriflora,23,15,36,3,None
Melaleuca lateritia,26,10,62,12,None
Melaleuca laxiflora,12,8,21,4,None
Melaleuca leiocarpa,16,13,19,5,None
Melaleuca leiopyxis,15,8,34,7,None
Melaleuca leptospermoides,14,8,21,6,None
Melaleuca leucadendra,31,18,50,4,None
Melaleuca linophylla,15,10,10,2,None
Melaleuca macronychia,22,15,42,10,None
Melaleuca megacephala,14,8,21,11,None
Melaleuca micromera,21,18,25,3,None
Melaleuca microphylla,34,0,0,1,None
Melaleuca minutifolia,24,14,20,3,None
Melaleuca nematophylla,19,13,48,11,None
Melaleuca nervosa,31,25,37,2,None
Melaleuca nesophila,24,16,36,7,None
Melaleuca oldfieldii,21,15,34,6,None
Melaleuca pauperiflora,20,19,21,3,None
Melaleuca pentagona,26,13,40,11,None
Melaleuca pentagona var. pentagona,28,19,42,4,None
Melaleuca platycalyx,16,10,31,5,None
Melaleuca preissiana,71,14,114,7,None
Melaleuca pulchella,21,12,49,6,None
Melaleuca pungens,20,13,36,10,None
Melaleuca quadrifaria,21,12,29,2,None
Melaleuca radula,21,7,54,11,None
Melaleuca rhaphiophylla,39,15,79,6,None
Melaleuca scabra,20,11,36,15,None
Melaleuca sciotostyla,7,7,7,1,None
Melaleuca sclerophylla,19,7,31,5,None
Melaleuca seriata,18,8,54,7,None
Melaleuca sheathiana,21,12,29,2,None
Melaleuca sparsiflora,32,0,0,1,None
Melaleuca spathulata,33,13,53,5,None
Melaleuca striata,21,13,50,11,None
Melaleuca suberosa,20,10,44,13,None
Melaleuca subfalcata,22,12,45,15,None
Melaleuca subtrigona,34,0,0,1,None
Melaleuca systena,15,8,31,8,None
Melaleuca teretifolia,21,16,36,5,None
Melaleuca thymoides,19,13,32,7,None
Melaleuca thyoides,18,13,34,8,None
Melaleuca trichophylla,22,12,39,11,None
Melaleuca uncinata,17,14,23,4,None
Melaleuca urceolaris,14,10,22,4,None
Melaleuca viminea,17,12,31,5,None
Melaleuca violacea,18,13,40,10,None
Melaleuca viridiflora,15,10,20,2,None
Menkea australis,30,0,0,1,
Microcorys exserta,59,0,0,1,
Microcybe albiflora,34,18,49,2,
Micromyrtus imbricata,22,0,0,1,
Microseris scapigera,11,5,14,6,
Millotia myosotidifolia,8,3,14,14,
Millotia perpusilla,9,5,10,5,
Millotia tenuifolia,18,15,21,3,
Minuria cunninghamii,9,6,13,5,
Minuria leptophylla,11,8,15,2,
Minuria suaedifolia,8,0,0,1,
Mirbelia dilatata,19,13,48,21,
Mirbelia floribunda,23,0,0,2,
Mirbelia ramulosa,14,11,18,7,
Mirbelia spinosa,9,13,26,6,
Mirbelia subcordata,33,0,0,1,
Mirbelia viminalis,14,0,0,1,
Mollugo molluginis,24,9,50,4,
Monotaxis grandiflora,69,0,0,1,
Monotoca oligarrhenoides,51,0,0,1,
Morgania pubescens,45,40,54,4,
Muelleranthus trifoliolatus,12,8,15,6,
Mukia maderaspatana,23,19,33,4,
Myoporum acuminatum,53,53,53,1,
Myoporum montanum,49,0,0,1,
Myoporum tetrandrum,28,0,0,1,
Myriocephalus guerinae,7,4,14,10,
Myriocephalus helichrysoides,5,5,5,1,
Myriocephalus nudus,12,8,18,3,
Myriocephalus rudallii,20,9,40,7,
Myriocephalus suffruticosus,42,21,49,3,
Neptunia major,5,5,5,1,
Neptunia monosperma,4,4,4,1,
Newcastelia cephalantha,33,0,0,1,
Newcastelia hexarrhena,66,0,0,1,
Nicotiana goodspeedii,13,9,16,6,
Nicotiana occidentalis,14,11,15,7,
Nicotiana rotundifolia,20,10,50,6,
Nitraria billardierei,38,22,50,4,
Nuytsia floribunda,33,22,81,24,
Olax benthamiana,36,0,0,1,
Olearia adenolasia,20,0,0,1,
Olearia axillaris,15,8,24,7,
Olearia ciliata,11,0,0,1,
Olearia elaeophila,23,19,26,2,
Olearia muelleri,23,12,42,13,
Olearia muricata,30,22,37,2,
Olearia paucidentata,25,17,39,8,
Olearia pimeleoides,22,0,0,1,
Olearia rudis,21,12,44,12,
Olearia stuartii,34,0,0,1,
Operculina brownii,5,5,5,1,
Orthrosanthus laxus,35,26,44,11,
Orthrosanthus multiflorus,40,0,0,1,
Othonna gregorii,10,5,26,9,
Owenia reticulata,19,0,0,2,
Ozothamnus cordatus,22,14,36,11,
Paragonis grandiflora,32,20,53,8,
Paraserianthes lophantha,14,11,22,5,
Patersonia inaequalis,55,49,61,4,SMK
Patersonia juncea,113,106,120,2,SMK
Patersonia occidentalis,53,28,89,19,SMK
Patersonia pygmaea,60,0,0,1,SMK
Patersonia rudis,60,0,0,1,SMK
Patersonia umbrosa,53,47,61,6,SMK
Pelargonium australe subsp. drummondii,15,0,0,1,
Pentalepis trichodesmoides,15,10,33,6,
Peplidium muelleri,23,17,31,5,
Pericalymma ellipticum,16,13,24,8,SMK
Petalostigma quadriloculare,77,14,139,2,
Petalostylis cassioides,10,4,29,17,
Petalostylis labicheoides,15,7,20,14,
Petrophile biloba,30,26,39,14,SMK
Petrophile biternata,45,0,0,1,SMK
Petrophile carduacea,40,28,59,19,SMK
Petrophile circinata,42,26,57,5,SMK
Petrophile conifera,37,24,53,13,SMK
Petrophile divaricata,43,30,74,6,SMK
Petrophile diversifolia,53,41,69,7,SMK
Petrophile drummondii,30,20,64,15,SMK
Petrophile ericifolia,35,24,57,20,SMK
Petrophile fastigiata,43,33,60,8,SMK
Petrophile helicophylla,43,43,43,1,SMK
Petrophile heterophylla,35,20,60,14,SMK
Petrophile linearis,28,15,67,14,SMK
Petrophile longifolia,35,20,54,3,SMK
Petrophile macrostachya,44,18,84,17,SMK
Petrophile media,35,26,61,8,SMK
Petrophile megalostegia,29,0,0,1,SMK
Petrophile phylicoides,35,30,42,9,SMK
Petrophile rigida,28,0,0,1,SMK
Petrophile seminuda,47,39,51,5,SMK
Petrophile serruriae,36,24,71,16,SMK
Petrophile squamata,37,19,56,14,SMK
Petrophile striata,42,25,61,17,SMK
Petrophile teretifolia,47,26,70,9,SMK
Philotheca brucei,39,0,0,1,
Philotheca glabra,57,35,74,4,
Philotheca nodiflora,51,35,63,4,
Philotheca sericea,32,0,0,1,
Philotheca spicata,37,27,56,9,
Philotheca thryptomenoides,34,0,0,1,
Philydrella pygmaea,46,37,57,4,
Philydrum lanuginosum,61,0,0,1,
Phyllanthus calycinus,27,17,35,3,GA
Phymatocarpus porphyrocephalus,37,32,42,2,
Physalis minima,35,0,0,1,
Physopsis chrysophylla,29,0,0,1,
Physopsis spicata,37,0,0,1,
Pileanthus filifolius,44,17,67,13,
Pileanthus limacis,33,25,43,10,
Pileanthus peduncularis,38,24,76,26,
Pimelea ammocharis,28,24,32,2,SMK
Pimelea argentea,36,21,68,5,SMK
Pimelea brevifolia,28,21,42,6,SMK
Pimelea ferruginea,37,14,64,4,SMK
Pimelea hispida,60,0,0,1,SMK
Pimelea holroydii,18,14,28,8,SMK
Pimelea imbricata,31,20,48,3,SMK
Pimelea lehmanniana,39,34,52,4,SMK
Pimelea leucantha,41,26,60,5,SMK
Pimelea microcephala,31,10,58,6,SMK
Pimelea physodes,62,49,78,8,SMK
Pimelea preissii,64,0,0,1,SMK
Pimelea rosea,55,37,74,10,SMK
Pimelea spectabilis,43,15,57,13,SMK
Pimelea suaveolens,81,52,101,3,SMK
Pimelea sulphurea,48,0,0,1,SMK
Pimelea sylvestris,56,27,92,11,SMK
Pithocarpa corymbulosa,49,0,0,1,
Pittosporum phylliraeoides,38,27,74,8,
Pityrodia atriplicina,26,20,32,4,
Pityrodia axillaris,39,0,0,2,
Pityrodia cuneata,24,0,0,1,
Pityrodia loxocarpa,38,0,0,1,
Pityrodia oldfieldii,39,36,42,2,
Pityrodia paniculata,32,24,40,2,
Pityrodia teckiana,35,29,49,4,
Pityrodia terminalis,70,60,80,2,
Pityrodia uncinata,54,48,65,3,
Pityrodia verbascina,61,27,115,4,
Plantago varia,8,5,14,8,
Platytheca galioides,45,39,49,5,
Plectronia latifolia,7,6,10,4,
Pluchea dentex,19,9,33,5,
Pluchea rubelliflora,12,10,13,2,
Pluchea tetranthera,18,7,38,7,
Podocarpus drouynianus,78,0,0,1,
Podocoma cuneifolia,25,21,29,2,
Podolepis canescens,9,4,29,22,Light
Podolepis capillaris,15,5,41,5,Light
Podolepis gardneri,13,13,13,1,Light
Podolepis gracilis,8,4,19,20,Light
Podolepis kendallii,7,4,19,11,Light
Podolepis lessonii,8,4,22,15,Light
Podolepis rugata,13,9,15,3,Light
Podotheca angustifolia,8,7,14,9,
Podotheca chrysantha,12,7,14,8,
Podotheca gnaphalioides,9,4,19,12,
Podotheca wilsonii,13,5,21,2,
Pogonolepis stricta,14,6,21,10,
Polycarpaea longiflora,14,8,36,8,
Polymeria ambigua,18,15,20,2,
Pomaderris forrestiana,31,23,40,3,HW
Pomaderris grandis,68,0,0,1,HW
Porana sericea,20,8,50,12,
Portulaca cyclophylla,23,0,0,1,
Portulaca pilosa,29,11,47,2,
Prostanthera baxteri,47,0,0,1,
Prostanthera eckersleyana,53,49,57,2,
Prostanthera magnifica,26,14,49,4,
Prostanthera scutata,74,0,0,1,
Pseudognaphalium luteoalbum,15,11,19,7,
Pterocaulon serrulatum,28,28,28,1,
Ptilotus aervoides,23,6,48,5,SMK
Ptilotus albidus,5,2,7,5,SMK
Ptilotus appendiculatus,34,0,0,1,SMK
Ptilotus astrolasius,13,13,13,1,SMK
Ptilotus auriculifolius,17,5,31,10,SMK
Ptilotus axillaris,13,5,19,6,SMK
Ptilotus calostachyus,23,9,56,20,SMK
Ptilotus carinatus,23,19,26,2,SMK
Ptilotus carlsonii,24,15,38,3,SMK
Ptilotus chamaecladus,12,2,21,10,SMK
Ptilotus clementii,12,11,11,2,SMK
Ptilotus corymbosus,29,0,0,1,SMK
Ptilotus divaricatus,14,10,16,3,SMK
Ptilotus drummondii,16,10,30,7,SMK
Ptilotus exaltatus,13,2,38,33,SMK
Ptilotus fusiformis,9,6,13,6,SMK
Ptilotus gaudichaudii,11,7,23,9,SMK
Ptilotus gomphrenoides,28,5,49,5,SMK
Ptilotus grandiflorus,12,9,19,7,SMK
Ptilotus helichrysoides,32,25,38,2,SMK
Ptilotus helipteroides,20,6,52,9,SMK
Ptilotus holosericeus,19,0,0,1,SMK
Ptilotus incanus,17,13,21,4,SMK
Ptilotus lanatus,15,15,15,1,SMK
Ptilotus latifolius,21,11,38,6,SMK
Ptilotus macrocephalus,21,5,49,22,SMK
Ptilotus manglesii,30,16,38,6,SMK
Ptilotus marduguru,11,11,11,1,SMK
Ptilotus obovatus,11,3,29,14,SMK
Ptilotus parvifolius,7,7,7,1,SMK
Ptilotus polakii,14,10,19,4,SMK
Ptilotus polystachyus,14,7,34,9,SMK
Ptilotus rotundifolius,18,9,50,7,SMK
Ptilotus schwartzii,25,13,13,2,SMK
Ptilotus sericostachyus,24,18,28,4,SMK
Ptilotus spathulatus,12,6,28,9,SMK
Ptilotus spicatus,26,0,0,1,SMK
Ptilotus trichocephalus,7,6,8,2,SMK
Ptilotus villosiflorus,17,9,29,5,SMK
Pultenaea brachytropis,25,24,26,3,
Pultenaea ochreata,23,17,32,7,
Pultenaea reticulata,39,16,107,9,
Radyera farragei,33,10,44,14,
Reedia spathacea,80,0,0,1,
Regelia ciliata,19,14,22,8,
Regelia cymbifolia,23,17,36,6,
Regelia inops,22,17,45,11,
Regelia megacephala,33,19,46,2,
Regelia velutina,23,17,25,8,
Rhagodia baccata,29,18,46,8,SMK
Rhagodia crassifolia,23,15,36,7,SMK
Rhagodia preissii,29,0,0,1,SMK
Rhagodia spinescens,15,0,0,1,SMK
Rhodanthe battii,9,5,12,3,
Rhodanthe charsleyae,10,5,17,9,
Rhodanthe chlorocephala subsp. rosea,6,4,10,4,Light
Rhodanthe chlorocephala small white,12,3,17,3,Light
Rhodanthe chlorocephala subsp. splendida,9,2,18,27,Light
Rhodanthe citrina,19,9,45,6,
Rhodanthe condensata,11,12,12,10,Light
Rhodanthe cremea,21,21,21,1,Light
Rhodanthe floribunda,18,6,48,14,Light
Rhodanthe heterantha,6,0,0,1,
Rhodanthe humboldtiana,5,4,16,13,
Rhodanthe manglesii,9,2,41,27,Light
Rhodanthe manglesii album,5,3,6,2,Light
Rhodanthe manglesii variant,10,3,15,4,Light
Rhodanthe margarethae,19,13,31,5,Light
Rhodanthe maryonii,7,5,8,3,
Rhodanthe oppositifolia,5,4,6,3,Light
Rhodanthe pollackii,12,8,16,4,
Rhodanthe propinqua,8,7,11,6,Light
Rhodanthe pygmaea,56,0,0,1,
Rhodanthe rubella,9,2,17,5,Light
Rhodanthe spicata,10,4,19,7,
Rhodanthe sterilescens,9,5,11,9,
Rhodanthe stricta,12,4,28,13,
Rhodanthe tietkensii,19,19,19,1,Light
Rhynchosia minima,14,13,15,3,
Ricinocarpos cyanescens,34,0,0,1,SMK
Ricinocarpos glaucus,41,23,64,7,SMK
Ricinocarpos stylosus,43,0,0,1,SMK
Ricinocarpos tuberculatus,41,0,0,1,SMK
Rulingia corylifolia,35,18,56,3,
Rulingia craurophylla,35,21,64,7,
Rulingia densiflora,40,16,85,3,
Rulingia kempeana,37,8,64,8,
Rulingia sp. Trigwell Bridge,19,18,19,2,
Rutidosis helichrysoides,17,10,29,5,
Salsola kali,8,5,20,5,
Samolus junceus,46,0,0,1,
Santalum acuminatum,34,26,44,4,GA
Santalum lanceolatum,47,31,69,5,GA
Santalum murrayanum,60,45,74,2,GA
Santalum spicatum,34,25,70,13,GA
Sarcostemma viminale subsp. australe,10,0,0,1,
Scaevola anchusifolia,40,23,57,2,SMK
Scaevola collaris,32,20,42,6,SMK
Scaevola crassifolia,37,24,65,12,80°C/3h + SMK
Scaevola globulifera,34,15,60,5,SMK
Scaevola lanceolata,33,24,39,3,SMK
Scaevola nitida,23,23,23,1,SMK
Scaevola spinescens,108,50,165,2,SMK
Scaevola thesioides,33,16,45,4,SMK
Schoenia ayersii,8,6,12,5,
Schoenia cassiniana,6,3,11,21,
Schoenia filifolia subsp. filifolia,6,2,14,10,
Schoenia filifolia subsp. subulifolia,7,3,14,14,
Schoenia macivorii,10,1,24,4,
Schoenus grandiflorus,37,37,37,1,
Scholtzia capitata,59,32,117,6,
Scholtzia involucrata,79,44,139,10,
Scholtzia parviflora,30,22,56,9,
Scholtzia teretifolia,56,0,0,1,
Scholtzia uberiflora,22,0,0,1,
Sclerolaena bicornis,39,28,51,2,
Sclerolaena gardneri,13,0,0,2,
Sclerolaena hostilis,62,0,0,1,
Sclerolaena microcarpa,47,21,73,2,
Sclerolaena uniflora,24,0,0,1,
Senecio hispidulus,11,9,12,2,
Senecio lautus,16,5,30,11,
Senecio magnificus,9,6,17,7,
Senecio quadridentatus,8,7,7,2,
Senna artemisioides,13,6,46,16,HW
Senna charlesiana,16,4,50,20,HW
Senna costata,23,8,39,3,HW
Senna glutinosa,16,0,0,2,HW
Senna glutinosa subsp. x luerssenii,11,4,20,10,HW
Senna hamersleyensis,13,7,32,5,HW
Senna notabilis,10,6,20,9,HW
Senna occidentalis,16,0,0,1,HW
Senna oligoclada,19,16,21,3,HW
Senna planitiicola,13,5,19,4,HW
Senna pleurocarpa,5,5,5,1,HW
Senna stricta,6,6,6,2,HW
Senna surattensis,27,0,0,1,HW
Senna timoriensis,12,0,0,1,HW
Senna venusta,7,4,16,7,HW
Sesbania aculeata,12,9,14,2,
Sesbania cannabina,9,5,19,15,
Sesbania erubescens,4,4,4,1,
Sesbania formosa,10,4,31,14,
Sesbania simpliciuscula,4,4,4,1,
Sida brownii,30,9,56,8,
Sida calyxhymenia,20,9,54,6,
Sida cardiophylla,12,4,20,2,
Sida echinocarpa,30,15,54,8,
Sida kingii,25,0,0,1,
Sida platycalyx,19,10,48,9,
Sida rhombifolia,17,0,0,1,
Sida spinosa,15,0,0,1,
Sida spodochroma,27,15,42,4,
Sida virgata var. phaetricha,28,12,50,9,
Siegfriedia darwinioides,38,24,48,3,HW
Siloxerus humifusus,16,11,21,8,
Solanum cleistogamum,26,23,31,3,SMK
Solanum cunninghamii,11,11,11,1,SMK
Solanum dioicum,19,19,19,1,SMK
Solanum echinatum,20,23,23,2,SMK
Solanum esuriale,42,28,57,4,SMK
Solanum lasiophyllum,21,6,99,17,SMK
Solanum oldfieldii,32,20,50,7,SMK
Solanum orbiculatum,40,34,48,2,SMK
Solanum phlomoides,16,11,20,3,SMK
Solanum quadriloculatum,40,28,64,7,SMK
Solanum simile,25,18,39,5,SMK
Solanum sturtianum,32,23,39,6,SMK
